pos,test_idx,difficulty,category,exec_success_runtime,pred_sql,gold_sql
0,0,,wrong_column,True,SELECT COUNT(Club_ID) FROM club,SELECT count(*) FROM club
1,1,,other,True,SELECT count(*) FROM club,SELECT count(*) FROM club
2,2,,other,True,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,,other,True,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,,other,True,SELECT Name FROM club WHERE Manufacturer != 'Nike',"SELECT Name FROM club WHERE Manufacturer != ""Nike"""
5,7,,wrong_column,True,SELECT Name FROM club WHERE Club_ID NOT IN (SELECT Club_ID FROM player WHERE Name = 'Nike'),"SELECT Name FROM club WHERE Manufacturer != ""Nike"""
6,8,,other,True,SELECT player.Name FROM player ORDER BY player.Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
7,9,,other,True,SELECT player.Name FROM player ORDER BY player.Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
8,12,,other,True,SELECT DISTINCT player.Country FROM player WHERE player.Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
9,13,,wrong_column,True,SELECT DISTINCT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Events_number > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
10,28,,extra_clause,True,SELECT club.Manufacturer FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Manufacturer HAVING count(DISTINCT player.Name) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
11,29,,extra_clause,True,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(DISTINCT Captain) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
12,30,,wrong_column,True,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Name HAVING COUNT(player.Player_ID) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
13,31,,wrong_column,True,SELECT player.Country FROM player GROUP BY player.Country HAVING COUNT(player.Player_ID) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
14,36,,wrong_column,True,SELECT COUNT(DISTINCT player.Country) FROM player JOIN club ON player.Club_ID = club.Club_ID,SELECT COUNT (DISTINCT Country) FROM player
15,37,,other,True,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT (DISTINCT Country) FROM player
16,78,,other,True,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers JOIN Orders ON Customers.customer_id = Orders.customer_id,SELECT count(DISTINCT customer_id) FROM Orders
17,79,,wrong_column,True,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers JOIN Orders ON Orders.customer_id = Customers.customer_id WHERE Orders.date_order_placed IS NOT NULL,SELECT count(DISTINCT customer_id) FROM Orders
18,80,,wrong_table,True,SELECT COUNT(DISTINCT shipment_tracking_number) FROM Orders JOIN Shipments ON Orders.order_id = Shipments.order_id,SELECT count(DISTINCT order_item_status_code) FROM Order_items
19,81,,wrong_column,True,SELECT COUNT(DISTINCT Order_Items.order_item_status_code) FROM Order_Items JOIN Orders ON Order_Items.order_id = Orders.order_id WHERE Orders.date_order_placed IS NOT NULL,SELECT count(DISTINCT order_item_status_code) FROM Order_items
20,82,,other,True,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
21,83,,other,True,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
22,100,,wrong_table,True,SELECT count(*) FROM Shipments,SELECT count(*) FROM Shipment_Items
23,101,,wrong_table,True,SELECT COUNT(DISTINCT Products.product_id) FROM Products JOIN Shipments ON Products.product_id = Shipments.order_id,SELECT count(*) FROM Shipment_Items
24,102,,other,True,SELECT AVG(product_price) FROM Products,SELECT avg(product_price) FROM Products
25,103,,other,True,SELECT AVG(product_price) FROM Products,SELECT avg(product_price) FROM Products
26,104,,wrong_table,True,SELECT AVG(product_price) FROM Products,SELECT avg(T1.product_price) FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id
27,105,,wrong_table,True,SELECT AVG(product_price) FROM Products,SELECT avg(T1.product_price) FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id
28,123,,wrong_column,True,SELECT COUNT(DISTINCT Internet) FROM channel WHERE Analogue_terrestrial_channel = 'terrestrial',SELECT count(DISTINCT Digital_terrestrial_channel) FROM channel
29,124,,other,True,SELECT Title FROM program ORDER BY Start_Year DESC,SELECT title FROM program ORDER BY start_year DESC
30,133,,other,True,SELECT Name FROM director WHERE Age BETWEEN 30 AND 60,SELECT name FROM director WHERE age BETWEEN 30 AND 60
31,136,,wrong_column,True,SELECT count(*) FROM radio WHERE Radio_MHz IS NOT NULL,SELECT count(*) FROM radio
32,137,,wrong_column,True,SELECT radio.Transmitter FROM radio JOIN city_channel_radio ON radio.Radio_ID = city_channel_radio.Radio_ID ORDER BY city_channel_radio.Is_online ASC,select transmitter from radio order by erp_kw asc
33,139,,other,True,SELECT Station_name FROM city_channel WHERE Affiliation != 'ABC',"SELECT Station_name FROM city_channel WHERE Affiliation != ""ABC"""
34,142,,wrong_column,True,SELECT AVG(Is_online) FROM city_channel_radio JOIN radio ON city_channel_radio.Radio_ID = radio.Radio_ID WHERE radio.Radio_MHz IS NOT NULL,SELECT avg(ERP_kW) FROM radio
35,145,,extra_clause,True,SELECT Affiliation FROM city_channel GROUP BY Affiliation HAVING COUNT(DISTINCT City) > 3,SELECT Affiliation FROM city_channel GROUP BY Affiliation HAVING COUNT(*)  >  3
36,153,,wrong_column,True,SELECT driver.Name FROM driver JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID JOIN vehicle ON vehicle_driver.Vehicle_ID = vehicle.Vehicle_ID WHERE driver.Citizenship = 'United Stat,SELECT name FROM driver WHERE citizenship  =  'United States'
37,154,,wrong_column,True,SELECT driver.Name FROM driver JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID WHERE driver.Citizenship = 'United States',SELECT name FROM driver WHERE citizenship  =  'United States'
38,167,,extra_clause,True,SELECT count(DISTINCT vehicle_driver.Driver_ID) FROM driver JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID WHERE driver.Racing_Series = 'NASCAR',SELECT count(*) FROM driver WHERE Racing_Series  =  'NASCAR'
