pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,retrieval_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,lexical,SELECT COUNT(T1.IDENTIFIER_PRIMARY_1) FROM T1,SELECT COUNT(club.Club_ID) FROM club
1,1,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,lexical,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM club
2,2,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,lexical,SELECT DISTINCT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT DISTINCT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,lexical,SELECT T1.IDENTIFIER_PRIMARY_1 FROM T1 ORDER BY T1.IDENTIFIER_PRIMARY_1 ASC,SELECT club.Club_ID FROM club ORDER BY club.Club_ID ASC
4,6,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,lexical,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.TEXT_FIELD_5 != 'Nike',SELECT club.Name FROM club WHERE club.Manufacturer != 'Nike'
5,7,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,lexical,SELECT T1.IDENTIFIER_PRIMARY_1 FROM T1 INNER JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.DESCRIPTIVE_ATTRIBUTE_8 != 'Nike',SELECT club.Club_ID FROM club INNER JOIN player ON club.Club_ID = player.Club_ID WHERE player.Name != 'Nike'
6,8,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,lexical,SELECT T2.DESCRIPTIVE_ATTRIBUTE_9 FROM T2 JOIN T1 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 ORDER BY T2.MEASUREMENT_VALUE_12 ASC,SELECT player.Country FROM player JOIN club ON player.Club_ID = club.Club_ID ORDER BY player.Wins_count ASC
7,9,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,lexical,SELECT T2.DESCRIPTIVE_ATTRIBUTE_9 FROM T2 JOIN T1 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 GROUP BY T2.DESCRIPTIVE_ATTRIBUTE_9 ORDER BY COUNT(T2.MEASUREMENT_VALUE_12) ASC,SELECT player.Country FROM player JOIN club ON player.Club_ID = club.Club_ID GROUP BY player.Country ORDER BY COUNT(player.Wins_count) ASC
8,12,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,lexical,SELECT DISTINCT DESCRIPTIVE_ATTRIBUTE_9 FROM T2 WHERE NUMERIC_FIELD_10 > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000
9,13,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,lexical,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 WHERE T2.NUMERIC_FIELD_10 > 1200000,SELECT club.Name FROM club JOIN player ON player.Club_ID = club.Club_ID WHERE player.Earnings > 1200000
10,28,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,lexical,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.DESCRIPTIVE_ATTRIBUTE_2 HAVING count(*) > 1,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Name HAVING count(*) > 1
11,29,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,lexical,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 INNER JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.DESCRIPTIVE_ATTRIBUTE_2 HAVING COUNT(T2.IDENTIFIER_REFERENCE_13) > 1,SELECT club.Name FROM club INNER JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Name HAVING COUNT(player.Club_ID) > 1
12,30,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.IDENTIFIER_PRIMARY_1 IN (SELECT T2.IDENTIFIER_REFERENCE_13 FROM T2 GROUP BY T2.IDENTIFIER_REFERENCE_13 HAVING COUNT(T2.IDENTIFIER_REFERENCE_13) > 1),SELECT club.Name FROM club WHERE club.Club_ID IN (SELECT player.Club_ID FROM player GROUP BY player.Club_ID HAVING COUNT(player.Club_ID) > 1)
13,31,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,lexical,SELECT T1.DESCRIPTIVE_ATTRIBUTE_9 FROM T1 AS T1 JOIN T2 AS T2 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 GROUP BY T1.DESCRIPTIVE_ATTRIBUTE_9 HAVING COUNT(T2.IDENTIFIER_PRIMARY_7) > 1,SELECT club.Country FROM club AS club JOIN player AS player ON player.Club_ID = club.Club_ID GROUP BY club.Country HAVING COUNT(player.Player_ID) > 1
14,36,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,lexical,SELECT COUNT(DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_2) FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13,SELECT COUNT(DISTINCT club.Name) FROM club JOIN player ON club.Club_ID = player.Club_ID
15,37,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,lexical,SELECT COUNT(DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_2) FROM T1 JOIN T2 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1,SELECT COUNT(DISTINCT club.Name) FROM club JOIN player ON player.Club_ID = club.Club_ID
16,78,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,lexical,SELECT COUNT(T2.IDENTIFIER_PRIMARY_7) FROM T2 JOIN T1 ON T2.IDENTIFIER_REFERENCE_8 = T1.IDENTIFIER_PRIMARY_1,SELECT COUNT(Orders.order_id) FROM Orders JOIN Customers ON Orders.customer_id = Customers.customer_id
17,79,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,lexical,SELECT COUNT(DISTINCT T1.IDENTIFIER_PRIMARY_1) FROM T1 INNER JOIN T3 ON T1.IDENTIFIER_PRIMARY_1 = T3.IDENTIFIER_REFERENCE_10 INNER JOIN T4 ON T3.IDENTIFIER_PRIMARY_9 = T4.IDENTIFIER_REFERENCE_15,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers INNER JOIN Orders ON Customers.customer_id = Orders.customer_id INNER JOIN Order_Items ON Orders.order_id = Order_Items.order_id
18,80,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,lexical,SELECT count(*) FROM T1,SELECT count(*) FROM Orders
19,81,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,lexical,SELECT COUNT(DISTINCT T2.DESCRIPTIVE_ATTRIBUTE_8) FROM T2,SELECT COUNT(DISTINCT Order_Items.order_item_status_code) FROM Order_Items
20,82,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,lexical,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM Customer_Payment_Methods
21,83,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,lexical,SELECT COUNT(DISTINCT T2.TEXT_FIELD_8) FROM T2,SELECT COUNT(DISTINCT Customer_Payment_Methods.payment_method_code) FROM Customer_Payment_Methods
22,100,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,lexical,SELECT COUNT(IDENTIFIER_PRIMARY_9) FROM T3,SELECT COUNT(shipment_id) FROM Shipments
23,101,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,lexical,SELECT COUNT(*) FROM T2,SELECT COUNT(*) FROM Shipments
24,102,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,lexical,SELECT CURRENCY_AMOUNT_4 FROM T1,SELECT product_price FROM Products
25,103,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,lexical,SELECT AVG(CURRENCY_AMOUNT_4) FROM T1,SELECT AVG(product_price) FROM Products
26,104,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,lexical,SELECT avg(CURRENCY_AMOUNT_4) FROM T1,SELECT avg(product_price) FROM Products
27,105,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,lexical,SELECT AVG(CURRENCY_AMOUNT_4) FROM T1,SELECT AVG(product_price) FROM Products
28,123,bbc_channels,bbc_channels,,,False,0,True,,llama3.1-8b,lexical,SELECT COUNT(*) FROM T1 WHERE TEXT_FIELD_4 = 'digital terrestrial',SELECT COUNT(*) FROM channel WHERE Digital_terrestrial_channel = 'digital terrestrial'
29,124,bbc_channels,bbc_channels,,,False,3,False,,llama3.1-8b,lexical,SELECT T3.DESCRIPITIVE_ATTRIBUTE_11 FROM T3 ORDER BY T3.CHRONOLOGICAL_MARKER_10 DESC,SELECT program.DESCRIPITIVE_ATTRIBUTE_11 FROM program ORDER BY program.Start_Year DESC
30,133,bbc_channels,bbc_channels,,,False,0,True,,llama3.1-8b,lexical,SELECT T2.DESCRIPTIVE_ATTRIBUTE_7 FROM T2 INNER JOIN T3 ON T2.IDENTIFIER_PRIMARY_6 = T3.IDENTIFIER_REFERENCE_12 WHERE T2.MEASUREMENT_VALUE_8 BETWEEN 30 AND 60,SELECT director.Name FROM director INNER JOIN program ON director.Director_ID = program.Director_ID WHERE director.Age BETWEEN 30 AND 60
31,136,tv_shows,tv_shows,,,False,0,True,,llama3.1-8b,lexical,SELECT count(*) FROM T1,SELECT count(*) FROM radio
32,137,tv_shows,tv_shows,,,False,0,True,,llama3.1-8b,lexical,SELECT T1.TEXT_FIELD_2 FROM T1 AS T1 JOIN T2 AS T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_8 ORDER BY T1.TEXT_FIELD_6 ASC,SELECT radio.Transmitter FROM radio AS radio JOIN city_channel_radio AS city_channel_radio ON radio.Radio_ID = city_channel_radio.Radio_ID ORDER BY radio.ERP_kW ASC
33,139,tv_shows,tv_shows,,,False,1,True,,llama3.1-8b,lexical,SELECT T3.DESCRIPTIVE_ATTRIBUTE_11 FROM T1 INNER JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_PRIMARY_6 INNER JOIN T3 ON T1.IDENTIFIER_PRIMARY_1 = T3.IDENTIFIER_PRIMARY_9 WHERE T2.DESCRIPTIVE_ATTRIBUTE_8 != 'ABC' AND T1.DESCRIPTIVE_ATTRIBUTE_2 = T3.DESCRIPTIVE_ATTRIBUTE_11,SELECT city_channel_tv_show.Is_online FROM city_channel INNER JOIN city_channel_radio ON city_channel.ID = city_channel_radio.City_channel_ID INNER JOIN city_channel_tv_show ON city_channel.ID = city_channel_tv_show.City_channel_ID WHERE city_channel_radio.Is_online != 'ABC' AND city_channel.City = city_channel_tv_show.Is_online
34,142,tv_shows,tv_shows,,,False,3,False,,llama3.1-8b,lexical,SELECT avg(TEXT_FIELD_4) FROM T1,SELECT avg(2FM_MHz) FROM radio
35,145,tv_shows,tv_shows,,,False,0,True,,llama3.1-8b,lexical,SELECT DESCRIPTIVE_ATTRIBUTE_5 FROM T1 GROUP BY DESCRIPTIVE_ATTRIBUTE_5 HAVING COUNT(DISTINCT IDENTIFIER_PRIMARY_1) > 3,SELECT Affiliation FROM city_channel GROUP BY Affiliation HAVING COUNT(DISTINCT ID) > 3
