pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,retrieval_used,masked_sql,real_sql
0,0,soccer_3,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
1,1,soccer_3,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
2,2,soccer_3,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
3,3,soccer_3,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
4,6,soccer_3,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
5,7,soccer_3,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
6,8,soccer_3,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
7,9,soccer_3,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
8,12,soccer_3,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
9,13,soccer_3,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
10,28,soccer_3,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
11,29,soccer_3,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
12,30,soccer_3,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
13,31,soccer_3,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
14,36,soccer_3,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
15,37,soccer_3,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
16,78,e_commerce,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
17,79,e_commerce,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
18,80,e_commerce,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
19,81,e_commerce,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
20,82,e_commerce,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
21,83,e_commerce,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
22,100,e_commerce,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
23,101,e_commerce,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
24,102,e_commerce,ERR,,,False,0,False,,,,,ERR: APIConnectionError('Connection error.')
25,103,e_commerce,e_commerce,,,False,1,True,,llama3.1-8b,hybrid,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
26,104,e_commerce,e_commerce,,,False,1,True,,llama3.1-8b,hybrid,SELECT AVG(T2.product_price) FROM Products T1 JOIN Products T2 ON T1.product_id = T2.parent_product_id WHERE T1.parent_product_id IS NOT NULL,SELECT AVG(T2.product_price) FROM Products T1 JOIN Products T2 ON T1.product_id = T2.parent_product_id WHERE T1.parent_product_id IS NOT NULL
27,105,e_commerce,e_commerce,,,False,1,True,,llama3.1-8b,hybrid,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
