pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,retrieval_used,masked_sql,real_sql
0,40,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,"SELECT T2.C8, T2.C11, T2.C12 FROM T2 JOIN T3 ON T3.C19 = T2.C8 JOIN T4 ON T4.C24 = T3.C18 GROUP BY T2.C8, T2.C11, T2.C12 HAVING COUNT(DISTINCT T3.C18) > 2 AND COUNT(DISTINCT T4.C22) >= 3","SELECT Customers.customer_id, Customers.customer_middle_initial, Customers.customer_last_name FROM Customers JOIN Orders ON Orders.customer_id = Customers.customer_id JOIN Order_Items ON Order_Items.order_id = Orders.order_id GROUP BY Customers.customer_id, Customers.customer_middle_initial, Customers.customer_last_name HAVING COUNT(DISTINCT Orders.order_id) > 2 AND COUNT(DISTINCT Order_Items.order_item_id) >= 3"
1,41,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,"SELECT T1.C1, T1.C2, T1.C3 FROM T1 JOIN T2 ON T2.C12 = T1.C1 JOIN T3 ON T3.C17 = T2.C11 GROUP BY T1.C1, T1.C2, T1.C3 HAVING COUNT(DISTINCT T2.C11) > 2 AND COUNT(DISTINCT T3.C15) >= 3","SELECT Customers.customer_id, Customers.gender_code, Customers.customer_first_name FROM Customers JOIN Orders ON Orders.customer_id = Customers.customer_id JOIN Order_Items ON Order_Items.order_id = Orders.order_id GROUP BY Customers.customer_id, Customers.gender_code, Customers.customer_first_name HAVING COUNT(DISTINCT Orders.order_id) > 2 AND COUNT(DISTINCT Order_Items.order_item_id) >= 3"
2,46,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,"SELECT C2, C4, C3 FROM T1 WHERE C1 NOT IN ( SELECT C12 FROM T2 )","SELECT gender_code, customer_middle_initial, customer_first_name FROM Customers WHERE customer_id NOT IN ( SELECT customer_id FROM Orders )"
3,47,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,"SELECT C2, C5, C4 FROM T1 WHERE C1 NOT IN (SELECT C12 FROM T2)","SELECT gender_code, customer_last_name, customer_middle_initial FROM Customers WHERE customer_id NOT IN (SELECT customer_id FROM Orders)"
4,48,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,"SELECT T1.C1, T1.C3, T1.C4, T1.C5 FROM T1 LEFT JOIN T3 ON T3.C13 = T1.C1 GROUP BY T1.C1, T1.C3, T1.C4, T1.C5 HAVING COUNT(T3.C14) < 2","SELECT Products.product_id, Products.product_name, Products.product_price, Products.product_color FROM Products LEFT JOIN Order_Items ON Order_Items.product_id = Products.product_id GROUP BY Products.product_id, Products.product_name, Products.product_price, Products.product_color HAVING COUNT(Order_Items.order_id) < 2"
5,52,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,"SELECT T1.C1, T1.C3, T1.C4 FROM T5 JOIN T1 ON T5.C25 = T1.C1 JOIN T4 ON T5.C26 = T4.C20 GROUP BY T1.C1, T1.C3, T1.C4 ORDER BY COUNT(*) DESC LIMIT 1","SELECT Products.product_id, Products.product_name, Products.product_price FROM Order_Items JOIN Products ON Order_Items.product_id = Products.product_id JOIN Orders ON Order_Items.order_id = Orders.order_id GROUP BY Products.product_id, Products.product_name, Products.product_price ORDER BY COUNT(*) DESC LIMIT 1"
6,53,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,"SELECT C1, C3, C4 FROM T1 WHERE C2 = (SELECT MAX(C2) FROM T1)","SELECT product_id, product_name, product_price FROM Products WHERE parent_product_id = (SELECT MAX(parent_product_id) FROM Products)"
7,54,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,"SELECT T2.C8, SUM(T1.C4) AS sum_prices FROM T3 JOIN T2 ON T3.C14 = T2.C8 JOIN T1 ON T3.C13 = T1.C1 GROUP BY T2.C8 ORDER BY sum_prices ASC LIMIT 1","SELECT Orders.order_id, SUM(Products.product_price) AS sum_prices FROM Order_Items JOIN Orders ON Order_Items.order_id = Orders.order_id JOIN Products ON Order_Items.product_id = Products.product_id GROUP BY Orders.order_id ORDER BY sum_prices ASC LIMIT 1"
8,55,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,"SELECT C1, C2 AS total_cost FROM T1 ORDER BY C2 ASC LIMIT 1","SELECT order_id, customer_id AS total_cost FROM Orders ORDER BY customer_id ASC LIMIT 1"
9,72,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,"SELECT DISTINCT T1.C3, T1.C4, T1.C7 FROM T1 JOIN T2 ON T1.C1 = T2.C8 WHERE T2.C9 = 'female'","SELECT DISTINCT Products.product_name, Products.product_price, Products.product_description FROM Products JOIN Customers ON Products.product_id = Customers.customer_id WHERE Customers.gender_code = 'female'"
10,73,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,"SELECT DISTINCT T1.C3, T1.C4, T1.C7 FROM T1 JOIN T2 ON T1.C1 = T2.C8 WHERE T2.C9 = 'female'","SELECT DISTINCT Products.product_name, Products.product_price, Products.product_description FROM Products JOIN Customers ON Products.product_id = Customers.customer_id WHERE Customers.gender_code = 'female'"
11,88,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,"SELECT C4, C6 FROM T1 WHERE C4 > (SELECT AVG(C4) FROM T1)","SELECT product_price, product_size FROM Products WHERE product_price > (SELECT AVG(product_price) FROM Products)"
12,89,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,"SELECT C4, C6 FROM T1 WHERE C4 > (SELECT AVG(C4) FROM T1)","SELECT product_price, product_size FROM Products WHERE product_price > (SELECT AVG(product_price) FROM Products)"
13,90,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,SELECT COUNT(DISTINCT C3) FROM T1 WHERE C3 IS NULL OR TRIM(C3) = '',SELECT COUNT(DISTINCT product_name) FROM Products WHERE product_name IS NULL OR TRIM(product_name) = ''
14,91,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,SELECT COUNT(*) FROM T1 AS T1 LEFT JOIN T2 AS T2 ON T2.C9 = T1.C1 WHERE T2.C9 IS NULL,SELECT COUNT(*) FROM Products AS Products LEFT JOIN Order_Items AS Order_Items ON Order_Items.product_id = Products.product_id WHERE Order_Items.product_id IS NULL
15,92,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,SELECT COUNT(*) FROM T1 AS t1 LEFT JOIN T2 AS t2 ON t2.C11 = t1.C1 WHERE t2.C11 IS NULL,SELECT COUNT(*) FROM Customers AS t1 LEFT JOIN Customer_Payment_Methods AS t2 ON t2.customer_id = t1.customer_id WHERE t2.customer_id IS NULL
16,93,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,SELECT COUNT(*) FROM T1 AS t1 LEFT JOIN T2 AS t2 ON t2.C11 = t1.C1 WHERE t2.C11 IS NULL,SELECT COUNT(*) FROM Customers AS t1 LEFT JOIN Customer_Payment_Methods AS t2 ON t2.customer_id = t1.customer_id WHERE t2.customer_id IS NULL
17,106,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,"SELECT C6, C9, C10 FROM T1 WHERE C2 IN ( SELECT C2 FROM T1 GROUP BY C2 HAVING COUNT(*) = ( SELECT MIN(cnt) FROM ( SELECT COUNT(*) AS cnt FROM T1 GROUP BY C2 ) ) )","SELECT email_address, town_city, county FROM Customers WHERE gender_code IN ( SELECT gender_code FROM Customers GROUP BY gender_code HAVING COUNT(*) = ( SELECT MIN(cnt) FROM ( SELECT COUNT(*) AS cnt FROM Customers GROUP BY gender_code ) ) )"
18,107,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,"SELECT T1.C6, T1.C9, T1.C10 FROM T1 WHERE T1.C2 = ( SELECT T1.C2 FROM T1 JOIN T2 ON T2.C12 = T1.C1 GROUP BY T1.C2 ORDER BY COUNT(T2.C11) ASC LIMIT 1 )","SELECT Customers.email_address, Customers.town_city, Customers.county FROM Customers WHERE Customers.gender_code = ( SELECT Customers.gender_code FROM Customers JOIN Orders ON Orders.customer_id = Customers.customer_id GROUP BY Customers.gender_code ORDER BY COUNT(Orders.order_id) ASC LIMIT 1 )"
19,118,e_commerce,e_commerce,,,False,0,True,,gpt-5.2,hybrid,"SELECT C5, C7, C6 FROM T1 WHERE C4 < (SELECT MAX(C4) FROM T1)","SELECT product_color, product_description, product_size FROM Products WHERE product_price < (SELECT MAX(product_price) FROM Products)"
