pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,db_routing_correct,embedding_top1_margin,routing_tiebreak_used,re_picked,retries,exec_success,difficulty,model_used,retrieval_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,soccer_3,True,True,0.220174,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM club,SELECT COUNT(*) FROM club
1,1,soccer_3,soccer_3,soccer_3,True,True,0.078601,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM club,SELECT COUNT(*) FROM club
2,2,soccer_3,soccer_3,soccer_3,True,True,0.157001,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,soccer_3,True,True,0.157253,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,soccer_3,soccer_3,soccer_3,True,True,0.152800,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT Name FROM club WHERE Manufacturer != ""Nike""","SELECT Name FROM club WHERE Manufacturer != ""Nike"""
5,7,soccer_3,soccer_3,soccer_3,True,True,0.150712,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Name FROM club WHERE Manufacturer != 'Nike',SELECT Name FROM club WHERE Manufacturer != 'Nike'
6,8,soccer_3,soccer_3,soccer_3,True,True,0.027699,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Name FROM player ORDER BY Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
7,9,soccer_3,soccer_3,vehicle_driver,False,True,0.004530,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Name FROM player ORDER BY Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
8,12,soccer_3,soccer_3,soccer_3,True,True,0.079211,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000
9,13,soccer_3,soccer_3,soccer_3,True,True,0.151507,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000
10,28,soccer_3,soccer_3,soccer_3,True,True,0.168326,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING count(*) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING count(*) > 1
11,29,soccer_3,soccer_3,soccer_3,True,True,0.063629,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(DISTINCT Club_ID) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(DISTINCT Club_ID) > 1
12,30,soccer_3,soccer_3,soccer_3,True,True,0.207445,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Country FROM player GROUP BY Country HAVING COUNT(*) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*) > 1
13,31,soccer_3,soccer_3,soccer_3,True,True,0.165084,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Country FROM player GROUP BY Country HAVING COUNT(*) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*) > 1
14,36,soccer_3,soccer_3,soccer_3,True,True,0.080946,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT(DISTINCT Country) FROM player
15,37,soccer_3,soccer_3,soccer_3,True,True,0.201732,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT(DISTINCT Country) FROM player
16,78,e_commerce,customers_and_orders,customers_and_orders,False,False,0.056228,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T1.customer_id) FROM Customer_Orders AS T1,SELECT COUNT(DISTINCT T1.customer_id) FROM Customer_Orders AS T1
17,79,e_commerce,customers_and_orders,customers_and_orders,False,False,0.077138,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT customer_id) FROM Customer_Orders,SELECT COUNT(DISTINCT customer_id) FROM Customer_Orders
18,80,e_commerce,e_commerce,customers_and_orders,False,True,0.034850,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items
19,81,e_commerce,e_commerce,customers_and_orders,False,True,0.042432,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items
20,82,e_commerce,e_commerce,e_commerce,True,True,0.013059,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
21,83,e_commerce,customers_and_orders,customers_and_orders,False,False,0.001916,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT payment_method_code) FROM Customers,SELECT COUNT(DISTINCT payment_method_code) FROM Customers
22,100,e_commerce,e_commerce,e_commerce,True,True,0.019110,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM Shipment_Items,SELECT COUNT(*) FROM Shipment_Items
23,101,e_commerce,e_commerce,customers_and_orders,False,True,0.016439,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT p.product_id) FROM Products p JOIN Shipments s ON p.product_id = s.order_id,SELECT COUNT(DISTINCT p.product_id) FROM Products p JOIN Shipments s ON p.product_id = s.order_id
24,102,e_commerce,customers_and_orders,customers_and_orders,False,False,0.068021,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
25,103,e_commerce,customers_and_orders,customers_and_orders,False,False,0.074297,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
26,104,e_commerce,e_commerce,customers_and_orders,False,True,0.047333,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
27,105,e_commerce,customers_and_orders,customers_and_orders,False,False,0.071493,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(T1.product_price) FROM Products AS T1 JOIN Order_Items AS T2 ON T1.product_id = T2.product_id,SELECT AVG(T1.product_price) FROM Products AS T1 JOIN Order_Items AS T2 ON T1.product_id = T2.product_id
