pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,0,True,SELECT COUNT(C1) FROM T1,SELECT COUNT(Club_ID) FROM club
1,1,soccer_3,soccer_3,,,False,0,True,SELECT COUNT(C1) FROM T1,SELECT COUNT(Club_ID) FROM club
2,2,soccer_3,soccer_3,,,False,0,True,SELECT C2 FROM T1,SELECT Name FROM club
3,3,soccer_3,soccer_3,,,False,0,True,SELECT T1.C2 FROM T1 WHERE T1.C2 IS NOT NULL ORDER BY T1.C2 ASC,SELECT club.Name FROM club WHERE club.Name IS NOT NULL ORDER BY club.Name ASC
4,6,soccer_3,soccer_3,,,False,0,True,"SELECT T2.C8 FROM T1 AS T1 JOIN T2 ON T1.C1 = T2.C13 WHERE T1.C3 != ""Nike""","SELECT player.Name FROM club AS club JOIN player ON club.Club_ID = player.Club_ID WHERE club.Manager != ""Nike"""
5,7,soccer_3,soccer_3,,,False,0,True,SELECT C2 FROM T1 WHERE C5 != 'Nike',SELECT Name FROM club WHERE Manufacturer != 'Nike'
6,8,soccer_3,soccer_3,,,False,0,True,SELECT T2.C2 FROM T1 AS T1 JOIN T2 AS T2 ON T1.C1 = T2.C13 ORDER BY T2.C10 ASC,SELECT player.Name FROM club AS club JOIN player AS player ON club.Club_ID = player.Club_ID ORDER BY player.Earnings ASC
7,9,soccer_3,soccer_3,,,False,0,True,SELECT T2.C8 FROM T2 JOIN T1 ON T2.C13 = T1.C1 GROUP BY T2.C8 ORDER BY COUNT(T2.C8) ASC,SELECT player.Name FROM player JOIN club ON player.Club_ID = club.Club_ID GROUP BY player.Name ORDER BY COUNT(player.Name) ASC
8,12,soccer_3,soccer_3,,,False,0,True,SELECT DISTINCT C2 FROM T1 WHERE C6 > 1200000,SELECT DISTINCT Name FROM club WHERE Sponsor > 1200000
9,13,soccer_3,soccer_3,,,False,0,True,SELECT T2.C8 FROM T1 AS T1 JOIN T2 ON T1.C1 = T2.C13 WHERE T1.C5 > 1200000,SELECT player.Name FROM club AS club JOIN player ON club.Club_ID = player.Club_ID WHERE club.Manufacturer > 1200000
10,4,soccer_3,soccer_3,,,False,0,True,"SELECT T2.C8, T2.C9 FROM T1 AS T1 JOIN T2 ON T1.C1 = T2.C13 WHERE T2.C10 = 1 OR T2.C11 = 1","SELECT player.Name, player.Country FROM club AS club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings = 1 OR player.Events_number = 1"
11,5,soccer_3,soccer_3,,,False,0,True,"SELECT T2.C8, T2.C9 FROM T2 INNER JOIN T1 ON T2.C13 = T1.C1 WHERE T2.C10 = 1 OR T2.C11 = 1","SELECT player.Name, player.Country FROM player INNER JOIN club ON player.Club_ID = club.Club_ID WHERE player.Earnings = 1 OR player.Events_number = 1"
12,10,soccer_3,soccer_3,,,False,0,True,SELECT T2.C8 FROM T2 WHERE T2.C10 = ( SELECT MAX(C10) FROM T2 ),SELECT player.Name FROM player WHERE player.Earnings = ( SELECT MAX(Earnings) FROM player )
13,11,soccer_3,soccer_3,,,False,0,True,SELECT T2.C8 FROM T2 WHERE T2.C10 = ( SELECT MAX(C10) FROM T2 ),SELECT player.Name FROM player WHERE player.Earnings = ( SELECT MAX(Earnings) FROM player )
14,16,soccer_3,soccer_3,,,False,0,True,"SELECT T1.C2, T2.C8 FROM T1 AS T1 JOIN T2 AS T2 ON T2.C13 = T1.C1","SELECT club.Name, player.Name FROM club AS club JOIN player AS player ON player.Club_ID = club.Club_ID"
15,17,soccer_3,soccer_3,,,False,0,True,"SELECT T2.C2, T1.C3 FROM T1 AS T1 JOIN T2 AS T2 ON T1.C1 = T2.C13","SELECT player.Name, club.Manager FROM club AS club JOIN player AS player ON club.Club_ID = player.Club_ID"
16,18,soccer_3,soccer_3,,,False,0,True,SELECT T2.C8 FROM T1 AS T1 JOIN T2 AS T2 ON T1.C1 = T2.C13 WHERE T2.C10 > 2,SELECT player.Name FROM club AS club JOIN player AS player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 2
17,19,soccer_3,soccer_3,,,False,0,True,SELECT T2.C2 FROM T1 AS T1 JOIN T2 AS T2 ON T2.C13 = T1.C1 GROUP BY T2.C2 HAVING count(*) > 2,SELECT player.Name FROM club AS club JOIN player AS player ON player.Club_ID = club.Club_ID GROUP BY player.Name HAVING count(*) > 2
