pos,test_idx,difficulty,category,exec_success_runtime,pred_sql,gold_sql
0,0,,wrong_column,True,SELECT COUNT(Club_ID) FROM club,SELECT count(*) FROM club
1,1,,wrong_column,True,SELECT COUNT(Club_ID) FROM club,SELECT count(*) FROM club
2,2,,missing_clause,True,SELECT Name FROM club,SELECT Name FROM club ORDER BY Name ASC
3,3,,other,True,SELECT club.Name FROM club WHERE club.Name IS NOT NULL ORDER BY club.Name ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,,wrong_column,True,"SELECT player.Name FROM club AS club JOIN player ON club.Club_ID = player.Club_ID WHERE club.Manager != ""Nike""","SELECT Name FROM club WHERE Manufacturer != ""Nike"""
5,7,,other,True,SELECT Name FROM club WHERE Manufacturer != 'Nike',"SELECT Name FROM club WHERE Manufacturer != ""Nike"""
6,8,,wrong_column,True,SELECT player.Name FROM club AS club JOIN player AS player ON club.Club_ID = player.Club_ID ORDER BY player.Earnings ASC,SELECT Name FROM player ORDER BY Wins_count ASC
7,9,,extra_clause,True,SELECT player.Name FROM player JOIN club ON player.Club_ID = club.Club_ID GROUP BY player.Name ORDER BY COUNT(player.Name) ASC,SELECT Name FROM player ORDER BY Wins_count ASC
8,12,,wrong_table,True,SELECT DISTINCT Name FROM club WHERE Sponsor > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
9,13,,missing_clause,True,SELECT player.Name FROM club AS club JOIN player ON club.Club_ID = player.Club_ID WHERE club.Manufacturer > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
10,28,,wrong_column,True,SELECT player.Name FROM player WHERE player.Club_ID IN (SELECT club.Club_ID FROM club GROUP BY club.Club_ID HAVING COUNT(club.Club_ID) > 1),SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
11,29,,wrong_column,True,SELECT Name FROM club WHERE Club_ID IN (SELECT Club_ID FROM player GROUP BY Club_ID HAVING COUNT(Club_ID) > 1),SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
