pos,test_idx,difficulty,category,exec_success_runtime,pred_sql,gold_sql
0,0,easy,extra_clause,True,SELECT COUNT(DISTINCT Club_ID) FROM club,SELECT count(*) FROM club
1,1,easy,other,True,SELECT count(*) FROM club,SELECT count(*) FROM club
2,2,easy,other,True,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,easy,other,True,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,easy,other,True,SELECT Name FROM club WHERE Manufacturer != 'Nike',"SELECT Name FROM club WHERE Manufacturer != ""Nike"""
5,7,easy,wrong_column,True,SELECT Name FROM club WHERE Club_ID NOT IN (SELECT Club_ID FROM player WHERE Name = 'Nike'),"SELECT Name FROM club WHERE Manufacturer != ""Nike"""
6,8,easy,other,True,SELECT player.Name FROM player ORDER BY player.Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
7,9,easy,other,True,SELECT player.Name FROM player ORDER BY player.Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
8,12,easy,other,True,SELECT DISTINCT player.Country FROM player WHERE player.Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
9,13,easy,wrong_column,True,SELECT DISTINCT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Events_number > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
10,28,easy,extra_clause,True,SELECT club.Manufacturer FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Manufacturer HAVING count(DISTINCT player.Name) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
11,29,easy,extra_clause,True,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(DISTINCT Captain) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
12,30,easy,wrong_column,True,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Name HAVING COUNT(player.Player_ID) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
13,31,easy,wrong_column,True,SELECT player.Country FROM player GROUP BY player.Country HAVING COUNT(player.Player_ID) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
14,36,easy,wrong_column,True,SELECT COUNT(DISTINCT player.Country) FROM player JOIN club ON player.Club_ID = club.Club_ID,SELECT COUNT (DISTINCT Country) FROM player
15,37,easy,other,True,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT (DISTINCT Country) FROM player
16,78,easy,other,True,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers JOIN Orders ON Customers.customer_id = Orders.customer_id,SELECT count(DISTINCT customer_id) FROM Orders
17,79,easy,wrong_column,True,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers JOIN Orders ON Orders.customer_id = Customers.customer_id WHERE Orders.date_order_placed IS NOT NULL,SELECT count(DISTINCT customer_id) FROM Orders
18,80,easy,wrong_table,True,SELECT COUNT(DISTINCT shipment_tracking_number) FROM Orders JOIN Shipments ON Orders.order_id = Shipments.order_id,SELECT count(DISTINCT order_item_status_code) FROM Order_items
19,81,easy,wrong_column,True,SELECT COUNT(DISTINCT Order_Items.order_item_status_code) FROM Order_Items JOIN Orders ON Order_Items.order_id = Orders.order_id WHERE Orders.date_order_placed IS NOT NULL,SELECT count(DISTINCT order_item_status_code) FROM Order_items
20,82,easy,other,True,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
21,83,easy,other,True,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
22,100,easy,wrong_table,True,SELECT count(*) FROM Shipments,SELECT count(*) FROM Shipment_Items
23,101,easy,wrong_table,True,SELECT COUNT(DISTINCT Products.product_id) FROM Products JOIN Shipments ON Products.product_id = Shipments.order_id,SELECT count(*) FROM Shipment_Items
24,102,easy,other,True,SELECT AVG(product_price) FROM Products,SELECT avg(product_price) FROM Products
25,103,easy,other,True,SELECT AVG(product_price) FROM Products,SELECT avg(product_price) FROM Products
26,104,easy,wrong_table,True,SELECT AVG(product_price) FROM Products,SELECT avg(T1.product_price) FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id
27,105,easy,wrong_table,True,SELECT AVG(product_price) FROM Products,SELECT avg(T1.product_price) FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id
28,123,easy,wrong_column,True,SELECT COUNT(DISTINCT Internet) FROM channel WHERE Analogue_terrestrial_channel = 'terrestrial',SELECT count(DISTINCT Digital_terrestrial_channel) FROM channel
29,124,easy,other,True,SELECT Title FROM program ORDER BY Start_Year DESC,SELECT title FROM program ORDER BY start_year DESC
30,133,easy,other,True,SELECT Name FROM director WHERE Age BETWEEN 30 AND 60,SELECT name FROM director WHERE age BETWEEN 30 AND 60
31,136,easy,wrong_column,True,SELECT count(*) FROM radio WHERE Radio_MHz IS NOT NULL,SELECT count(*) FROM radio
32,137,easy,wrong_column,True,SELECT radio.Transmitter FROM radio JOIN city_channel_radio ON radio.Radio_ID = city_channel_radio.Radio_ID ORDER BY city_channel_radio.Is_online ASC,select transmitter from radio order by erp_kw asc
33,139,easy,wrong_column,True,SELECT Station_name FROM city_channel WHERE City IS NOT NULL AND Affiliation != 'ABC',"SELECT Station_name FROM city_channel WHERE Affiliation != ""ABC"""
34,142,easy,extra_clause,True,SELECT AVG(Is_online) FROM city_channel_radio JOIN radio ON city_channel_radio.Radio_ID = radio.Radio_ID GROUP BY radio.Radio_MHz,SELECT avg(ERP_kW) FROM radio
35,145,easy,extra_clause,True,SELECT Affiliation FROM city_channel GROUP BY Affiliation HAVING COUNT(DISTINCT City) > 3,SELECT Affiliation FROM city_channel GROUP BY Affiliation HAVING COUNT(*)  >  3
36,153,easy,wrong_column,True,SELECT driver.Name FROM driver JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID JOIN vehicle ON vehicle_driver.Vehicle_ID = vehicle.Vehicle_ID WHERE driver.Citizenship = 'United Stat,SELECT name FROM driver WHERE citizenship  =  'United States'
37,154,easy,wrong_column,True,SELECT driver.Name FROM driver JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID WHERE driver.Citizenship = 'United States',SELECT name FROM driver WHERE citizenship  =  'United States'
38,167,easy,extra_clause,True,SELECT count(DISTINCT vehicle_driver.Driver_ID) FROM driver JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID WHERE driver.Racing_Series = 'NASCAR',SELECT count(*) FROM driver WHERE Racing_Series  =  'NASCAR'
39,168,easy,extra_clause,True,SELECT COUNT(DISTINCT vehicle_driver.Driver_ID) FROM vehicle_driver JOIN driver ON vehicle_driver.Driver_ID = driver.Driver_ID WHERE driver.Racing_Series = 'NASCAR',SELECT count(*) FROM driver WHERE Racing_Series  =  'NASCAR'
40,169,easy,other,True,SELECT AVG(Top_Speed) FROM vehicle,SELECT avg(top_speed) FROM vehicle
41,170,easy,other,True,SELECT AVG(Top_Speed) FROM vehicle,SELECT avg(top_speed) FROM vehicle
42,185,easy,wrong_column,True,SELECT driver.Name FROM driver JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID ORDER BY driver.Name ASC,SELECT name FROM driver ORDER BY name
43,186,easy,other,True,SELECT driver.Name FROM driver ORDER BY driver.Name ASC,SELECT name FROM driver ORDER BY name
44,193,easy,wrong_column,True,SELECT count(*) FROM Exams WHERE Exam_Name IS NOT NULL,SELECT count(*) FROM Exams
45,194,easy,wrong_column,True,SELECT count(Exam_Name) FROM Exams WHERE Exam_Name IS NOT NULL,SELECT count(*) FROM Exams
46,195,easy,other,True,SELECT DISTINCT Subject_Code FROM Exams ORDER BY Subject_Code ASC,select distinct subject_code from exams order by subject_code asc
47,196,easy,other,True,SELECT DISTINCT Subject_Code FROM Exams ORDER BY Subject_Code ASC,SELECT DISTINCT Subject_Code FROM Exams ORDER BY Subject_Code
48,203,easy,wrong_column,True,"SELECT DISTINCT Student_Answers.Student_ID FROM Student_Answers WHERE Student_Answers.Student_Answer_Text = ""Normal""","SELECT DISTINCT Student_Answer_Text FROM Student_Answers WHERE Comments  =  ""Normal"""
49,204,easy,wrong_column,True,SELECT DISTINCT Student_Assessments.Student_Answer_Text FROM Student_Assessments JOIN Valid_Answers ON Student_Assessments.Valid_Answer_ID = Valid_Answers.Valid_Answer_ID JOIN Student_Answers ON Valid,"SELECT DISTINCT Student_Answer_Text FROM Student_Answers WHERE Comments  =  ""Normal"""
50,205,easy,wrong_column,True,SELECT COUNT(DISTINCT Student_Answer_Text) FROM Student_Answers,SELECT count(DISTINCT Comments) FROM Student_Answers
51,206,easy,wrong_column,True,SELECT COUNT(DISTINCT Student_Answer_Text) FROM Student_Answers WHERE Comments IS NOT NULL,SELECT count(DISTINCT Comments) FROM Student_Answers
52,219,easy,wrong_column,True,"SELECT Middle_Name FROM Students WHERE Gender_MFU != ""M""","SELECT Last_Name FROM Students WHERE Gender_MFU != ""M"""
53,220,easy,wrong_column,True,"SELECT Middle_Name FROM Students WHERE Gender_MFU != ""M""","SELECT Last_Name FROM Students WHERE Gender_MFU != ""M"""
54,229,easy,wrong_column,True,SELECT Questions.Type_of_Question_Code FROM Questions JOIN Questions_in_Exams ON Questions.Question_ID = Questions_in_Exams.Question_ID GROUP BY Questions.Type_of_Question_Code HAVING COUNT(*) >= 3,SELECT Type_of_Question_Code FROM Questions GROUP BY Type_of_Question_Code HAVING count(*)  >=  3
55,230,easy,wrong_column,True,SELECT Questions.Type_of_Question_Code FROM Questions JOIN Questions_in_Exams ON Questions.Question_ID = Questions_in_Exams.Question_ID GROUP BY Questions.Type_of_Question_Code HAVING COUNT(Questions_,SELECT Type_of_Question_Code FROM Questions GROUP BY Type_of_Question_Code HAVING count(*)  >=  3
56,231,easy,other,True,SELECT * FROM Students,SELECT * FROM Students
57,232,easy,wrong_column,True,"SELECT Students.Student_ID, Students.First_Name, Students.Middle_Name, Students.Last_Name, Students.Gender_MFU, Students.Student_Address FROM Students",SELECT * FROM Students
58,233,easy,wrong_column,True,SELECT COUNT(address_id) FROM Addresses,SELECT count(*) FROM Addresses
59,234,easy,wrong_column,True,SELECT count(address_id) FROM Addresses,SELECT count(*) FROM Addresses
