pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,retrieval_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT COUNT(IDENTIFIER_PRIMARY_1) FROM T1,SELECT COUNT(Club_ID) FROM club
1,1,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT COUNT(*) FROM T1 WHERE DESCRIPTIVE_ATTRIBUTE_2 LIKE '%club%',SELECT COUNT(*) FROM club WHERE Name LIKE '%club%'
2,2,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE TEXT_FIELD_3 != 'Nike',SELECT Name FROM club WHERE Manager != 'Nike'
5,7,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT DESCRIPTIVE_ATTRIBUTE_8 FROM T2 WHERE DESCRIPTIVE_ATTRIBUTE_9 != 'Nike',SELECT Name FROM player WHERE Country != 'Nike'
6,8,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,"SELECT T1.DESCRIPTIVE_ATTRIBUTE_2, SUM(T2.NUMERIC_FIELD_10) FROM T1 INNER JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.DESCRIPTIVE_ATTRIBUTE_2 ORDER BY SUM(T2.NUMERIC_FIELD_10) ASC","SELECT club.Name, SUM(player.Earnings) FROM club INNER JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Name ORDER BY SUM(player.Earnings) ASC"
7,9,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,lexical,"SELECT T1.DESCRIPITIVE_ATTRIBUTE_2, COUNT(T2.MEASUREMENT_VALUE_11) AS wins FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.DESCRIPITIVE_ATTRIBUTE_2 ORDER BY COUNT(T2.MEASUREMENT_VALUE_11) ASC","SELECT club.DESCRIPITIVE_ATTRIBUTE_2, COUNT(player.Events_number) AS wins FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.DESCRIPITIVE_ATTRIBUTE_2 ORDER BY COUNT(player.Events_number) ASC"
8,12,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,lexical,SELECT DISTINCT T2.DESCRIPITIVE_ATTRIBUTE_9 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T1.TEXT_FIELD_3 > 1200000,SELECT DISTINCT player.DESCRIPITIVE_ATTRIBUTE_9 FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE club.Manager > 1200000
9,13,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,lexical,SELECT T1.DESCRIPITIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.MEASUREMENT_VALUE_11 > 1200000,SELECT club.DESCRIPITIVE_ATTRIBUTE_2 FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Events_number > 1200000
