pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,db_routing_correct,embedding_top1_margin,routing_tiebreak_used,re_picked,retries,exec_success,difficulty,model_used,retrieval_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,soccer_3,True,True,0.065942,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM club,SELECT COUNT(*) FROM club
1,1,soccer_3,soccer_3,soccer_3,True,True,0.050987,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM club,SELECT COUNT(*) FROM club
2,2,soccer_3,soccer_3,soccer_3,True,True,0.039281,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,soccer_3,True,True,0.045395,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,soccer_3,soccer_3,soccer_3,True,True,0.101567,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT Name FROM club WHERE Manufacturer != ""Nike""","SELECT Name FROM club WHERE Manufacturer != ""Nike"""
5,7,soccer_3,soccer_3,soccer_3,True,True,0.094517,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Name FROM club WHERE Manufacturer != 'Nike',SELECT Name FROM club WHERE Manufacturer != 'Nike'
6,8,soccer_3,soccer_3,soccer_3,True,True,0.073389,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Name FROM player ORDER BY Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
7,9,soccer_3,soccer_3,soccer_3,True,True,0.032283,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Name FROM player ORDER BY Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
8,12,soccer_3,soccer_3,soccer_3,True,True,0.119265,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000
9,13,soccer_3,soccer_3,soccer_3,True,True,0.169816,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000
10,28,soccer_3,soccer_3,soccer_3,True,True,0.123496,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING count(*) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING count(*) > 1
11,29,soccer_3,soccer_3,soccer_3,True,True,0.112096,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(DISTINCT Club_ID) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(DISTINCT Club_ID) > 1
12,30,soccer_3,soccer_3,soccer_3,True,True,0.154362,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Country FROM player GROUP BY Country HAVING COUNT(*) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*) > 1
13,31,soccer_3,soccer_3,soccer_3,True,True,0.174017,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Country FROM player GROUP BY Country HAVING COUNT(*) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*) > 1
14,36,soccer_3,soccer_3,soccer_3,True,True,0.043697,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT(DISTINCT Country) FROM player
15,37,soccer_3,soccer_3,soccer_3,True,True,0.142159,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT(DISTINCT Country) FROM player
16,78,e_commerce,customers_and_orders,customers_and_orders,False,False,0.093292,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T1.customer_id) FROM Customer_Orders AS T1,SELECT COUNT(DISTINCT T1.customer_id) FROM Customer_Orders AS T1
17,79,e_commerce,customers_and_orders,customers_and_orders,False,False,0.101760,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT customer_id) FROM Customer_Orders,SELECT COUNT(DISTINCT customer_id) FROM Customer_Orders
18,80,e_commerce,e_commerce,customers_and_orders,False,True,0.009534,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items
19,81,e_commerce,e_commerce,e_commerce,True,True,0.015532,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items
20,82,e_commerce,e_commerce,e_commerce,True,True,0.032492,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
21,83,e_commerce,e_commerce,customers_and_orders,False,True,0.009196,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
22,100,e_commerce,e_commerce,e_commerce,True,True,0.083420,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM Shipment_Items,SELECT COUNT(*) FROM Shipment_Items
23,101,e_commerce,e_commerce,customers_and_orders,False,True,0.003213,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT p.product_id) FROM Products p JOIN Shipments s ON p.product_id = s.order_id,SELECT COUNT(DISTINCT p.product_id) FROM Products p JOIN Shipments s ON p.product_id = s.order_id
24,102,e_commerce,customers_and_orders,vehicle_rent,False,False,0.026493,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
25,103,e_commerce,customers_and_orders,customers_and_orders,False,False,0.026477,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
26,104,e_commerce,e_commerce,customers_and_orders,False,True,0.054459,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
27,105,e_commerce,e_commerce,customers_and_orders,False,True,0.056270,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
28,123,bbc_channels,bbc_channels,bbc_channels,True,True,0.168771,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT Digital_terrestrial_channel) FROM channel,SELECT COUNT(DISTINCT Digital_terrestrial_channel) FROM channel
29,124,bbc_channels,bbc_channels,tv_shows,False,True,0.010432,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Title FROM program ORDER BY Start_Year DESC,SELECT Title FROM program ORDER BY Start_Year DESC
30,133,bbc_channels,bbc_channels,vehicle_driver,False,True,0.013454,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Name FROM director WHERE Age BETWEEN 30 AND 60,SELECT Name FROM director WHERE Age BETWEEN 30 AND 60
31,136,tv_shows,tv_shows,bbc_channels,False,True,0.035633,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT count(*) FROM radio,SELECT count(*) FROM radio
32,137,tv_shows,tv_shows,bbc_channels,False,True,0.009927,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Transmitter FROM radio ORDER BY ERP_kW ASC,SELECT Transmitter FROM radio ORDER BY ERP_kW ASC
