pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT COUNT(*) FROM club,SELECT COUNT(*) FROM club
1,1,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT count(*) FROM club,SELECT count(*) FROM club
2,2,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT Name FROM club ORDER BY Name,SELECT Name FROM club ORDER BY Name
4,6,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT T1.Name FROM club AS T1 WHERE T1.Manufacturer != 'Nike',SELECT T1.Name FROM club AS T1 WHERE T1.Manufacturer != 'Nike'
5,7,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT Name FROM club WHERE Manufacturer != 'Nike',SELECT Name FROM club WHERE Manufacturer != 'Nike'
6,8,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT T1.Name FROM player AS T1 JOIN club AS T2 ON T1.Club_ID = T2.Club_ID ORDER BY T1.Wins_count ASC,SELECT T1.Name FROM player AS T1 JOIN club AS T2 ON T1.Club_ID = T2.Club_ID ORDER BY T1.Wins_count ASC
7,9,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT Name FROM player ORDER BY Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
8,12,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000
9,13,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,SELECT T1.Country FROM player AS T1 WHERE T1.Earnings > 1200000,SELECT T1.Country FROM player AS T1 WHERE T1.Earnings > 1200000
10,28,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(Club_ID) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(Club_ID) > 1
11,29,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(Club_ID) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(Club_ID) > 1
12,30,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT T1.Country FROM player AS T1 JOIN club AS T2 ON T1.Club_ID = T2.Club_ID GROUP BY T1.Country HAVING COUNT(T1.Country) > 1,SELECT T1.Country FROM player AS T1 JOIN club AS T2 ON T1.Club_ID = T2.Club_ID GROUP BY T1.Country HAVING COUNT(T1.Country) > 1
13,31,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,SELECT T2.Country FROM player AS T1 JOIN club AS T2 ON T1.Club_ID = T2.Club_ID GROUP BY T2.Country HAVING COUNT(T1.Player_ID) > 1,SELECT T2.Country FROM player AS T1 JOIN club AS T2 ON T1.Club_ID = T2.Club_ID GROUP BY T2.Country HAVING COUNT(T1.Player_ID) > 1
14,36,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT(DISTINCT Country) FROM player
15,37,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT(DISTINCT Country) FROM player
16,78,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(T1.customer_id) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id = T2.customer_id,SELECT COUNT(T1.customer_id) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id = T2.customer_id
17,79,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT T1.customer_id) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id = T2.customer_id,SELECT COUNT(DISTINCT T1.customer_id) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id = T2.customer_id
18,80,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT count(DISTINCT order_item_status_code) FROM Order_Items,SELECT count(DISTINCT order_item_status_code) FROM Order_Items
19,81,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items
20,82,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
21,83,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
22,100,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(*) FROM Shipments,SELECT COUNT(*) FROM Shipments
23,101,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(*) FROM Shipments,SELECT COUNT(*) FROM Shipments
24,102,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
25,103,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
26,104,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
27,105,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT AVG(T1.product_price) FROM Products AS T1,SELECT AVG(T1.product_price) FROM Products AS T1
28,123,bbc_channels,bbc_channels,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT Digital_terrestrial_channel) FROM channel,SELECT COUNT(DISTINCT Digital_terrestrial_channel) FROM channel
29,124,bbc_channels,bbc_channels,,,False,0,True,,llama3.1-8b,SELECT T1.Title FROM program AS T1 JOIN director AS T2 ON T1.Director_ID = T2.Director_ID ORDER BY T1.Start_Year DESC,SELECT T1.Title FROM program AS T1 JOIN director AS T2 ON T1.Director_ID = T2.Director_ID ORDER BY T1.Start_Year DESC
30,133,bbc_channels,bbc_channels,,,False,0,True,,llama3.1-8b,SELECT Name FROM director WHERE Age BETWEEN 30 AND 60,SELECT Name FROM director WHERE Age BETWEEN 30 AND 60
31,136,tv_shows,tv_shows,,,False,0,True,,llama3.1-8b,SELECT count(*) FROM radio,SELECT count(*) FROM radio
32,137,tv_shows,tv_shows,,,False,0,True,,llama3.1-8b,SELECT T1.Transmitter FROM radio AS T1 JOIN city_channel_radio AS T2 ON T1.Radio_ID = T2.Radio_ID ORDER BY T1.ERP_kW ASC,SELECT T1.Transmitter FROM radio AS T1 JOIN city_channel_radio AS T2 ON T1.Radio_ID = T2.Radio_ID ORDER BY T1.ERP_kW ASC
33,139,tv_shows,tv_shows,,,False,0,True,,llama3.1-8b,SELECT T1.Station_name FROM city_channel AS T1 WHERE T1.Affiliation != 'ABC',SELECT T1.Station_name FROM city_channel AS T1 WHERE T1.Affiliation != 'ABC'
34,142,tv_shows,tv_shows,,,False,0,True,,llama3.1-8b,SELECT AVG(ERP_kW) FROM radio,SELECT AVG(ERP_kW) FROM radio
35,145,tv_shows,tv_shows,,,False,0,True,,llama3.1-8b,SELECT T1.Affiliation FROM city_channel AS T1 GROUP BY T1.Affiliation HAVING COUNT(T1.ID) > 3,SELECT T1.Affiliation FROM city_channel AS T1 GROUP BY T1.Affiliation HAVING COUNT(T1.ID) > 3
36,153,vehicle_driver,vehicle_driver,,,False,0,True,,llama3.1-8b,SELECT T1.Name FROM driver AS T1 JOIN vehicle_driver AS T2 ON T1.Driver_ID = T2.Driver_ID JOIN vehicle AS T3 ON T2.Vehicle_ID = T3.Vehicle_ID WHERE T1.Citizenship = 'United States',SELECT T1.Name FROM driver AS T1 JOIN vehicle_driver AS T2 ON T1.Driver_ID = T2.Driver_ID JOIN vehicle AS T3 ON T2.Vehicle_ID = T3.Vehicle_ID WHERE T1.Citizenship = 'United States'
37,154,vehicle_driver,vehicle_driver,,,False,0,True,,llama3.1-8b,SELECT T1.Name FROM driver AS T1 JOIN vehicle_driver AS T2 ON T1.Driver_ID = T2.Driver_ID,SELECT T1.Name FROM driver AS T1 JOIN vehicle_driver AS T2 ON T1.Driver_ID = T2.Driver_ID
38,167,vehicle_driver,vehicle_driver,,,False,0,True,,llama3.1-8b,"SELECT COUNT(DISTINCT T1.Driver_ID) FROM driver AS T1 JOIN vehicle_driver AS T2 ON T1.Driver_ID = T2.Driver_ID WHERE T1.Racing_Series = ""NASCAR""","SELECT COUNT(DISTINCT T1.Driver_ID) FROM driver AS T1 JOIN vehicle_driver AS T2 ON T1.Driver_ID = T2.Driver_ID WHERE T1.Racing_Series = ""NASCAR"""
39,168,vehicle_driver,vehicle_driver,,,False,1,True,,llama3.1-8b,SELECT COUNT(DISTINCT driver.Driver_ID) FROM driver INNER JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID INNER JOIN vehicle ON vehicle_driver.Vehicle_ID = vehicle.Vehicle_ID WHERE vehicle.Model IN (SELECT Model FROM vehicle WHERE Racing_Series = 'NASCAR'),SELECT COUNT(DISTINCT driver.Driver_ID) FROM driver INNER JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID INNER JOIN vehicle ON vehicle_driver.Vehicle_ID = vehicle.Vehicle_ID WHERE vehicle.Model IN (SELECT Model FROM vehicle WHERE Racing_Series = 'NASCAR')
40,169,vehicle_driver,vehicle_driver,,,False,0,True,,llama3.1-8b,SELECT AVG(T1.Top_Speed) FROM vehicle AS T1,SELECT AVG(T1.Top_Speed) FROM vehicle AS T1
41,170,vehicle_driver,vehicle_driver,,,False,0,True,,llama3.1-8b,SELECT AVG(T1.Top_Speed) FROM vehicle AS T1,SELECT AVG(T1.Top_Speed) FROM vehicle AS T1
42,185,vehicle_driver,vehicle_driver,,,False,0,True,,llama3.1-8b,SELECT Name FROM driver ORDER BY Name ASC,SELECT Name FROM driver ORDER BY Name ASC
43,186,vehicle_driver,vehicle_driver,,,False,0,True,,llama3.1-8b,SELECT T1.Name FROM driver AS T1 JOIN vehicle_driver AS T2 ON T1.Driver_ID = T2.Driver_ID,SELECT T1.Name FROM driver AS T1 JOIN vehicle_driver AS T2 ON T1.Driver_ID = T2.Driver_ID
44,193,online_exams,online_exams,,,False,0,True,,llama3.1-8b,SELECT count(*) FROM Exams,SELECT count(*) FROM Exams
45,194,online_exams,online_exams,,,False,0,True,,llama3.1-8b,SELECT count(*) FROM Exams,SELECT count(*) FROM Exams
46,195,online_exams,online_exams,,,False,0,True,,llama3.1-8b,SELECT DISTINCT Subject_Code FROM Exams ORDER BY Subject_Code ASC,SELECT DISTINCT Subject_Code FROM Exams ORDER BY Subject_Code ASC
47,196,online_exams,online_exams,,,False,0,True,,llama3.1-8b,SELECT DISTINCT Subject_Code FROM Exams,SELECT DISTINCT Subject_Code FROM Exams
48,203,online_exams,online_exams,,,False,0,True,,llama3.1-8b,SELECT DISTINCT T1.Student_Answer_Text FROM Student_Answers AS T1 JOIN Student_Assessments AS T2 ON T1.Student_Answer_ID = T2.Student_Answer_ID WHERE T2.Assessment = 'Normal',SELECT DISTINCT T1.Student_Answer_Text FROM Student_Answers AS T1 JOIN Student_Assessments AS T2 ON T1.Student_Answer_ID = T2.Student_Answer_ID WHERE T2.Assessment = 'Normal'
49,204,online_exams,online_exams,,,False,0,True,,llama3.1-8b,SELECT DISTINCT T1.Student_Answer_Text FROM Student_Answers AS T1 JOIN Student_Assessments AS T2 ON T1.Student_Answer_ID = T2.Student_Answer_ID WHERE T2.Assessment = 'Normal',SELECT DISTINCT T1.Student_Answer_Text FROM Student_Answers AS T1 JOIN Student_Assessments AS T2 ON T1.Student_Answer_ID = T2.Student_Answer_ID WHERE T2.Assessment = 'Normal'
50,205,online_exams,online_exams,,,False,0,True,,llama3.1-8b,SELECT DISTINCT Comments FROM Student_Answers,SELECT DISTINCT Comments FROM Student_Answers
