pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,0,True,SELECT COUNT(T1.IDENTIFIER_PRIMARY_1) FROM T1,SELECT COUNT(club.Club_ID) FROM club
1,1,soccer_3,soccer_3,,,False,0,True,SELECT count(*) FROM T1,SELECT count(*) FROM club
2,2,soccer_3,soccer_3,,,False,0,True,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,,,False,0,True,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY T1.DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT club.Name FROM club ORDER BY club.Name ASC
4,6,soccer_3,soccer_3,,,False,0,True,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.TEXT_FIELD_5 != 'Nike',SELECT club.Name FROM club WHERE club.Manufacturer != 'Nike'
5,7,soccer_3,soccer_3,,,False,0,True,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.TEXT_FIELD_5 != 'Nike',SELECT club.Name FROM club WHERE club.Manufacturer != 'Nike'
6,8,soccer_3,soccer_3,,,False,3,False,SELECT T1.DESCRIPITIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 ORDER BY T2.MEASUREMENT_VALUE_12 ASC,SELECT club.DESCRIPITIVE_ATTRIBUTE_2 FROM club JOIN player ON club.Club_ID = player.Club_ID ORDER BY player.Wins_count ASC
7,9,soccer_3,soccer_3,,,False,0,True,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 INNER JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 ORDER BY T2.MEASUREMENT_VALUE_12 ASC,SELECT club.Name FROM club INNER JOIN player ON club.Club_ID = player.Club_ID ORDER BY player.Wins_count ASC
8,12,soccer_3,soccer_3,,,False,0,True,SELECT DISTINCT T2.DESCRIPTIVE_ATTRIBUTE_9 FROM T2 JOIN T1 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 WHERE T2.NUMERIC_FIELD_10 > 1200000,SELECT DISTINCT player.Country FROM player JOIN club ON player.Club_ID = club.Club_ID WHERE player.Earnings > 1200000
9,13,soccer_3,soccer_3,,,False,0,True,SELECT T2.DESCRIPTIVE_ATTRIBUTE_9 FROM T2 JOIN T1 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 WHERE T1.TEXT_FIELD_4 > 1200000,SELECT player.Country FROM player JOIN club ON player.Club_ID = club.Club_ID WHERE club.Captain > 1200000
10,4,soccer_3,soccer_3,,,False,0,True,"SELECT T1.TEXT_FIELD_3 , T1.TEXT_FIELD_4 FROM T1","SELECT club.Manager , club.Captain FROM club"
11,5,soccer_3,soccer_3,,,False,0,True,"SELECT T1.TEXT_FIELD_3, T1.TEXT_FIELD_4 FROM T1","SELECT club.Manager, club.Captain FROM club"
12,10,soccer_3,soccer_3,,,False,3,False,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.NUMERIC_FIELD_10 = ( SELECT MAX(NUMERIC_FIELD_10) FROM T1 ),SELECT club.Name FROM club WHERE club.Earnings = ( SELECT MAX(Earnings) FROM club )
13,11,soccer_3,soccer_3,,,False,0,True,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 AS T1 JOIN T2 AS T2 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 ORDER BY T2.NUMERIC_FIELD_10 DESC LIMIT 1,SELECT club.Name FROM club AS club JOIN player AS player ON player.Club_ID = club.Club_ID ORDER BY player.Earnings DESC LIMIT 1
