pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,0,True,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM club
1,1,soccer_3,soccer_3,,,False,0,True,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM club
2,2,soccer_3,soccer_3,,,False,0,True,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,,,False,0,True,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.DESCRIPTIVE_ATTRIBUTE_2 LIKE 'club%' ORDER BY T1.DESCRIPTIVE_ATTRIBUTE_2,SELECT club.Name FROM club WHERE club.Name LIKE 'club%' ORDER BY club.Name
4,6,soccer_3,soccer_3,,,False,0,True,"SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.DESCRIPTIVE_ATTRIBUTE_2 != ""Nike""","SELECT club.Name FROM club WHERE club.Name != ""Nike"""
5,7,soccer_3,soccer_3,,,False,0,True,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.DESCRIPTIVE_ATTRIBUTE_2 NOT IN ( SELECT T2.DESCRIPTIVE_ATTRIBUTE_9 FROM T2 WHERE T2.DESCRIPTIVE_ATTRIBUTE_9 = 'Nike' ),SELECT club.Name FROM club WHERE club.Name NOT IN ( SELECT player.Country FROM player WHERE player.Country = 'Nike' )
6,8,soccer_3,soccer_3,,,False,3,False,SELECT T1.DESCRIPITIVE_ATTRIBUTE_2 FROM T1 ORDER BY T2.MEASUREMENT_VALUE_11,SELECT club.DESCRIPITIVE_ATTRIBUTE_2 FROM club ORDER BY player.Events_number
7,9,soccer_3,soccer_3,,,False,0,True,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.DESCRIPTIVE_ATTRIBUTE_2 IN ( SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 GROUP BY T1.DESCRIPTIVE_ATTRIBUTE_2 ORDER BY COUNT(*) ASC ),SELECT club.Name FROM club WHERE club.Name IN ( SELECT club.Name FROM club GROUP BY club.Name ORDER BY COUNT(*) ASC )
8,12,soccer_3,soccer_3,,,False,3,False,SELECT DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.MEASUREMENT_VALUE_11 > 1200000,SELECT DISTINCT club.Name FROM club WHERE club.Events_number > 1200000
9,13,soccer_3,soccer_3,,,False,0,True,SELECT T2.DESCRIPTIVE_ATTRIBUTE_8 FROM T2 WHERE T2.NUMERIC_FIELD_10 > 1200000,SELECT player.Name FROM player WHERE player.Earnings > 1200000
10,4,soccer_3,soccer_3,,,False,0,True,"SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 , T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 AS T1 JOIN T2 AS T2 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 WHERE T2.DESCRIPTIVE_ATTRIBUTE_9 = 'captain' OR T2.DESCRIPTIVE_ATTRIBUTE_9 = 'manager'","SELECT club.Name , club.Name FROM club AS club JOIN player AS player ON player.Club_ID = club.Club_ID WHERE player.Country = 'captain' OR player.Country = 'manager'"
11,5,soccer_3,soccer_3,,,False,0,True,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 INNER JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.DESCRIPTIVE_ATTRIBUTE_8 = 'Manager' OR T2.DESCRIPTIVE_ATTRIBUTE_9 = 'Captain',SELECT club.Name FROM club INNER JOIN player ON club.Club_ID = player.Club_ID WHERE player.Name = 'Manager' OR player.Country = 'Captain'
12,10,soccer_3,soccer_3,,,False,3,False,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.NUMERIC_FIELD_10 = ( SELECT MAX(NUMERIC_FIELD_10) FROM T1 ),SELECT club.Name FROM club WHERE club.Earnings = ( SELECT MAX(Earnings) FROM club )
13,11,soccer_3,soccer_3,,,False,3,False,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.NUMERIC_FIELD_10 = ( SELECT MAX(NUMERIC_FIELD_10) FROM T2 ),SELECT club.Name FROM club WHERE club.Earnings = ( SELECT MAX(Earnings) FROM player )
14,16,soccer_3,soccer_3,,,False,0,True,"SELECT T1.DESCRIPTIVE_ATTRIBUTE_2, T2.DESCRIPTIVE_ATTRIBUTE_8 FROM T1 AS T1 JOIN T2 AS T2 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1","SELECT club.Name, player.Name FROM club AS club JOIN player AS player ON player.Club_ID = club.Club_ID"
15,17,soccer_3,soccer_3,,,False,1,True,"SELECT T1.DESCRIPTIVE_ATTRIBUTE_2, T2.DESCRIPTIVE_ATTRIBUTE_9 FROM T1 AS T1 JOIN T2 AS T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13","SELECT club.Name, player.Country FROM club AS club JOIN player AS player ON club.Club_ID = player.Club_ID"
16,18,soccer_3,soccer_3,,,False,0,True,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 AS T1 JOIN T2 AS T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.NUMERIC_FIELD_10 > 2 GROUP BY T1.DESCRIPTIVE_ATTRIBUTE_2,SELECT club.Name FROM club AS club JOIN player AS player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 2 GROUP BY club.Name
17,19,soccer_3,soccer_3,,,False,0,True,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 AS T1 JOIN T2 AS T2 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 GROUP BY T1.DESCRIPTIVE_ATTRIBUTE_2 HAVING count(*) > 2,SELECT club.Name FROM club AS club JOIN player AS player ON player.Club_ID = club.Club_ID GROUP BY club.Name HAVING count(*) > 2
18,20,soccer_3,soccer_3,,,False,0,True,"SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 , T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 AS T1 JOIN T2 AS T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.DESCRIPTIVE_ATTRIBUTE_9 = ""Sam Allardyce""","SELECT club.Name , club.Name FROM club AS club JOIN player AS player ON club.Club_ID = player.Club_ID WHERE player.Country = ""Sam Allardyce"""
19,21,soccer_3,soccer_3,,,False,0,True,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 INNER JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.DESCRIPTIVE_ATTRIBUTE_9 = 'Sam Allardyce',SELECT club.Name FROM club INNER JOIN player ON club.Club_ID = player.Club_ID WHERE player.Country = 'Sam Allardyce'
20,14,soccer_3,soccer_3,,,False,0,True,SELECT T2.DESCRIPTIVE_ATTRIBUTE_8 FROM T2 INNER JOIN T1 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 WHERE T2.MEASUREMENT_VALUE_11 > 2 ORDER BY T2.MEASUREMENT_VALUE_11 DESC LIMIT 1,SELECT player.Name FROM player INNER JOIN club ON player.Club_ID = club.Club_ID WHERE player.Events_number > 2 ORDER BY player.Events_number DESC LIMIT 1
21,15,soccer_3,soccer_3,,,False,0,True,SELECT T2.DESCRIPTIVE_ATTRIBUTE_8 FROM T2 WHERE T2.IDENTIFIER_REFERENCE_13 IN ( SELECT T2.IDENTIFIER_REFERENCE_13 FROM T2 GROUP BY T2.IDENTIFIER_REFERENCE_13 HAVING count(*) > 2 ORDER BY count(*) DESC LIMIT 1 ),SELECT player.Name FROM player WHERE player.Club_ID IN ( SELECT player.Club_ID FROM player GROUP BY player.Club_ID HAVING count(*) > 2 ORDER BY count(*) DESC LIMIT 1 )
22,22,soccer_3,soccer_3,,,False,0,True,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 INNER JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.DESCRIPTIVE_ATTRIBUTE_2 ORDER BY AVG(T2.MEASUREMENT_VALUE_11) DESC,SELECT club.Name FROM club INNER JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Name ORDER BY AVG(player.Events_number) DESC
23,23,soccer_3,soccer_3,,,False,0,True,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 AS T1 INNER JOIN T2 AS T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.DESCRIPTIVE_ATTRIBUTE_2 ORDER BY AVG(T2.MEASUREMENT_VALUE_11) DESC,SELECT club.Name FROM club AS club INNER JOIN player AS player ON club.Club_ID = player.Club_ID GROUP BY club.Name ORDER BY AVG(player.Events_number) DESC
24,26,soccer_3,soccer_3,,,False,0,True,SELECT T2.DESCRIPTIVE_ATTRIBUTE_8 FROM T2 GROUP BY T2.DESCRIPTIVE_ATTRIBUTE_8 ORDER BY COUNT(*) DESC LIMIT 1,SELECT player.Name FROM player GROUP BY player.Name ORDER BY COUNT(*) DESC LIMIT 1
25,27,soccer_3,soccer_3,,,False,0,True,SELECT DESCRIPTIVE_ATTRIBUTE_8 FROM T1 GROUP BY DESCRIPTIVE_ATTRIBUTE_8 ORDER BY COUNT(*) DESC LIMIT 1,SELECT Name FROM club GROUP BY Name ORDER BY COUNT(*) DESC LIMIT 1
26,32,soccer_3,soccer_3,,,False,0,True,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE IDENTIFIER_PRIMARY_1 NOT IN (SELECT IDENTIFIER_REFERENCE_13 FROM T2),SELECT Name FROM club WHERE Club_ID NOT IN (SELECT Club_ID FROM player)
27,33,soccer_3,soccer_3,,,False,0,True,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.DESCRIPTIVE_ATTRIBUTE_2 NOT IN (SELECT T2.DESCRIPTIVE_ATTRIBUTE_8 FROM T2),SELECT club.Name FROM club WHERE club.Name NOT IN (SELECT player.Name FROM player)
28,34,soccer_3,soccer_3,,,False,0,True,SELECT T2.DESCRIPTIVE_ATTRIBUTE_8 FROM T2 INNER JOIN T1 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 WHERE T2.MEASUREMENT_VALUE_11 > 1400000 INTERSECT SELECT T2.DESCRIPTIVE_ATTRIBUTE_8 FROM T2 INNER JOIN T1 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 WHERE T2.MEASUREMENT_VALUE_11 < 1100000,SELECT player.Name FROM player INNER JOIN club ON player.Club_ID = club.Club_ID WHERE player.Events_number > 1400000 INTERSECT SELECT player.Name FROM player INNER JOIN club ON player.Club_ID = club.Club_ID WHERE player.Events_number < 1100000
29,35,soccer_3,soccer_3,,,False,0,True,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE EXISTS (SELECT 1 FROM T2 WHERE T2.MEASUREMENT_VALUE_11 > 1400000 AND T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1) AND EXISTS (SELECT 1 FROM T2 WHERE T2.MEASUREMENT_VALUE_11 < 1100000 AND T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1),SELECT club.Name FROM club WHERE EXISTS (SELECT 1 FROM player WHERE player.Events_number > 1400000 AND player.Club_ID = club.Club_ID) AND EXISTS (SELECT 1 FROM player WHERE player.Events_number < 1100000 AND player.Club_ID = club.Club_ID)
30,40,e_commerce,e_commerce,,,False,1,True,"SELECT T1.IDENTIFIER_PRIMARY_1 , T1.DESCRIPTIVE_ATTRIBUTE_3 , T1.MEASUREMENT_VALUE_6 FROM T1 AS T1 JOIN T5 AS T5 ON T1.IDENTIFIER_PRIMARY_1 = T5.IDENTIFIER_REFERENCE_20 JOIN T7 AS T7 ON T5.IDENTIFIER_PRIMARY_19 = T7.IDENTIFIER_PRIMARY_28 WHERE T7.IDENTIFIER_PRIMARY_28 IN (SELECT T6.IDENTIFIER_PRIMARY_23 FROM T6 AS T6 JOIN T4 AS T4 ON T6.IDENTIFIER_REFERENCE_24 = T4.IDENTIFIER_PRIMARY_15 JOIN T2 AS T2 ON T4.IDENTIFIER_REFERENCE_16 = T2.IDENTIFIER_PRIMARY_7 WHERE T2.DESCRIPTIVE_ATTRIBUTE_8 > 2) AND T7.IDENTIFIER_PRIMARY_28 IN (SELECT T6.IDENTIFIER_PRIMARY_23 FROM T6 AS T6 JOIN T4 AS T4 ON T6.IDENTIFIER_REFERENCE_24 = T4.IDENTIFIER_PRIMARY_15 JOIN T2 AS T2 ON T4.IDENTIFIER_REFERENCE_16 = T2.IDENTIFIER_PRIMARY_7 WHERE T2.DESCRIPTIVE_ATTRIBUTE_11 > 2)","SELECT Products.product_id , Products.product_name , Products.product_size FROM Products AS Products JOIN Order_Items AS Order_Items ON Products.product_id = Order_Items.product_id JOIN Shipment_Items AS Shipment_Items ON Order_Items.order_item_id = Shipment_Items.shipment_id WHERE Shipment_Items.shipment_id IN (SELECT Shipments.shipment_id FROM Shipments AS Shipments JOIN Orders AS Orders ON Shipments.order_id = Orders.order_id JOIN Customers AS Customers ON Orders.customer_id = Customers.customer_id WHERE Customers.gender_code > 2) AND Shipment_Items.shipment_id IN (SELECT Shipments.shipment_id FROM Shipments AS Shipments JOIN Orders AS Orders ON Shipments.order_id = Orders.order_id JOIN Customers AS Customers ON Orders.customer_id = Customers.customer_id WHERE Customers.customer_last_name > 2)"
31,41,e_commerce,e_commerce,,,False,1,True,"SELECT T1.IDENTIFIER_PRIMARY_1 , T1.DESCRIPTIVE_ATTRIBUTE_3 , T1.MEASUREMENT_VALUE_6 FROM T1 AS T1 JOIN T5 AS T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_20 JOIN T7 AS T3 ON T3.IDENTIFIER_PRIMARY_28 = T2.IDENTIFIER_REFERENCE_21 WHERE T3.IDENTIFIER_REFERENCE_29 > 2 AND T2.IDENTIFIER_REFERENCE_21 > 2","SELECT Products.product_id , Products.product_name , Products.product_size FROM Products AS Products JOIN Order_Items AS Customers ON Products.product_id = Customers.product_id JOIN Shipment_Items AS Customer_Payment_Methods ON Customer_Payment_Methods.shipment_id = Customers.order_id WHERE Customer_Payment_Methods.order_item_id > 2 AND Customers.order_id > 2"
32,46,e_commerce,e_commerce,,,False,0,True,"SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 , T1.DESCRIPTIVE_ATTRIBUTE_3 , T1.DESCRIPTIVE_ATTRIBUTE_5 FROM T1 WHERE T1.IDENTIFIER_PRIMARY_1 NOT IN (SELECT T2.IDENTIFIER_REFERENCE_8 FROM T2)","SELECT Customers.gender_code , Customers.customer_first_name , Customers.customer_last_name FROM Customers WHERE Customers.customer_id NOT IN (SELECT Orders.customer_id FROM Orders)"
33,47,e_commerce,e_commerce,,,False,0,True,"SELECT DESCRIPTIVE_ATTRIBUTE_2 , DESCRIPTIVE_ATTRIBUTE_3 , DESCRIPTIVE_ATTRIBUTE_5 FROM T1 WHERE IDENTIFIER_PRIMARY_1 NOT IN (SELECT IDENTIFIER_REFERENCE_8 FROM T2)","SELECT gender_code , customer_first_name , customer_last_name FROM Customers WHERE customer_id NOT IN (SELECT customer_id FROM Orders)"
