pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,retrieval_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C1) FROM T1,SELECT COUNT(DISTINCT Club_ID) FROM club
1,1,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM club
2,2,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C8 FROM T2 ORDER BY C8 ASC,SELECT Name FROM player ORDER BY Name ASC
3,3,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C2 FROM T1 ORDER BY C2 ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.C2 FROM T1 WHERE T1.C3 != 'Nike',SELECT DISTINCT club.Name FROM club WHERE club.Manager != 'Nike'
5,7,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.C2 FROM T1 WHERE T1.C1 NOT IN (SELECT T2.C13 FROM T2 WHERE T2.C8 = 'Nike'),SELECT DISTINCT club.Name FROM club WHERE club.Club_ID NOT IN (SELECT player.Club_ID FROM player WHERE player.Name = 'Nike')
6,8,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT T1.C2 FROM T1 JOIN T2 ON T1.C1 = T2.C13 GROUP BY T1.C1, T1.C2 ORDER BY sum(T2.C10) ASC","SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Club_ID, club.Name ORDER BY sum(player.Earnings) ASC"
7,9,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT T1.C2, COUNT(T2.C11) AS win_count FROM T1 JOIN T2 ON T1.C1 = T2.C13 WHERE T2.C11 > 0 GROUP BY T1.C1, T1.C2 ORDER BY win_count ASC","SELECT club.Name, COUNT(player.Events_number) AS win_count FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Events_number > 0 GROUP BY club.Club_ID, club.Name ORDER BY win_count ASC"
8,12,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.C3 FROM T1 JOIN T2 ON T1.C1 = T2.C13 WHERE T2.C10 > 1200000,SELECT DISTINCT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000
9,13,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.C3 FROM T1 JOIN T2 ON T1.C1 = T2.C13 WHERE T2.C10 > 1200000,SELECT DISTINCT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000
10,28,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C2 FROM T1 JOIN T2 ON T1.C1 = T2.C13 GROUP BY T1.C2 HAVING count(DISTINCT T2.C7) > 1,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Name HAVING count(DISTINCT player.Player_ID) > 1
11,29,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C2 FROM T1 JOIN T2 ON T1.C1 = T2.C13 GROUP BY T1.C2 HAVING COUNT(DISTINCT T2.C7) > 1,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Name HAVING COUNT(DISTINCT player.Player_ID) > 1
12,30,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C2 FROM T1 JOIN T2 ON T1.C1 = T2.C13 GROUP BY T1.C1 HAVING COUNT(T2.C7) > 1,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Club_ID HAVING COUNT(player.Player_ID) > 1
13,31,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C3 FROM T1 JOIN T2 ON T1.C1 = T2.C13 GROUP BY T1.C3 HAVING COUNT(T2.C7) > 1,SELECT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Manager HAVING COUNT(player.Player_ID) > 1
14,36,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T1.C3) FROM T1 JOIN T2 ON T1.C1 = T2.C13,SELECT COUNT(DISTINCT club.Manager) FROM club JOIN player ON club.Club_ID = player.Club_ID
15,37,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C3) FROM T1,SELECT COUNT(DISTINCT Manager) FROM club
16,78,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T2.C8) FROM T2,SELECT COUNT(DISTINCT Orders.customer_id) FROM Orders
17,79,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T3.C10) FROM T3,SELECT COUNT(DISTINCT Orders.customer_id) FROM Orders
18,80,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T2.C8) FROM T2,SELECT COUNT(DISTINCT Order_Items.order_item_status_code) FROM Order_Items
19,81,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C8) FROM T2 JOIN T4 ON T2.C5 = T4.C15,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items JOIN Shipment_Items ON Order_Items.order_item_id = Shipment_Items.order_item_id
20,82,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C2) FROM T1,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
21,83,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C8) FROM T2,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
22,100,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T4,SELECT COUNT(*) FROM Shipment_Items
23,101,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C9) FROM T2,SELECT COUNT(DISTINCT invoice_number) FROM Shipments
24,102,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(C4) FROM T1,SELECT AVG(product_price) FROM Products
25,103,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(C4) FROM T1,SELECT AVG(product_price) FROM Products
26,104,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(C4) FROM T1,SELECT AVG(product_price) FROM Products
27,105,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(C4) FROM T1,SELECT AVG(product_price) FROM Products
28,123,bbc_channels,bbc_channels,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C6) FROM T2,SELECT COUNT(DISTINCT Director_ID) FROM director
29,124,bbc_channels,bbc_channels,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C7 FROM T2 ORDER BY C8 DESC,SELECT Name FROM director ORDER BY Age DESC
30,133,bbc_channels,bbc_channels,,,False,0,False,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C2 FROM T1 WHERE T1.C8 BETWEEN 30 AND 60,SELECT channel.Name FROM channel WHERE channel.Age BETWEEN 30 AND 60
31,136,tv_shows,tv_shows,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT count(*) FROM T1,SELECT count(*) FROM radio
32,137,tv_shows,tv_shows,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C2 FROM T1 JOIN T2 ON T1.C1 = T2.C8 ORDER BY T2.C9 ASC,SELECT radio.Transmitter FROM radio JOIN city_channel_radio ON radio.Radio_ID = city_channel_radio.Radio_ID ORDER BY city_channel_radio.Is_online ASC
33,139,tv_shows,tv_shows,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T2.C7 FROM T2 WHERE T2.C11 != 'ABC',SELECT radio.Transmitter FROM radio WHERE radio.Lyric_FM_MHz != 'ABC'
34,142,tv_shows,tv_shows,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(C9) FROM T2,SELECT AVG(Is_online) FROM city_channel_radio
35,145,tv_shows,tv_shows,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C5 FROM T1 WHERE C1 IN (SELECT C1 FROM T1 GROUP BY C5 HAVING COUNT(DISTINCT C1) > 3) GROUP BY C5 HAVING COUNT(DISTINCT C1) > 3,SELECT Affiliation FROM city_channel WHERE ID IN (SELECT ID FROM city_channel GROUP BY Affiliation HAVING COUNT(DISTINCT ID) > 3) GROUP BY Affiliation HAVING COUNT(DISTINCT ID) > 3
36,153,vehicle_driver,vehicle_driver,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C2 FROM T1 JOIN T3 ON T1.C1 = T3.C13 JOIN T2 ON T3.C12 = T2.C8 WHERE T2.C9 = 'United States',SELECT vehicle.Model FROM vehicle JOIN vehicle_driver ON vehicle.Vehicle_ID = vehicle_driver.Vehicle_ID JOIN driver ON vehicle_driver.Driver_ID = driver.Driver_ID WHERE driver.Name = 'United States'
37,154,vehicle_driver,vehicle_driver,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T2.C9 FROM T2 WHERE T2.C11 = 'United States',SELECT driver.Name FROM driver WHERE driver.Racing_Series = 'United States'
38,167,vehicle_driver,vehicle_driver,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T3.C13) FROM T2 JOIN T3 ON T2.C8 = T3.C12 WHERE T2.C9 = 'NASCAR',SELECT COUNT(DISTINCT vehicle_driver.Vehicle_ID) FROM driver JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID WHERE driver.Name = 'NASCAR'
39,168,vehicle_driver,vehicle_driver,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T3.C13) FROM T3 JOIN T2 ON T3.C12 = T2.C8 WHERE T2.C9 = 'NASCAR',SELECT COUNT(DISTINCT vehicle_driver.Vehicle_ID) FROM vehicle_driver JOIN driver ON vehicle_driver.Driver_ID = driver.Driver_ID WHERE driver.Name = 'NASCAR'
40,169,vehicle_driver,vehicle_driver,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(C5) FROM T1,SELECT AVG(Power) FROM vehicle
41,170,vehicle_driver,vehicle_driver,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(C5) FROM T1,SELECT AVG(Power) FROM vehicle
42,185,vehicle_driver,vehicle_driver,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C2 FROM T1 ORDER BY C2 ASC,SELECT Model FROM vehicle ORDER BY Model ASC
43,186,vehicle_driver,vehicle_driver,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C2 FROM T1 ORDER BY T1.C2 ASC,SELECT vehicle.Model FROM vehicle ORDER BY vehicle.Model ASC
44,193,online_exams,online_exams,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT count(*) FROM T2,SELECT count(*) FROM Questions_in_Exams
45,194,online_exams,online_exams,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT count(*) FROM T3,SELECT count(*) FROM Student_Assessments
46,195,online_exams,online_exams,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT C6 FROM T2 ORDER BY C6 ASC,SELECT DISTINCT Question_ID FROM Questions_in_Exams ORDER BY Question_ID ASC
47,196,online_exams,online_exams,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT C2 FROM T1 ORDER BY C2 ASC,SELECT DISTINCT Subject_Code FROM Exams ORDER BY Subject_Code ASC
48,203,online_exams,online_exams,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT DISTINCT T5.C17 FROM T5 WHERE T5.C18 = ""Normal""","SELECT DISTINCT Student_Assessments.Student_Answer_Text FROM Student_Assessments WHERE Student_Assessments.Satisfactory_YN = ""Normal"""
49,204,online_exams,online_exams,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T5.C17 FROM T5 WHERE T5.C18 = 'Normal',SELECT DISTINCT Student_Assessments.Student_Answer_Text FROM Student_Assessments WHERE Student_Assessments.Satisfactory_YN = 'Normal'
50,205,online_exams,online_exams,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C12) FROM T2,SELECT COUNT(DISTINCT Student_Answer_Text) FROM Student_Answers
51,206,online_exams,online_exams,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C20) FROM T5,SELECT COUNT(DISTINCT Student_Answer_Text) FROM Student_Answers
52,219,online_exams,online_exams,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT C3 FROM T1 WHERE C5 != ""M""","SELECT Middle_Name FROM Students WHERE Gender_MFU != ""M"""
53,220,online_exams,online_exams,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT C3 FROM T1 WHERE C5 != ""M""","SELECT Middle_Name FROM Students WHERE Gender_MFU != ""M"""
54,229,online_exams,online_exams,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C3 FROM T1 JOIN T2 ON T1.C1 = T2.C5 GROUP BY T1.C3 HAVING COUNT(*) >= 3,SELECT Questions.Question_Text FROM Questions JOIN Questions_in_Exams ON Questions.Question_ID = Questions_in_Exams.Question_ID GROUP BY Questions.Question_Text HAVING COUNT(*) >= 3
55,230,online_exams,online_exams,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C1 FROM T1 JOIN T2 ON T1.C1 = T2.C5 GROUP BY T1.C1 HAVING COUNT(T2.C4) >= 3,SELECT Questions.Question_ID FROM Questions JOIN Questions_in_Exams ON Questions.Question_ID = Questions_in_Exams.Question_ID GROUP BY Questions.Question_ID HAVING COUNT(Questions_in_Exams.Exam_ID) >= 3
56,231,online_exams,online_exams,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT * FROM T1,SELECT * FROM Students
57,232,online_exams,online_exams,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT T1.C1, T1.C2, T1.C3, T1.C4, T1.C5, T1.C6 FROM T1","SELECT Students.Student_ID, Students.First_Name, Students.Middle_Name, Students.Last_Name, Students.Gender_MFU, Students.Student_Address FROM Students"
58,233,customers_and_orders,customers_and_orders,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM Addresses
59,234,customers_and_orders,customers_and_orders,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(C6) FROM T2,SELECT COUNT(customer_number) FROM Customers
60,237,customers_and_orders,customers_and_orders,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM Products
61,238,customers_and_orders,customers_and_orders,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM Products
