pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,retrieval_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(C1) FROM T1,SELECT COUNT(Club_ID) FROM club
1,1,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM club
2,2,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C2 FROM T1 ORDER BY C4 ASC,SELECT Name FROM club ORDER BY Captain ASC
3,3,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C1 FROM T1 ORDER BY C1 ASC,SELECT Club_ID FROM club ORDER BY Club_ID ASC
4,6,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C2 FROM T1 WHERE T1.C5 != 'Nike',SELECT club.Name FROM club WHERE club.Manufacturer != 'Nike'
5,7,soccer_3,soccer_3,,,False,1,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C2 FROM T1 WHERE T1.C1 NOT IN ( SELECT T2.C13 FROM T2 WHERE T2.C8 = 'Nike' ),SELECT club.Name FROM club WHERE club.Club_ID NOT IN ( SELECT player.Club_ID FROM player WHERE player.Name = 'Nike' )
6,8,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T2.C10 FROM T2 ORDER BY T2.C12 ASC,SELECT player.Earnings FROM player ORDER BY player.Wins_count ASC
7,9,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T2.C10 FROM T2 JOIN T1 ON T2.C13 = T1.C1 ORDER BY T2.C12 ASC,SELECT player.Earnings FROM player JOIN club ON player.Club_ID = club.Club_ID ORDER BY player.Wins_count ASC
8,12,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.C3 FROM T1 JOIN T2 ON T1.C1 = T2.C13 WHERE T2.C10 > 1200000,SELECT DISTINCT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000
9,13,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C3 FROM T1 JOIN T2 ON T1.C1 = T2.C13 WHERE T2.C10 > 1200000,SELECT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000
10,28,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C5 FROM T1 JOIN T2 ON T1.C1 = T2.C13 GROUP BY C5 HAVING count(DISTINCT C4) > 1,SELECT Manufacturer FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY Manufacturer HAVING count(DISTINCT Captain) > 1
11,29,soccer_3,soccer_3,,,False,1,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C5 FROM T1 WHERE C1 IN (SELECT C13 FROM T2 GROUP BY C13 HAVING COUNT(*) > 1) GROUP BY C5,SELECT Manufacturer FROM club WHERE Club_ID IN (SELECT Club_ID FROM player GROUP BY Club_ID HAVING COUNT(*) > 1) GROUP BY Manufacturer
12,30,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C2 FROM T1 JOIN T2 ON T1.C1 = T2.C13 GROUP BY T1.C1 HAVING COUNT(T2.C7) > 1,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Club_ID HAVING COUNT(player.Player_ID) > 1
