pos,test_idx,difficulty,category,exec_success_runtime,pred_sql,gold_sql
0,0,,other,True,SELECT COUNT(*) FROM club,SELECT count(*) FROM club
1,1,,other,True,SELECT count(*) FROM club,SELECT count(*) FROM club
2,2,,other,True,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,,other,True,SELECT Name FROM club ORDER BY Name,SELECT Name FROM club ORDER BY Name ASC
4,6,,wrong_column,True,SELECT T1.Name FROM club AS T1 WHERE T1.Manufacturer != 'Nike',"SELECT Name FROM club WHERE Manufacturer != ""Nike"""
5,7,,other,True,SELECT Name FROM club WHERE Manufacturer != 'Nike',"SELECT Name FROM club WHERE Manufacturer != ""Nike"""
6,8,,wrong_column,True,SELECT T1.Name FROM player AS T1 JOIN club AS T2 ON T1.Club_ID = T2.Club_ID ORDER BY T1.Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
7,9,,other,True,SELECT Name FROM player ORDER BY Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
8,12,,other,True,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
9,13,,missing_clause,True,SELECT T1.Country FROM player AS T1 WHERE T1.Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
10,28,,wrong_column,True,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(Club_ID) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
11,29,,wrong_column,True,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(Club_ID) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
12,30,,wrong_column,True,SELECT T1.Country FROM player AS T1 JOIN club AS T2 ON T1.Club_ID = T2.Club_ID GROUP BY T1.Country HAVING COUNT(T1.Country) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
13,31,,exec_runtime_error,False,SELECT T2.Country FROM player AS T1 JOIN club AS T2 ON T1.Club_ID = T2.Club_ID GROUP BY T2.Country HAVING COUNT(T1.Player_ID) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
14,36,,other,True,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT (DISTINCT Country) FROM player
15,37,,other,True,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT (DISTINCT Country) FROM player
16,78,,missing_clause,True,SELECT COUNT(T1.customer_id) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id = T2.customer_id,SELECT count(DISTINCT customer_id) FROM Orders
17,79,,wrong_column,True,SELECT COUNT(DISTINCT T1.customer_id) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id = T2.customer_id,SELECT count(DISTINCT customer_id) FROM Orders
18,80,,other,True,SELECT count(DISTINCT order_item_status_code) FROM Order_Items,SELECT count(DISTINCT order_item_status_code) FROM Order_items
19,81,,other,True,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items,SELECT count(DISTINCT order_item_status_code) FROM Order_items
20,82,,other,True,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
21,83,,other,True,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
22,100,,wrong_table,True,SELECT COUNT(*) FROM Shipments,SELECT count(*) FROM Shipment_Items
23,101,,wrong_table,True,SELECT COUNT(*) FROM Shipments,SELECT count(*) FROM Shipment_Items
24,102,,other,True,SELECT AVG(product_price) FROM Products,SELECT avg(product_price) FROM Products
25,103,,other,True,SELECT AVG(product_price) FROM Products,SELECT avg(product_price) FROM Products
26,104,,wrong_table,True,SELECT AVG(product_price) FROM Products,SELECT avg(T1.product_price) FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id
27,105,,wrong_table,True,SELECT AVG(T1.product_price) FROM Products AS T1,SELECT avg(T1.product_price) FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id
28,123,,other,True,SELECT COUNT(DISTINCT Digital_terrestrial_channel) FROM channel,SELECT count(DISTINCT Digital_terrestrial_channel) FROM channel
29,124,,wrong_column,True,SELECT T1.Title FROM program AS T1 JOIN director AS T2 ON T1.Director_ID = T2.Director_ID ORDER BY T1.Start_Year DESC,SELECT title FROM program ORDER BY start_year DESC
30,133,,other,True,SELECT Name FROM director WHERE Age BETWEEN 30 AND 60,SELECT name FROM director WHERE age BETWEEN 30 AND 60
31,136,,other,True,SELECT count(*) FROM radio,SELECT count(*) FROM radio
32,137,,wrong_column,True,SELECT T1.Transmitter FROM radio AS T1 JOIN city_channel_radio AS T2 ON T1.Radio_ID = T2.Radio_ID ORDER BY T1.ERP_kW ASC,select transmitter from radio order by erp_kw asc
33,139,,wrong_column,True,SELECT T1.Station_name FROM city_channel AS T1 WHERE T1.Affiliation != 'ABC',"SELECT Station_name FROM city_channel WHERE Affiliation != ""ABC"""
34,142,,other,True,SELECT AVG(ERP_kW) FROM radio,SELECT avg(ERP_kW) FROM radio
