pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM club
1,1,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM club
2,2,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.DESCRIPTIVE_ATTRIBUTE_2 LIKE 'club%' ORDER BY T1.DESCRIPTIVE_ATTRIBUTE_2,SELECT club.Name FROM club WHERE club.Name LIKE 'club%' ORDER BY club.Name
4,6,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,"SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.DESCRIPTIVE_ATTRIBUTE_2 != ""Nike""","SELECT club.Name FROM club WHERE club.Name != ""Nike"""
5,7,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.DESCRIPTIVE_ATTRIBUTE_2 NOT IN (SELECT T2.DESCRIPTIVE_ATTRIBUTE_9 FROM T2 WHERE T2.DESCRIPTIVE_ATTRIBUTE_9 = 'Nike'),SELECT club.Name FROM club WHERE club.Name NOT IN (SELECT player.Country FROM player WHERE player.Country = 'Nike')
6,8,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,SELECT T1.DESCRIPITIVE_ATTRIBUTE_2 FROM T1 ORDER BY T2.MEASUREMENT_VALUE_11,SELECT club.DESCRIPITIVE_ATTRIBUTE_2 FROM club ORDER BY player.Events_number
7,9,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.DESCRIPTIVE_ATTRIBUTE_2 IN ( SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 GROUP BY T1.DESCRIPTIVE_ATTRIBUTE_2 ORDER BY COUNT(*) ASC ),SELECT club.Name FROM club WHERE club.Name IN ( SELECT club.Name FROM club GROUP BY club.Name ORDER BY COUNT(*) ASC )
8,12,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,SELECT DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.MEASUREMENT_VALUE_11 > 1200000,SELECT DISTINCT club.Name FROM club WHERE club.Events_number > 1200000
9,13,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT T2.DESCRIPTIVE_ATTRIBUTE_8 FROM T2 WHERE T2.NUMERIC_FIELD_10 > 1200000,SELECT player.Name FROM player WHERE player.Earnings > 1200000
