pos,test_idx,difficulty,category,exec_success_runtime,pred_sql,gold_sql
0,0,,wrong_column,True,SELECT COUNT(club.Club_ID) FROM club,SELECT count(*) FROM club
1,1,,other,True,SELECT count(*) FROM club,SELECT count(*) FROM club
2,2,,other,True,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,,other,True,SELECT club.Name FROM club ORDER BY club.Name ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,,other,True,SELECT club.Name FROM club WHERE club.Manufacturer != 'Nike',"SELECT Name FROM club WHERE Manufacturer != ""Nike"""
5,7,,other,True,SELECT club.Name FROM club WHERE club.Manufacturer != 'Nike',"SELECT Name FROM club WHERE Manufacturer != ""Nike"""
6,8,,exec_runtime_error,False,SELECT club.DESCRIPITIVE_ATTRIBUTE_2 FROM club JOIN player ON club.Club_ID = player.Club_ID ORDER BY player.Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
7,9,,wrong_column,True,SELECT club.Name FROM club INNER JOIN player ON club.Club_ID = player.Club_ID ORDER BY player.Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
8,12,,wrong_column,True,SELECT DISTINCT player.Country FROM player JOIN club ON player.Club_ID = club.Club_ID WHERE player.Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
9,13,,exec_runtime_error,False,SELECT player.DESCRIPITIVE_ATTRIBUTE_8 FROM player JOIN club ON player.Club_ID = club.Club_ID WHERE club.Manufacturer > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
10,28,,wrong_column,True,SELECT club.Manufacturer FROM club WHERE club.Captain IN (SELECT club.Captain FROM club GROUP BY club.Captain HAVING COUNT(*) > 1),SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
11,29,,wrong_column,True,SELECT club.Manufacturer FROM club INNER JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Manufacturer HAVING COUNT(club.Captain) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
12,30,,exec_runtime_error,False,SELECT club.DESCRIPITIVE_ATTRIBUTE_2 FROM player AS player JOIN club AS club ON player.Club_ID = club.Club_ID GROUP BY club.DESCRIPITIVE_ATTRIBUTE_2 HAVING COUNT(club.Club_ID) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
13,31,,exec_runtime_error,False,SELECT player.DESCRIPITIVE_ATTRIBUTE_8 FROM player WHERE player.Club_ID IN (SELECT club.Club_ID FROM club GROUP BY club.Club_ID HAVING COUNT(*) > 1) GROUP BY player.DESCRIPITIVE_ATTRIBUTE_8 HAVING COU,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
14,36,,missing_clause,True,SELECT COUNT(player.Country) FROM player,SELECT COUNT (DISTINCT Country) FROM player
15,37,,exec_runtime_error,False,SELECT COUNT(DISTINCT player.DESCRIPITIVE_ATTRIBUTE_8) FROM player,SELECT COUNT (DISTINCT Country) FROM player
16,78,,missing_clause,True,SELECT COUNT(Customers.customer_id) FROM Customers AS Customers JOIN Orders AS Orders ON Orders.customer_id = Customers.customer_id,SELECT count(DISTINCT customer_id) FROM Orders
17,79,,extra_clause,True,SELECT COUNT(Customers.customer_id) FROM Customers INNER JOIN Orders ON Orders.customer_id = Customers.customer_id GROUP BY Customers.customer_id,SELECT count(DISTINCT customer_id) FROM Orders
18,80,,exec_runtime_error,False,SELECT COUNT(Order_Items.order_item_status_code) FROM Order_Items WHERE Order_Items.order_id = Orders.order_id,SELECT count(DISTINCT order_item_status_code) FROM Order_items
19,81,,other,True,SELECT DISTINCT order_item_status_code FROM Order_Items,SELECT count(DISTINCT order_item_status_code) FROM Order_items
20,82,,other,True,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
21,83,,other,True,SELECT COUNT(DISTINCT Customer_Payment_Methods.payment_method_code) FROM Customer_Payment_Methods,SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
22,100,,wrong_table,True,SELECT COUNT(Shipments.shipment_id) FROM Shipments,SELECT count(*) FROM Shipment_Items
23,101,,wrong_table,True,SELECT COUNT(Products.product_name) FROM Products WHERE Products.product_id IS NOT NULL,SELECT count(*) FROM Shipment_Items
24,102,,other,True,SELECT AVG(product_price) FROM Products,SELECT avg(product_price) FROM Products
25,103,,other,True,SELECT AVG(product_price) FROM Products,SELECT avg(product_price) FROM Products
