pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT DESCRIPTIVE_ATTRIBUTE_2) FROM T1,SELECT COUNT(DISTINCT Name) FROM club
1,1,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT DESCRIPTIVE_ATTRIBUTE_2) FROM T1,SELECT COUNT(DISTINCT Name) FROM club
2,2,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE TEXT_FIELD_3 != 'Nike',SELECT Name FROM club WHERE Manager != 'Nike'
5,7,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE IDENTIFIER_PRIMARY_1 NOT IN (SELECT IDENTIFIER_REFERENCE_13 FROM T2 WHERE DESCRIPTIVE_ATTRIBUTE_9 = 'Nike'),SELECT Name FROM club WHERE Club_ID NOT IN (SELECT Club_ID FROM player WHERE Country = 'Nike')
6,8,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY MEASUREMENT_VALUE_12 ASC,SELECT Name FROM club ORDER BY Wins_count ASC
7,9,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE IDENTIFIER_PRIMARY_1 IN ( SELECT IDENTIFIER_REFERENCE_13 FROM T2 GROUP BY IDENTIFIER_REFERENCE_13 ORDER BY COUNT(IDENTIFIER_REFERENCE_13) ASC ),SELECT Name FROM club WHERE Club_ID IN ( SELECT Club_ID FROM player GROUP BY Club_ID ORDER BY COUNT(Club_ID) ASC )
8,12,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.NUMERIC_FIELD_10 > 1200000,SELECT DISTINCT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000
9,13,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.MEASUREMENT_VALUE_11 > 1200000,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Events_number > 1200000
