pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,0,True,SELECT COUNT(T1.C1) FROM T1,SELECT COUNT(club.Club_ID) FROM club
1,1,soccer_3,soccer_3,,,False,0,True,SELECT count(*) FROM T1,SELECT count(*) FROM club
2,2,soccer_3,soccer_3,,,False,0,True,SELECT C2 FROM T1 ORDER BY C2 ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,,,False,0,True,SELECT T1.C2 FROM T1 ORDER BY T1.C2 ASC,SELECT club.Name FROM club ORDER BY club.Name ASC
4,6,soccer_3,soccer_3,,,False,0,True,SELECT T1.C2 FROM T1 WHERE T1.C5 != 'Nike',SELECT club.Name FROM club WHERE club.Manufacturer != 'Nike'
5,7,soccer_3,soccer_3,,,False,0,True,SELECT T1.C2 FROM T1 WHERE T1.C5 != 'Nike',SELECT club.Name FROM club WHERE club.Manufacturer != 'Nike'
6,8,soccer_3,soccer_3,,,False,0,True,SELECT T2.C2 FROM T2 JOIN T1 ON T2.C13 = T1.C1 ORDER BY T2.C12 ASC,SELECT player.Name FROM player JOIN club ON player.Club_ID = club.Club_ID ORDER BY player.Wins_count ASC
7,9,soccer_3,soccer_3,,,False,0,True,SELECT T2.C11 FROM T2 JOIN T1 ON T2.C13 = T1.C1 ORDER BY T2.C12 ASC,SELECT player.Events_number FROM player JOIN club ON player.Club_ID = club.Club_ID ORDER BY player.Wins_count ASC
8,12,soccer_3,soccer_3,,,False,0,True,SELECT DISTINCT C9 FROM T2 WHERE C10 > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000
9,13,soccer_3,soccer_3,,,False,0,True,SELECT T2.C9 FROM T2 JOIN T1 ON T2.C13 = T1.C1 WHERE T1.C5 > 1200000,SELECT player.Country FROM player JOIN club ON player.Club_ID = club.Club_ID WHERE club.Manufacturer > 1200000
10,28,soccer_3,soccer_3,,,False,0,True,SELECT T1.C5 FROM T1 GROUP BY T1.C5 HAVING count(*) > 1,SELECT club.Manufacturer FROM club GROUP BY club.Manufacturer HAVING count(*) > 1
11,29,soccer_3,soccer_3,,,False,0,True,SELECT T1.C5 FROM T1 INNER JOIN T2 ON T1.C1 = T2.C13 GROUP BY T1.C5 HAVING COUNT(T1.C1) > 1,SELECT club.Manufacturer FROM club INNER JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Manufacturer HAVING COUNT(club.Club_ID) > 1
12,30,soccer_3,soccer_3,,,False,0,True,SELECT T2.C9 FROM T2 WHERE T2.C7 > 1,SELECT player.Country FROM player WHERE player.Player_ID > 1
13,31,soccer_3,soccer_3,,,False,0,True,SELECT T2.C9 FROM T2 WHERE T2.C10 > 1,SELECT player.Country FROM player WHERE player.Earnings > 1
14,36,soccer_3,soccer_3,,,False,0,True,SELECT COUNT(DISTINCT T2.C9) FROM T2,SELECT COUNT(DISTINCT player.Country) FROM player
15,37,soccer_3,soccer_3,,,False,0,True,SELECT COUNT(DISTINCT T2.C9) FROM T2,SELECT COUNT(DISTINCT player.Country) FROM player
16,78,e_commerce,e_commerce,,,False,0,True,SELECT COUNT(T1.C1) FROM T1 AS T1 JOIN T2 AS T2 ON T2.C8 = T1.C1,SELECT COUNT(Customers.customer_id) FROM Customers AS Customers JOIN Orders AS Orders ON Orders.customer_id = Customers.customer_id
17,79,e_commerce,e_commerce,,,False,0,True,SELECT COUNT(DISTINCT T1.C1) FROM T1,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers
18,80,e_commerce,e_commerce,,,False,0,True,SELECT count(*) FROM T1,SELECT count(*) FROM Orders
19,81,e_commerce,e_commerce,,,False,0,True,SELECT DISTINCT C3 FROM T1 WHERE C4 IS NOT NULL,SELECT DISTINCT order_status_code FROM Orders WHERE date_order_placed IS NOT NULL
20,82,e_commerce,e_commerce,,,False,0,True,SELECT COUNT(C2) FROM T1,SELECT COUNT(payment_method_code) FROM Customer_Payment_Methods
21,83,e_commerce,e_commerce,,,False,0,True,SELECT COUNT(DISTINCT T2.C8) FROM T2,SELECT COUNT(DISTINCT Customer_Payment_Methods.payment_method_code) FROM Customer_Payment_Methods
22,100,e_commerce,e_commerce,,,False,0,True,SELECT COUNT(C9) FROM T3,SELECT COUNT(shipment_id) FROM Shipments
23,101,e_commerce,e_commerce,,,False,1,True,SELECT COUNT(C3) FROM T1,SELECT COUNT(product_name) FROM Products
24,102,e_commerce,e_commerce,,,False,0,True,SELECT C4 FROM T1,SELECT product_price FROM Products
25,103,e_commerce,e_commerce,,,False,0,True,SELECT AVG(C4) FROM T1,SELECT AVG(product_price) FROM Products
26,104,e_commerce,e_commerce,,,False,0,True,SELECT avg(C4) FROM T1,SELECT avg(product_price) FROM Products
27,105,e_commerce,e_commerce,,,False,0,True,SELECT C4 FROM T1,SELECT product_price FROM Products
28,123,bbc_channels,bbc_channels,,,False,0,True,SELECT COUNT(DISTINCT T1.C5) FROM T1 WHERE T1.C3 = 'digital terrestrial',SELECT COUNT(DISTINCT channel.Internet) FROM channel WHERE channel.Analogue_terrestrial_channel = 'digital terrestrial'
29,124,bbc_channels,bbc_channels,,,False,0,True,SELECT T3.C11 FROM T3 INNER JOIN T1 ON T3.C13 = T1.C1 ORDER BY T3.C10 DESC,SELECT program.Title FROM program INNER JOIN channel ON program.Channel_ID = channel.Channel_ID ORDER BY program.Start_Year DESC
30,133,bbc_channels,bbc_channels,,,False,0,True,SELECT T2.C7 FROM T2 WHERE T2.C8 BETWEEN 30 AND 60,SELECT director.Name FROM director WHERE director.Age BETWEEN 30 AND 60
31,136,tv_shows,tv_shows,,,False,0,True,SELECT count(*) FROM T1 WHERE C3 = 'radios',SELECT count(*) FROM radio WHERE Radio_MHz = 'radios'
32,137,tv_shows,tv_shows,,,False,0,True,SELECT T1.C2 FROM T1 AS T1 JOIN T2 AS T2 ON T2.C8 = T1.C1 ORDER BY T2.C9 ASC,SELECT radio.Transmitter FROM radio AS radio JOIN city_channel_radio AS city_channel_radio ON city_channel_radio.Radio_ID = radio.Radio_ID ORDER BY city_channel_radio.Is_online ASC
33,139,tv_shows,tv_shows,,,False,0,True,SELECT T2.C7 FROM T2 INNER JOIN T3 ON T2.C6 = T3.C13 INNER JOIN T1 ON T3.C12 = T1.C1 WHERE T1.C5 != 'ABC',SELECT radio.Transmitter FROM radio INNER JOIN city_channel_radio ON radio.Radio_ID = city_channel_radio.Radio_ID INNER JOIN city_channel ON city_channel_radio.City_channel_ID = city_channel.ID WHERE city_channel.Affiliation != 'ABC'
34,142,tv_shows,tv_shows,,,False,1,True,SELECT AVG(C9) FROM T2 WHERE C8 = (SELECT C1 FROM T1 WHERE C2 = 'radios'),SELECT AVG(Is_online) FROM city_channel_radio WHERE Radio_ID = (SELECT Radio_ID FROM radio WHERE Transmitter = 'radios')
35,145,tv_shows,tv_shows,,,False,0,True,SELECT T1.C5 FROM T1 WHERE T1.C2 IN ( SELECT T1.C2 FROM T1 GROUP BY T1.C2 HAVING COUNT(T1.C2) > 3 ),SELECT city_channel.Affiliation FROM city_channel WHERE city_channel.City IN ( SELECT city_channel.City FROM city_channel GROUP BY city_channel.City HAVING COUNT(city_channel.City) > 3 )
36,153,vehicle_driver,vehicle_driver,,,False,0,True,SELECT T2.C10 FROM T3 AS T1 JOIN T2 ON T1.C13 = T2.C8,SELECT driver.Citizenship FROM vehicle_driver AS vehicle JOIN driver ON vehicle.Vehicle_ID = driver.Driver_ID
37,154,vehicle_driver,vehicle_driver,,,False,0,True,SELECT T2.C12 FROM T2 JOIN T3 ON T2.C8 = T3.C12 WHERE T2.C10 = 'United States',SELECT driver.Driver_ID FROM driver JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID WHERE driver.Citizenship = 'United States'
38,167,vehicle_driver,vehicle_driver,,,False,3,False,SELECT count(*) FROM T3 WHERE T2.C9 = 'NASCAR',SELECT count(*) FROM vehicle_driver WHERE driver.Name = 'NASCAR'
39,168,vehicle_driver,vehicle_driver,,,False,0,True,SELECT COUNT(T2.C9) FROM T2 INNER JOIN T3 ON T2.C8 = T3.C12 WHERE T3.C13 = 1 AND T2.C11 = 'NASCAR',SELECT COUNT(driver.Name) FROM driver INNER JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID WHERE vehicle_driver.Vehicle_ID = 1 AND driver.Racing_Series = 'NASCAR'
40,169,vehicle_driver,vehicle_driver,,,False,0,True,SELECT AVG(T1.C4) FROM T1,SELECT AVG(vehicle.Top_Speed) FROM vehicle
41,170,vehicle_driver,vehicle_driver,,,False,0,True,SELECT AVG(T1.C4) FROM T1,SELECT AVG(vehicle.Top_Speed) FROM vehicle
42,185,vehicle_driver,vehicle_driver,,,False,0,True,SELECT T2.C9 FROM T3 JOIN T2 ON T3.C13 = T2.C8,SELECT driver.Name FROM vehicle_driver JOIN driver ON vehicle_driver.Vehicle_ID = driver.Driver_ID
43,186,vehicle_driver,vehicle_driver,,,False,0,True,SELECT T2.C9 FROM T3 AS T1 JOIN T2 ON T1.C13 = T2.C8 ORDER BY T2.C9 ASC,SELECT driver.Name FROM vehicle_driver AS vehicle JOIN driver ON vehicle.Vehicle_ID = driver.Driver_ID ORDER BY driver.Name ASC
44,193,online_exams,online_exams,,,False,0,True,SELECT count(*) FROM T1 WHERE C4 = 'exams',SELECT count(*) FROM Exams WHERE Exam_Name = 'exams'
45,194,online_exams,online_exams,,,False,0,True,SELECT count(*) FROM T1 WHERE C4 = 'exams',SELECT count(*) FROM Exams WHERE Exam_Name = 'exams'
46,195,online_exams,online_exams,,,False,0,True,SELECT DISTINCT T1.C2 FROM T1 ORDER BY T1.C2 ASC,SELECT DISTINCT Exams.Subject_Code FROM Exams ORDER BY Exams.Subject_Code ASC
47,196,online_exams,online_exams,,,False,0,True,SELECT DISTINCT C2 FROM T1 ORDER BY C2,SELECT DISTINCT Subject_Code FROM Exams ORDER BY Subject_Code
48,203,online_exams,online_exams,,,False,0,True,SELECT DISTINCT T4.C12 FROM T4 INNER JOIN T3 ON T4.C11 = T3.C7 WHERE T3.C8 = 'Normal',SELECT DISTINCT Student_Answers.Student_ID FROM Student_Answers INNER JOIN Valid_Answers ON Student_Answers.Question_ID = Valid_Answers.Question_ID WHERE Valid_Answers.Valid_Answer_Text = 'Normal'
