pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,retrieval_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C1) FROM T1,SELECT COUNT(DISTINCT Club_ID) FROM club
1,1,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM club
2,2,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C8 FROM T2 ORDER BY C8 ASC,SELECT Name FROM player ORDER BY Name ASC
3,3,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C2 FROM T1 ORDER BY C2 ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.C2 FROM T1 WHERE T1.C3 != 'Nike',SELECT DISTINCT club.Name FROM club WHERE club.Manager != 'Nike'
5,7,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.C2 FROM T1 WHERE T1.C1 NOT IN (SELECT T2.C13 FROM T2 WHERE T2.C8 = 'Nike'),SELECT DISTINCT club.Name FROM club WHERE club.Club_ID NOT IN (SELECT player.Club_ID FROM player WHERE player.Name = 'Nike')
6,8,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT T1.C2 FROM T1 JOIN T2 ON T1.C1 = T2.C13 GROUP BY T1.C1, T1.C2 ORDER BY sum(T2.C10) ASC","SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Club_ID, club.Name ORDER BY sum(player.Earnings) ASC"
7,9,soccer_3,vehicle_driver,vehicle_driver,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT T2.C9, COUNT(T3.C12) AS win_count FROM T2 JOIN T3 ON T2.C8 = T3.C12 GROUP BY T2.C9 ORDER BY win_count ASC","SELECT driver.Name, COUNT(vehicle_driver.Driver_ID) AS win_count FROM driver JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID GROUP BY driver.Name ORDER BY win_count ASC"
8,12,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.C3 FROM T1 JOIN T2 ON T1.C1 = T2.C13 WHERE T2.C10 > 1200000,SELECT DISTINCT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000
9,13,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.C3 FROM T1 JOIN T2 ON T1.C1 = T2.C13 WHERE T2.C10 > 1200000,SELECT DISTINCT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000
10,28,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C2 FROM T1 JOIN T2 ON T1.C1 = T2.C13 GROUP BY T1.C2 HAVING count(DISTINCT T2.C7) > 1,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Name HAVING count(DISTINCT player.Player_ID) > 1
11,29,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C2 FROM T1 JOIN T2 ON T1.C1 = T2.C13 GROUP BY T1.C2 HAVING COUNT(DISTINCT T2.C7) > 1,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Name HAVING COUNT(DISTINCT player.Player_ID) > 1
12,30,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C2 FROM T1 JOIN T2 ON T1.C1 = T2.C13 GROUP BY T1.C1 HAVING COUNT(T2.C7) > 1,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Club_ID HAVING COUNT(player.Player_ID) > 1
13,31,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C3 FROM T1 JOIN T2 ON T1.C1 = T2.C13 GROUP BY T1.C3 HAVING COUNT(T2.C7) > 1,SELECT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Manager HAVING COUNT(player.Player_ID) > 1
14,36,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T1.C3) FROM T1 JOIN T2 ON T1.C1 = T2.C13,SELECT COUNT(DISTINCT club.Manager) FROM club JOIN player ON club.Club_ID = player.Club_ID
15,37,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C3) FROM T1,SELECT COUNT(DISTINCT Manager) FROM club
16,78,e_commerce,customers_and_orders,customers_and_orders,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T2.C8) FROM T2,SELECT COUNT(DISTINCT Customer_Orders.customer_id) FROM Customer_Orders
17,79,e_commerce,customers_and_orders,customers_and_orders,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T2.C8) FROM T2,SELECT COUNT(DISTINCT Customer_Orders.customer_id) FROM Customer_Orders
18,80,e_commerce,customers_and_orders,customers_and_orders,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C8) FROM T2,SELECT COUNT(DISTINCT order_quantity) FROM Order_Items
19,81,e_commerce,customers_and_orders,customers_and_orders,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C8) FROM T2,SELECT COUNT(DISTINCT order_quantity) FROM Order_Items
20,82,e_commerce,e_commerce,e_commerce,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C2) FROM T1,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
21,83,e_commerce,e_commerce,e_commerce,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C8) FROM T2,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
22,100,e_commerce,customers_and_orders,customers_and_orders,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM Order_Items
23,101,e_commerce,e_commerce,e_commerce,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C9) FROM T2,SELECT COUNT(DISTINCT invoice_number) FROM Shipments
24,102,e_commerce,e_commerce,e_commerce,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(C4) FROM T1,SELECT AVG(product_price) FROM Products
