pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT COUNT(T1.IDENTIFIER_PRIMARY_1) FROM T1,SELECT COUNT(club.Club_ID) FROM club
1,1,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT count(*) FROM T1,SELECT count(*) FROM club
2,2,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY T1.DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT club.Name FROM club ORDER BY club.Name ASC
4,6,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.TEXT_FIELD_5 != 'Nike',SELECT club.Name FROM club WHERE club.Manufacturer != 'Nike'
5,7,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.TEXT_FIELD_5 != 'Nike',SELECT club.Name FROM club WHERE club.Manufacturer != 'Nike'
6,8,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,SELECT T1.DESCRIPITIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 ORDER BY T2.MEASUREMENT_VALUE_12 ASC,SELECT club.DESCRIPITIVE_ATTRIBUTE_2 FROM club JOIN player ON club.Club_ID = player.Club_ID ORDER BY player.Wins_count ASC
7,9,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 INNER JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 ORDER BY T2.MEASUREMENT_VALUE_12 ASC,SELECT club.Name FROM club INNER JOIN player ON club.Club_ID = player.Club_ID ORDER BY player.Wins_count ASC
8,12,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT DISTINCT T2.DESCRIPTIVE_ATTRIBUTE_9 FROM T2 JOIN T1 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 WHERE T2.NUMERIC_FIELD_10 > 1200000,SELECT DISTINCT player.Country FROM player JOIN club ON player.Club_ID = club.Club_ID WHERE player.Earnings > 1200000
9,13,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,SELECT T2.DESCRIPITIVE_ATTRIBUTE_8 FROM T2 JOIN T1 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 WHERE T1.TEXT_FIELD_5 > 1200000,SELECT player.DESCRIPITIVE_ATTRIBUTE_8 FROM player JOIN club ON player.Club_ID = club.Club_ID WHERE club.Manufacturer > 1200000
10,28,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT T1.TEXT_FIELD_5 FROM T1 WHERE T1.TEXT_FIELD_4 IN (SELECT T1.TEXT_FIELD_4 FROM T1 GROUP BY T1.TEXT_FIELD_4 HAVING COUNT(*) > 1),SELECT club.Manufacturer FROM club WHERE club.Captain IN (SELECT club.Captain FROM club GROUP BY club.Captain HAVING COUNT(*) > 1)
11,29,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT T1.TEXT_FIELD_5 FROM T1 INNER JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.TEXT_FIELD_5 HAVING COUNT(T1.TEXT_FIELD_4) > 1,SELECT club.Manufacturer FROM club INNER JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Manufacturer HAVING COUNT(club.Captain) > 1
12,30,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,SELECT T1.DESCRIPITIVE_ATTRIBUTE_2 FROM T2 AS T2 JOIN T1 AS T1 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 GROUP BY T1.DESCRIPITIVE_ATTRIBUTE_2 HAVING COUNT(T1.IDENTIFIER_PRIMARY_1) > 1,SELECT club.DESCRIPITIVE_ATTRIBUTE_2 FROM player AS player JOIN club AS club ON player.Club_ID = club.Club_ID GROUP BY club.DESCRIPITIVE_ATTRIBUTE_2 HAVING COUNT(club.Club_ID) > 1
13,31,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,SELECT T2.DESCRIPITIVE_ATTRIBUTE_8 FROM T2 WHERE T2.IDENTIFIER_REFERENCE_13 IN (SELECT T1.IDENTIFIER_PRIMARY_1 FROM T1 GROUP BY T1.IDENTIFIER_PRIMARY_1 HAVING COUNT(*) > 1) GROUP BY T2.DESCRIPITIVE_ATTRIBUTE_8 HAVING COUNT(T2.IDENTIFIER_REFERENCE_13) > 1,SELECT player.DESCRIPITIVE_ATTRIBUTE_8 FROM player WHERE player.Club_ID IN (SELECT club.Club_ID FROM club GROUP BY club.Club_ID HAVING COUNT(*) > 1) GROUP BY player.DESCRIPITIVE_ATTRIBUTE_8 HAVING COUNT(player.Club_ID) > 1
14,36,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT COUNT(T2.DESCRIPTIVE_ATTRIBUTE_9) FROM T2,SELECT COUNT(player.Country) FROM player
15,37,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,SELECT COUNT(DISTINCT T2.DESCRIPITIVE_ATTRIBUTE_8) FROM T2,SELECT COUNT(DISTINCT player.DESCRIPITIVE_ATTRIBUTE_8) FROM player
16,78,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(T1.IDENTIFIER_PRIMARY_1) FROM T1 AS T1 JOIN T2 AS T2 ON T2.IDENTIFIER_REFERENCE_8 = T1.IDENTIFIER_PRIMARY_1,SELECT COUNT(Customers.customer_id) FROM Customers AS Customers JOIN Orders AS Orders ON Orders.customer_id = Customers.customer_id
17,79,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(T1.IDENTIFIER_PRIMARY_1) FROM T1 INNER JOIN T3 ON T3.IDENTIFIER_REFERENCE_10 = T1.IDENTIFIER_PRIMARY_1 GROUP BY T1.IDENTIFIER_PRIMARY_1,SELECT COUNT(Customers.customer_id) FROM Customers INNER JOIN Orders ON Orders.customer_id = Customers.customer_id GROUP BY Customers.customer_id
18,80,e_commerce,e_commerce,,,False,3,False,,llama3.1-8b,SELECT COUNT(T2.DESCRIPTIVE_ATTRIBUTE_8) FROM T2 WHERE T2.IDENTIFIER_REFERENCE_7 = T1.IDENTIFIER_PRIMARY_1,SELECT COUNT(Order_Items.order_item_status_code) FROM Order_Items WHERE Order_Items.order_id = Orders.order_id
19,81,e_commerce,e_commerce,,,False,1,True,,llama3.1-8b,SELECT DISTINCT DESCRIPTIVE_ATTRIBUTE_8 FROM T2,SELECT DISTINCT order_item_status_code FROM Order_Items
20,82,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT TEXT_FIELD_2) FROM T1,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
21,83,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT T2.TEXT_FIELD_8) FROM T2,SELECT COUNT(DISTINCT Customer_Payment_Methods.payment_method_code) FROM Customer_Payment_Methods
22,100,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(T3.IDENTIFIER_PRIMARY_9) FROM T3,SELECT COUNT(Shipments.shipment_id) FROM Shipments
23,101,e_commerce,e_commerce,,,False,1,True,,llama3.1-8b,SELECT COUNT(T1.DESCRIPTIVE_ATTRIBUTE_3) FROM T1 WHERE T1.IDENTIFIER_PRIMARY_1 IS NOT NULL,SELECT COUNT(Products.product_name) FROM Products WHERE Products.product_id IS NOT NULL
24,102,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT AVG(CURRENCY_AMOUNT_4) FROM T1,SELECT AVG(product_price) FROM Products
25,103,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT AVG(CURRENCY_AMOUNT_4) FROM T1,SELECT AVG(product_price) FROM Products
26,104,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT avg(CURRENCY_AMOUNT_4) FROM T1,SELECT avg(product_price) FROM Products
27,105,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT T1.CURRENCY_AMOUNT_4 FROM T1,SELECT Products.product_price FROM Products
28,123,bbc_channels,bbc_channels,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT TEXT_FIELD_5) FROM T1,SELECT COUNT(DISTINCT Internet) FROM channel
29,124,bbc_channels,bbc_channels,,,False,3,False,,llama3.1-8b,SELECT T3.DESCRIPITIVE_ATTRIBUTE_11 FROM T3 INNER JOIN T1 ON T3.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 ORDER BY T3.CHRONOLOGICAL_MARKER_10 DESC,SELECT program.DESCRIPITIVE_ATTRIBUTE_11 FROM program INNER JOIN channel ON program.Channel_ID = channel.Channel_ID ORDER BY program.Start_Year DESC
30,133,bbc_channels,bbc_channels,,,False,0,True,,llama3.1-8b,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 INNER JOIN T4 ON T1.IDENTIFIER_PRIMARY_1 = T4.IDENTIFIER_REFERENCE_15 INNER JOIN T2 ON T4.IDENTIFIER_PRIMARY_14 = T2.IDENTIFIER_PRIMARY_6 WHERE T2.MEASUREMENT_VALUE_8 BETWEEN 30 AND 60,SELECT channel.Name FROM channel INNER JOIN director_admin ON channel.Channel_ID = director_admin.Channel_ID INNER JOIN director ON director_admin.Director_ID = director.Director_ID WHERE director.Age BETWEEN 30 AND 60
31,136,tv_shows,tv_shows,,,False,0,True,,llama3.1-8b,SELECT count(*) FROM T1 WHERE TEXT_FIELD_3 = 'radios',SELECT count(*) FROM radio WHERE Radio_MHz = 'radios'
