pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT COUNT(Club_ID) FROM club,SELECT COUNT(Club_ID) FROM club
1,1,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT COUNT(Club_ID) FROM club,SELECT COUNT(Club_ID) FROM club
2,2,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT Name FROM club WHERE Manufacturer != 'Nike',SELECT Name FROM club WHERE Manufacturer != 'Nike'
5,7,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT Name FROM club WHERE Manufacturer != 'Nike',SELECT Name FROM club WHERE Manufacturer != 'Nike'
6,8,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT Name FROM player ORDER BY Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
7,9,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT T1.Name FROM player AS T1 JOIN club AS T2 ON T1.Club_ID = T2.Club_ID ORDER BY T1.Wins_count ASC,SELECT T1.Name FROM player AS T1 JOIN club AS T2 ON T1.Club_ID = T2.Club_ID ORDER BY T1.Wins_count ASC
8,12,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000
9,13,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT Country FROM player WHERE Earnings > 1200000,SELECT Country FROM player WHERE Earnings > 1200000
10,28,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(Club_ID) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(Club_ID) > 1
11,29,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(Club_ID) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(Club_ID) > 1
12,30,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,SELECT T2.Country FROM player AS T1 JOIN club AS T2 ON T1.Club_ID = T2.Club_ID GROUP BY T2.Country HAVING COUNT(T1.Player_ID) > 1,SELECT T2.Country FROM player AS T1 JOIN club AS T2 ON T1.Club_ID = T2.Club_ID GROUP BY T2.Country HAVING COUNT(T1.Player_ID) > 1
13,31,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT Country FROM player GROUP BY Country HAVING COUNT(Player_ID) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(Player_ID) > 1
14,36,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT(DISTINCT Country) FROM player
15,37,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT(DISTINCT Country) FROM player
16,78,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT T1.customer_id) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id = T2.customer_id,SELECT COUNT(DISTINCT T1.customer_id) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id = T2.customer_id
17,79,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT T1.customer_id) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id = T2.customer_id,SELECT COUNT(DISTINCT T1.customer_id) FROM Customers AS T1 JOIN Orders AS T2 ON T1.customer_id = T2.customer_id
18,80,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items
19,81,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items
20,82,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
21,83,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
22,100,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT order_item_id) FROM Shipment_Items,SELECT COUNT(DISTINCT order_item_id) FROM Shipment_Items
23,101,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT T1.product_id) FROM Products AS T1 JOIN Shipments AS T2 ON T1.product_id = T2.order_id,SELECT COUNT(DISTINCT T1.product_id) FROM Products AS T1 JOIN Shipments AS T2 ON T1.product_id = T2.order_id
24,102,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
25,103,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT AVG(product_price) FROM Products,SELECT AVG(product_price) FROM Products
26,104,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT AVG(T2.product_price) FROM Orders AS T1 JOIN Products AS T2 ON T1.order_id = T2.product_id,SELECT AVG(T2.product_price) FROM Orders AS T1 JOIN Products AS T2 ON T1.order_id = T2.product_id
27,105,e_commerce,e_commerce,,,False,0,True,,llama3.1-8b,SELECT AVG(T2.product_price) FROM Orders AS T1 JOIN Products AS T2 ON T1.order_id = T2.product_id,SELECT AVG(T2.product_price) FROM Orders AS T1 JOIN Products AS T2 ON T1.order_id = T2.product_id
28,123,bbc_channels,bbc_channels,,,False,0,True,,llama3.1-8b,SELECT COUNT(DISTINCT Digital_terrestrial_channel) FROM channel,SELECT COUNT(DISTINCT Digital_terrestrial_channel) FROM channel
29,124,bbc_channels,bbc_channels,,,False,0,True,,llama3.1-8b,SELECT T1.Title FROM program AS T1 INNER JOIN director AS T2 ON T1.Director_ID = T2.Director_ID ORDER BY T1.Start_Year DESC,SELECT T1.Title FROM program AS T1 INNER JOIN director AS T2 ON T1.Director_ID = T2.Director_ID ORDER BY T1.Start_Year DESC
30,133,bbc_channels,bbc_channels,,,False,0,True,,llama3.1-8b,SELECT Name FROM director WHERE Age BETWEEN 30 AND 60,SELECT Name FROM director WHERE Age BETWEEN 30 AND 60
31,136,tv_shows,tv_shows,,,False,0,True,,llama3.1-8b,SELECT COUNT(Radio_ID) FROM radio,SELECT COUNT(Radio_ID) FROM radio
