pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,masked_sql,real_sql
0,0,soccer_3,soccer_3,soccer_3,True,False,0,True,SELECT COUNT(C1) FROM T1,SELECT COUNT(Club_ID) FROM club
1,1,soccer_3,soccer_3,soccer_3,True,False,0,True,SELECT COUNT(C1) FROM T1,SELECT COUNT(Club_ID) FROM club
2,2,soccer_3,soccer_3,soccer_3,True,False,0,True,SELECT C2 FROM T1,SELECT Name FROM club
3,3,soccer_3,soccer_3,soccer_3,True,False,0,True,SELECT T1.C2 FROM T1 WHERE T1.C2 IS NOT NULL ORDER BY T1.C2 ASC,SELECT club.Name FROM club WHERE club.Name IS NOT NULL ORDER BY club.Name ASC
4,6,soccer_3,soccer_3,soccer_3,True,False,0,True,"SELECT T2.C8 FROM T1 AS T1 JOIN T2 ON T1.C1 = T2.C13 WHERE T1.C3 != ""Nike""","SELECT player.Name FROM club AS club JOIN player ON club.Club_ID = player.Club_ID WHERE club.Manager != ""Nike"""
5,7,soccer_3,soccer_3,soccer_3,True,False,0,True,SELECT C2 FROM T1 WHERE C5 != 'Nike',SELECT Name FROM club WHERE Manufacturer != 'Nike'
6,8,soccer_3,soccer_3,soccer_3,True,False,0,True,SELECT T2.C2 FROM T1 AS T1 JOIN T2 AS T2 ON T1.C1 = T2.C13 ORDER BY T2.C10 ASC,SELECT player.Name FROM club AS club JOIN player AS player ON club.Club_ID = player.Club_ID ORDER BY player.Earnings ASC
7,9,soccer_3,vehicle_driver,vehicle_driver,False,False,0,True,SELECT T2.C9 FROM T3 AS T1 JOIN T2 ON T1.C13 = T2.C8 GROUP BY T2.C9 ORDER BY COUNT(T2.C9) ASC,SELECT driver.Name FROM vehicle_driver AS vehicle JOIN driver ON vehicle.Vehicle_ID = driver.Driver_ID GROUP BY driver.Name ORDER BY COUNT(driver.Name) ASC
8,12,soccer_3,soccer_3,soccer_3,True,False,0,True,SELECT DISTINCT C2 FROM T1 WHERE C6 > 1200000,SELECT DISTINCT Name FROM club WHERE Sponsor > 1200000
9,13,soccer_3,soccer_3,soccer_3,True,False,0,True,SELECT T2.C8 FROM T1 AS T1 JOIN T2 ON T1.C1 = T2.C13 WHERE T1.C5 > 1200000,SELECT player.Name FROM club AS club JOIN player ON club.Club_ID = player.Club_ID WHERE club.Manufacturer > 1200000
10,28,soccer_3,soccer_3,soccer_3,True,False,0,True,SELECT T2.C8 FROM T2 WHERE T2.C13 IN (SELECT T1.C1 FROM T1 GROUP BY T1.C1 HAVING COUNT(T1.C1) > 1),SELECT player.Name FROM player WHERE player.Club_ID IN (SELECT club.Club_ID FROM club GROUP BY club.Club_ID HAVING COUNT(club.Club_ID) > 1)
11,29,soccer_3,soccer_3,soccer_3,True,False,0,True,SELECT C2 FROM T1 WHERE C1 IN (SELECT C13 FROM T2 GROUP BY C13 HAVING COUNT(C13) > 1),SELECT Name FROM club WHERE Club_ID IN (SELECT Club_ID FROM player GROUP BY Club_ID HAVING COUNT(Club_ID) > 1)
12,30,soccer_3,soccer_3,soccer_3,True,False,0,True,SELECT T1.C2 FROM T1 WHERE T1.C1 IN ( SELECT T2.C13 FROM T2 GROUP BY T2.C13 HAVING COUNT(T2.C13) > 1 ),SELECT club.Name FROM club WHERE club.Club_ID IN ( SELECT player.Club_ID FROM player GROUP BY player.Club_ID HAVING COUNT(player.Club_ID) > 1 )
