db_id,H_minentropy_hard,H_minentropy_semantic,H_shannon_hard,H_shannon_semantic,ILR_semantic_vs_hard_bits,hard_candset_avg,hard_candset_min,n_cols,semantic_candset_avg,semantic_candset_min
e_commerce,3.6294,2.586,3.6294,2.586,1.0433,14.5,3,40,7.2,1
customers_and_orders,2.7983,1.8525,2.7983,1.8525,0.9458,7.9091,1,22,4.5455,1
vehicle_driver,2.2432,1.135,2.2432,1.135,1.1082,5.1538,3,13,2.5385,1
soccer_3,2.2809,1.2888,2.2809,1.2888,0.992,5.3077,2,13,2.6923,1
online_exams,3.345,2.7873,3.345,2.7873,0.5577,12.8824,1,34,7.5882,1
cre_Students_Information_Systems,3.6427,2.9091,3.6427,2.9091,0.7335,13.8727,4,55,8.2727,1
bbc_channels,2.195,1.3915,2.195,1.3915,0.8034,4.875,1,16,2.875,1
tv_shows,2.8844,2.2489,2.8844,2.2489,0.6355,8.8333,3,24,5.3333,1
government_shift,2.9731,2.4701,2.9731,2.4701,0.5029,8.0435,6,23,6.0435,1
vehicle_rent,3.078,1.4323,3.078,1.4323,1.6457,9.5455,4,22,2.9091,1
region_building,1.9645,0.7959,1.9645,0.7959,1.1686,4.0909,2,11,1.9091,1
