source,artifact_relpath,baseline_kind,experiment_id,routing,retrieval,retrieval_easy_medium,retrieval_hard_extra,top_k_tables,top_n_columns,masking,mask_style,phrase_hints,prompt,model,cascade_hard_model,easy,medium,hard,extra,overall,exec_runtime_success,spider_parse_failure_rate,n_processed,total_cost_usd,wall_time_s,note,dr_variant,dr_pre_accuracy,dr_post_accuracy,dr_drop,dr_count,retrieval_run_id,retrieval_config_mode,ret_all_recall,ret_all_precision,ret_all_srr,ret_all_column_recall,ret_all_avg_tables,baseline_exec_accuracy,decomposition_exec_accuracy,decomposition_delta,rag_current_acc,rag_broader_acc,rag_full_schema_acc,eval_log_parse_errors,detail_json
federated,runs/_cerebras_smoke/,,_cerebras_smoke,oracle,hybrid,hybrid,hybrid,,,False,,,few_shot,llama3.1-8b,,,,,,,1.0,,5,0.0,2,limited run — Spider eval skipped,,,,,,,,,,,,,,,,,,,,
federated,runs/_colfix_smoke/,,_colfix_smoke,oracle,hybrid,hybrid,none,4,6,True,hard,,few_shot,claude-haiku-4-5-20251001,gpt-5.2,,,,,,1.0,,8,0.007455999999999999,10,limited run — Spider eval skipped,,,,,,,,,,,,,,,,,,,,
federated,runs/_extra80_widehybrid_smoke/,,_extra80_widehybrid_smoke,oracle,hybrid,hybrid,hybrid,6,10,True,hard,,few_shot,gpt-5.2,,0.0,0.0,0.0,0.0,0.0,1.0,0.003125,6,0.013674500000000001,13,,,,,,,,,,,,,,,,,,,,,
federated,runs/_gpt52_hardextra_smoke/,,_gpt52_hardextra_smoke,oracle,hybrid,hybrid,none,,,True,hard,,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.0,0.0,0.5,0.0,0.25,1.0,,4,0.0,10,,,,,,,,,,,,,,,,,,,,,
federated,runs/_haiku_diffschema_smoke/,,_haiku_diffschema_smoke,oracle,hybrid,hybrid,none,,,True,hard,,few_shot,claude-haiku-4-5-20251001,,0.5,1.0,0.0,0.0,0.375,1.0,,8,0.009278,13,,,,,,,,,,,,,,,,,,,,,
federated,runs/_hintjoin_mixed_smoke/,,_hintjoin_mixed_smoke,oracle,hybrid,hybrid,none,,,True,hard,,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.5,1.0,0.5,0.0,0.5,1.0,,8,0.012706,17,,,,,,,,,,,,,,,,,,,,,
federated,runs/_rolehint_mixed_smoke/,,_rolehint_mixed_smoke,oracle,hybrid,hybrid,none,,,True,hard,,few_shot,claude-haiku-4-5-20251001,gpt-5.2,1.0,1.0,0.0,0.0,0.5,1.0,,8,0.01422775,16,,,,,,,,,,,,,,,,,,,,,
federated,runs/_runner_smoketest/,,_runner_smoketest,broker,hybrid,hybrid,hybrid,,,True,,,few_shot,claude-haiku-4-5-20251001,,,,,,,1.0,,5,0.003139,7,limited run — Spider eval skipped,,,,,,,,,,,,,,,,,,,,
federated,runs/abl_few_shot_hybrid_mask/,,abl_few_shot_hybrid_mask,oracle,hybrid,hybrid,hybrid,,,True,semantic,,few_shot,llama3.1-8b,,0.325,0.287,0.212,0.087,0.228,0.859375,0.4375,320,0.0,1005,,,,,,,,,,,,,,,,,,,,,
federated,runs/abl_few_shot_hybrid_nomask/,,abl_few_shot_hybrid_nomask,oracle,hybrid,hybrid,hybrid,,,False,none,,few_shot,llama3.1-8b,,0.7,0.812,0.588,0.475,0.644,0.978125,0.096875,320,0.0,13502,,,,,,,,,,,,,,,,,,,,,
federated,runs/abl_few_shot_lexical_mask/,,abl_few_shot_lexical_mask,oracle,lexical,lexical,lexical,4,6,True,semantic,,few_shot,llama3.1-8b,,0.425,0.3,0.25,0.125,0.275,0.896875,0.365625,320,0.0,940,,,,,,,,,,,,,,,,,,,,,
federated,runs/abl_few_shot_lexical_nomask/,,abl_few_shot_lexical_nomask,oracle,lexical,lexical,lexical,4,6,False,none,,few_shot,llama3.1-8b,,0.7,0.787,0.562,0.438,0.622,0.98125,0.103125,320,0.0,757,,,,,,,,,,,,,,,,,,,,,
federated,runs/abl_few_shot_none_nomask/,,abl_few_shot_none_nomask,oracle,none,none,none,4,6,False,none,,few_shot,llama3.1-8b,,0.762,0.762,0.525,0.512,0.641,0.9686520376175548,0.134375,319,0.0,13277,,,,,,,,,,,,,,,,,,,,,
federated,runs/abl_zero_shot_hybrid_mask/,,abl_zero_shot_hybrid_mask,oracle,hybrid,hybrid,hybrid,,,True,semantic,,zero_shot,llama3.1-8b,,0.212,0.05,0.125,0.087,0.119,0.915625,0.328125,320,0.0,796,,,,,,,,,,,,,,,,,,,,,
federated,runs/abl_zero_shot_hybrid_nomask/,,abl_zero_shot_hybrid_nomask,oracle,hybrid,hybrid,hybrid,,,False,none,,zero_shot,llama3.1-8b,,0.6,0.575,0.463,0.325,0.491,0.990625,0.2125,320,0.0,684,,,,,,,,,,,,,,,,,,,,,
federated,runs/abl_zero_shot_lexical_mask/,,abl_zero_shot_lexical_mask,oracle,lexical,lexical,lexical,,,True,semantic,,zero_shot,llama3.1-8b,,0.212,0.062,0.125,0.1,0.125,0.928125,0.3375,320,0.0,810,,,,,,,,,,,,,,,,,,,,,
federated,runs/abl_zero_shot_lexical_nomask/,,abl_zero_shot_lexical_nomask,oracle,lexical,lexical,lexical,,,False,none,,zero_shot,llama3.1-8b,,0.625,0.562,0.45,0.3,0.484,0.984375,0.234375,320,0.0,692,,,,,,,,,,,,,,,,,,,,,
federated,runs/abl_zero_shot_none_mask/,,abl_zero_shot_none_mask,oracle,none,none,none,,,True,semantic,,zero_shot,llama3.1-8b,,0.025,0.0,0.037,0.0,0.016,0.9125,0.471875,320,0.0,15748,,,,,,,,,,,,,,,,,,,,,
federated,runs/abl_zero_shot_none_nomask/,,abl_zero_shot_none_nomask,oracle,none,none,none,,,False,none,,zero_shot,llama3.1-8b,,0.588,0.575,0.45,0.362,0.494,0.9875,0.203125,320,0.0,924,,,,,,,,,,,,,,,,,,,,,
federated,runs/control/,,control,oracle,hybrid,hybrid,hybrid,,,False,,,few_shot,llama3.1-8b,,0.713,0.8,0.625,0.475,0.653,0.98125,0.090625,320,0.0,710,,,,,,,,,,,,,,,,,,,,,
federated,runs/gpt52_extra80_widehybrid_v1/,,gpt52_extra80_widehybrid_v1,oracle,hybrid,hybrid,hybrid,6,10,True,hard,,few_shot,gpt-5.2,,0.0,0.0,0.0,0.2,0.2,1.0,0.078125,80,0.18184775000000003,160,,,,,,,,,,,,,,,,,,,,,
federated,runs/haiku_fewshot_control_nomask/,,haiku_fewshot_control_nomask,oracle,hybrid,hybrid,hybrid,,,False,none,,few_shot,claude-haiku-4-5-20251001,,0.887,0.675,0.675,0.4,0.659,1.0,0.2375,320,0.25604399999999977,340,,,,,,,,,,,,,,,,,,,,,
federated,runs/haiku_fewshot_hardmask_hints/,,haiku_fewshot_hardmask_hints,oracle,hybrid,hybrid,hybrid,,,True,hard,,few_shot,claude-haiku-4-5-20251001,,0.463,0.45,0.412,0.225,0.388,0.996875,0.1375,320,0.2935600000000002,518,,,,,,,,,,,,,,,,,,,,,
federated,runs/haiku_fewshot_hardmask_nohints/,,haiku_fewshot_hardmask_nohints,oracle,hybrid,hybrid,hybrid,,,True,hard,,few_shot,claude-haiku-4-5-20251001,,0.375,0.113,0.212,0.15,0.212,1.0,0.128125,320,0.2632229999999999,388,,,,,,,,,,,,,,,,,,,,,
federated,runs/haiku_fewshot_semantic_hints/,,haiku_fewshot_semantic_hints,oracle,hybrid,hybrid,hybrid,,,True,semantic,,few_shot,claude-haiku-4-5-20251001,,0.412,0.362,0.425,0.25,0.362,0.99375,0.2,320,0.3694620000000001,475,,,,,,,,,,,,,,,,,,,,,
federated,runs/haiku_fewshot_semantic_nohints/,,haiku_fewshot_semantic_nohints,oracle,hybrid,hybrid,hybrid,,,True,semantic,,few_shot,claude-haiku-4-5-20251001,,0.362,0.212,0.237,0.287,0.275,0.996875,0.13125,320,0.3263669999999998,358,,,,,,,,,,,,,,,,,,,,,
federated,runs/haiku_gpt52_hardextra_colfix_v5/,,haiku_gpt52_hardextra_colfix_v5,oracle,hybrid,hybrid,none,4,6,True,hard,,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.662,0.575,0.525,0.212,0.494,0.996875,0.175,320,0.5597012500000002,562,,,,,,,,,,,,,,,,,,,,,
federated,runs/haiku_gpt52_hardextra_diffschema/,,haiku_gpt52_hardextra_diffschema,oracle,hybrid,hybrid,none,,,True,hard,,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.45,0.475,0.0,0.0,0.231,1.0,0.55,160,0.12983699999999998,275,,,,,,,,,,,,,,,,,,,,,
federated,runs/haiku_gpt52_hardextra_diffschema_v2/,,haiku_gpt52_hardextra_diffschema_v2,oracle,hybrid,hybrid,none,,,True,hard,,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.45,0.475,0.388,0.113,0.356,1.0,0.2125,320,0.4679290000000001,478,,,,,,,,,,,,,,,,,,,,,
federated,runs/haiku_gpt52_hardextra_hintjoin_v3/,,haiku_gpt52_hardextra_hintjoin_v3,oracle,hybrid,hybrid,none,,,True,hard,,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.537,0.575,0.45,0.163,0.431,0.996875,0.18125,320,0.5297422499999999,524,,,,,,,,,,,,,,,,,,,,,
federated,runs/haiku_gpt52_hardextra_rolehint_v4/,,haiku_gpt52_hardextra_rolehint_v4,oracle,hybrid,hybrid,none,,,True,hard,,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.487,0.55,0.487,0.1,0.406,0.996875,0.190625,320,0.5509529999999998,543,,,,,,,,,,,,,,,,,,,,,
federated,runs/masked-broker/,,masked-broker,broker,hybrid,hybrid,hybrid,,,True,,,few_shot,llama3.1-8b,,0.175,0.037,0.125,0.062,0.1,0.95,0.584375,320,0.0,790,,,,,,,,,,,,,,,,,,,,,
federated,runs/masked-broker-lexical/,,masked-broker-lexical,broker,lexical,lexical,lexical,,,True,,,few_shot,llama3.1-8b,,0.175,0.037,0.125,0.062,0.1,0.959375,0.6,320,0.0,720,,,,,,,,,,,,,,,,,,,,,
