pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,retrieval_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM club
1,1,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM club
2,2,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT TEXT_FIELD_4 FROM T1 ORDER BY TEXT_FIELD_4 ASC,SELECT Captain FROM club ORDER BY Captain ASC
4,6,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.DESCRIPTIVE_ATTRIBUTE_8 != 'Nike',SELECT DISTINCT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Name != 'Nike'
5,7,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.IDENTIFIER_PRIMARY_1 NOT IN ( SELECT DISTINCT T2.IDENTIFIER_REFERENCE_13 FROM T2 WHERE T2.DESCRIPTIVE_ATTRIBUTE_8 = 'Nike' ),SELECT DISTINCT club.Name FROM club WHERE club.Club_ID NOT IN ( SELECT DISTINCT player.Club_ID FROM player WHERE player.Name = 'Nike' )
6,8,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T2.DESCRIPTIVE_ATTRIBUTE_8 FROM T2 ORDER BY T2.MEASUREMENT_VALUE_12 ASC,SELECT player.Name FROM player ORDER BY player.Wins_count ASC
7,9,soccer_3,vehicle_driver,vehicle_driver,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT T2.DESCRIPTIVE_ATTRIBUTE_9 FROM T2 LEFT JOIN T3 ON T2.IDENTIFIER_PRIMARY_8 = T3.IDENTIFIER_PRIMARY_12 GROUP BY T2.IDENTIFIER_PRIMARY_8, T2.DESCRIPTIVE_ATTRIBUTE_9 ORDER BY COUNT(T3.IDENTIFIER_PRIMARY_12) ASC","SELECT driver.Name FROM driver LEFT JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID GROUP BY driver.Driver_ID, driver.Name ORDER BY COUNT(vehicle_driver.Driver_ID) ASC"
8,12,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.NUMERIC_FIELD_10 > 1200000,SELECT DISTINCT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000
9,13,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.NUMERIC_FIELD_10 > 1200000,SELECT DISTINCT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000
10,28,soccer_3,soccer_3,soccer_3,True,False,0,False,easy,claude-haiku-4-5-20251001,hybrid,SELECT TEXT_FIELD_5 FROM T2 GROUP BY TEXT_FIELD_5 HAVING COUNT(DISTINCT TEXT_FIELD_4) > 1,SELECT Manufacturer FROM player GROUP BY Manufacturer HAVING COUNT(DISTINCT Captain) > 1
11,29,soccer_3,soccer_3,soccer_3,True,False,0,False,easy,claude-haiku-4-5-20251001,hybrid,SELECT TEXT_FIELD_5 FROM T2 GROUP BY TEXT_FIELD_5 HAVING COUNT(DISTINCT IDENTIFIER_REFERENCE_13) > 1,SELECT Manufacturer FROM player GROUP BY Manufacturer HAVING COUNT(DISTINCT Club_ID) > 1
12,30,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.IDENTIFIER_PRIMARY_1, T1.DESCRIPTIVE_ATTRIBUTE_2 HAVING COUNT(*) > 1","SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Club_ID, club.Name HAVING COUNT(*) > 1"
13,31,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.IDENTIFIER_PRIMARY_1, T1.DESCRIPTIVE_ATTRIBUTE_2 HAVING COUNT(T2.IDENTIFIER_PRIMARY_7) > 1","SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Club_ID, club.Name HAVING COUNT(player.Player_ID) > 1"
14,36,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT DESCRIPTIVE_ATTRIBUTE_9) FROM T2,SELECT COUNT(DISTINCT Country) FROM player
15,37,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT DESCRIPTIVE_ATTRIBUTE_9) FROM T2,SELECT COUNT(DISTINCT Country) FROM player
16,78,e_commerce,customers_and_orders,customers_and_orders,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T1.IDENTIFIER_PRIMARY_1) FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_8 JOIN T3 ON T2.IDENTIFIER_PRIMARY_7 = T3.IDENTIFIER_REFERENCE_12,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers JOIN Customer_Orders ON Customers.customer_id = Customer_Orders.customer_id JOIN Order_Items ON Customer_Orders.order_id = Order_Items.order_id
17,79,e_commerce,customers_and_orders,customers_and_orders,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT DESCRIPTIVE_ATTRIBUTE_5) FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_8 JOIN T3 ON T2.IDENTIFIER_PRIMARY_7 = T3.IDENTIFIER_REFERENCE_12,SELECT COUNT(DISTINCT customer_phone) FROM Customers JOIN Customer_Orders ON Customers.customer_id = Customer_Orders.customer_id JOIN Order_Items ON Customer_Orders.order_id = Order_Items.order_id
18,80,e_commerce,customers_and_orders,customers_and_orders,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT MEASUREMENT_VALUE_8) FROM T2,SELECT COUNT(DISTINCT order_quantity) FROM Order_Items
19,81,e_commerce,customers_and_orders,customers_and_orders,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT DESCRIPTIVE_ATTRIBUTE_4) FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_6,SELECT COUNT(DISTINCT order_status_code) FROM Customer_Orders JOIN Order_Items ON Customer_Orders.order_id = Order_Items.order_id
20,82,e_commerce,e_commerce,e_commerce,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT TEXT_FIELD_2) FROM T1,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
21,83,e_commerce,e_commerce,e_commerce,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT TEXT_FIELD_8) FROM T2,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
22,100,e_commerce,customers_and_orders,customers_and_orders,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T1 WHERE MEASUREMENT_VALUE_4 = 'shipped',SELECT COUNT(*) FROM Order_Items WHERE order_quantity = 'shipped'
23,101,e_commerce,e_commerce,e_commerce,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T2,SELECT COUNT(*) FROM Shipments
24,102,e_commerce,e_commerce,e_commerce,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(CURRENCY_AMOUNT_4) FROM T1,SELECT AVG(product_price) FROM Products
25,103,e_commerce,e_commerce,e_commerce,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(CURRENCY_AMOUNT_4) FROM T1,SELECT AVG(product_price) FROM Products
26,104,e_commerce,e_commerce,e_commerce,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(CURRENCY_AMOUNT_4) FROM T1,SELECT AVG(product_price) FROM Products
27,105,e_commerce,e_commerce,e_commerce,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(CURRENCY_AMOUNT_4) FROM T1,SELECT AVG(product_price) FROM Products
28,123,bbc_channels,tv_shows,tv_shows,False,False,0,False,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT IDENTIFIER_PRIMARY_6) FROM T2 WHERE DESCRIPTIVE_ATTRIBUTE_5 = 'digital',SELECT COUNT(DISTINCT City_channel_ID) FROM city_channel_radio WHERE Affiliation = 'digital'
29,124,bbc_channels,bbc_channels,bbc_channels,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DESCRIPTIVE_ATTRIBUTE_11 FROM T3 ORDER BY CHRONOLOGICAL_MARKER_10 DESC,SELECT Title FROM program ORDER BY Start_Year DESC
30,133,bbc_channels,bbc_channels,bbc_channels,True,False,0,False,easy,claude-haiku-4-5-20251001,hybrid,SELECT ORDERING_MARKER_16 FROM T2 WHERE MEASUREMENT_VALUE_8 BETWEEN 30 AND 60,SELECT Is_first_director FROM director WHERE Age BETWEEN 30 AND 60
31,136,tv_shows,tv_shows,tv_shows,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT count(*) FROM T1,SELECT count(*) FROM radio
32,137,tv_shows,tv_shows,tv_shows,True,False,0,False,easy,claude-haiku-4-5-20251001,hybrid,SELECT T2.TEXT_FIELD_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_8 ORDER BY T2.TEXT_FIELD_6 ASC,SELECT city_channel_radio.Transmitter FROM radio JOIN city_channel_radio ON radio.Radio_ID = city_channel_radio.Radio_ID ORDER BY city_channel_radio.ERP_kW ASC
33,139,tv_shows,tv_shows,tv_shows,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_3 FROM T1 JOIN T3 ON T1.IDENTIFIER_PRIMARY_1 = T3.IDENTIFIER_PRIMARY_12 WHERE T1.DESCRIPTIVE_ATTRIBUTE_5 != 'ABC',SELECT DISTINCT city_channel.Station_name FROM city_channel JOIN city_channel_radio ON city_channel.ID = city_channel_radio.City_channel_ID WHERE city_channel.Affiliation != 'ABC'
34,142,tv_shows,tv_shows,tv_shows,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(TEXT_FIELD_6) FROM T1,SELECT AVG(ERP_kW) FROM radio
35,145,tv_shows,tv_shows,tv_shows,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DESCRIPTIVE_ATTRIBUTE_5 FROM T1 GROUP BY DESCRIPTIVE_ATTRIBUTE_5 HAVING COUNT(IDENTIFIER_PRIMARY_1) > 3,SELECT Affiliation FROM city_channel GROUP BY Affiliation HAVING COUNT(ID) > 3
36,153,vehicle_driver,vehicle_driver,vehicle_driver,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T2.TEXT_FIELD_11 FROM T2 JOIN T3 ON T2.IDENTIFIER_PRIMARY_8 = T3.IDENTIFIER_PRIMARY_12 WHERE T2.TEXT_FIELD_10 = 'United States',SELECT driver.Racing_Series FROM driver JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID WHERE driver.Citizenship = 'United States'
