pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,retrieval_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM club,SELECT COUNT(*) FROM club
1,1,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT count(*) FROM club,SELECT count(*) FROM club
2,2,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT Name FROM club WHERE Manufacturer != ""Nike""","SELECT Name FROM club WHERE Manufacturer != ""Nike"""
5,7,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Name FROM club WHERE Manufacturer != 'Nike',SELECT Name FROM club WHERE Manufacturer != 'Nike'
6,8,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Name FROM player ORDER BY Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
7,9,soccer_3,vehicle_driver,vehicle_driver,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT driver.Name, COUNT(*) AS win_count FROM driver GROUP BY driver.Name ORDER BY win_count ASC","SELECT driver.Name, COUNT(*) AS win_count FROM driver GROUP BY driver.Name ORDER BY win_count ASC"
8,12,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000
9,13,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000
10,28,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING count(*) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING count(*) > 1
11,29,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(DISTINCT Club_ID) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(DISTINCT Club_ID) > 1
12,30,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Country FROM player GROUP BY Country HAVING COUNT(*) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*) > 1
13,31,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT Country FROM player GROUP BY Country HAVING COUNT(*) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*) > 1
14,36,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT(DISTINCT Country) FROM player
15,37,soccer_3,soccer_3,soccer_3,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT(DISTINCT Country) FROM player
