pos,test_idx,difficulty,category,exec_success_runtime,pred_sql,gold_sql
0,0,easy,wrong_column,True,SELECT COUNT(Club_ID) FROM club,SELECT count(*) FROM club
1,1,easy,other,True,SELECT COUNT(*) FROM club,SELECT count(*) FROM club
2,2,easy,wrong_column,True,SELECT Name FROM club ORDER BY Captain ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,easy,wrong_column,True,SELECT Club_ID FROM club ORDER BY Club_ID ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,easy,other,True,SELECT club.Name FROM club WHERE club.Manufacturer != 'Nike',"SELECT Name FROM club WHERE Manufacturer != ""Nike"""
5,7,easy,wrong_column,True,SELECT club.Name FROM club WHERE club.Club_ID NOT IN ( SELECT player.Club_ID FROM player WHERE player.Name = 'Nike' ),"SELECT Name FROM club WHERE Manufacturer != ""Nike"""
6,8,easy,wrong_column,True,SELECT player.Earnings FROM player ORDER BY player.Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
7,9,easy,wrong_column,True,SELECT player.Earnings FROM player JOIN club ON player.Club_ID = club.Club_ID ORDER BY player.Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
8,12,easy,wrong_column,True,SELECT DISTINCT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
9,13,easy,missing_clause,True,SELECT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
10,28,easy,extra_clause,True,SELECT Manufacturer FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY Manufacturer HAVING count(DISTINCT Captain) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
11,29,easy,wrong_column,True,SELECT Manufacturer FROM club WHERE Club_ID IN (SELECT Club_ID FROM player GROUP BY Club_ID HAVING COUNT(*) > 1) GROUP BY Manufacturer,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
12,30,easy,wrong_column,True,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Club_ID HAVING COUNT(player.Player_ID) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
13,31,easy,wrong_column,True,SELECT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Manager HAVING COUNT(player.Player_ID) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
14,36,easy,other,True,SELECT COUNT(DISTINCT player.Country) FROM player,SELECT COUNT (DISTINCT Country) FROM player
15,37,easy,other,True,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT (DISTINCT Country) FROM player
16,78,easy,other,True,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers JOIN Orders ON Customers.customer_id = Orders.customer_id,SELECT count(DISTINCT customer_id) FROM Orders
17,79,easy,other,True,SELECT COUNT(DISTINCT customer_id) FROM Orders,SELECT count(DISTINCT customer_id) FROM Orders
18,80,easy,wrong_table,True,SELECT COUNT(DISTINCT order_status_code) FROM Orders,SELECT count(DISTINCT order_item_status_code) FROM Order_items
19,81,easy,other,True,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items,SELECT count(DISTINCT order_item_status_code) FROM Order_items
20,82,easy,other,True,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
21,83,easy,other,True,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
22,100,easy,wrong_table,True,SELECT COUNT(*) FROM Shipments,SELECT count(*) FROM Shipment_Items
23,101,easy,wrong_table,True,SELECT COUNT(shipment_id) FROM Shipments,SELECT count(*) FROM Shipment_Items
24,102,easy,other,True,SELECT AVG(product_price) FROM Products,SELECT avg(product_price) FROM Products
25,103,easy,other,True,SELECT AVG(product_price) FROM Products,SELECT avg(product_price) FROM Products
