pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,retrieval_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM club
1,1,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM club
2,2,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C2 FROM T1 ORDER BY C2 ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C1 FROM T1 ORDER BY C1 ASC,SELECT Club_ID FROM club ORDER BY Club_ID ASC
4,6,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C2 FROM T1 WHERE C5 != 'Nike',SELECT Name FROM club WHERE Manufacturer != 'Nike'
5,7,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C1 FROM T1 WHERE C5 != 'Nike',SELECT Club_ID FROM club WHERE Manufacturer != 'Nike'
6,8,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T2.C10 FROM T2 ORDER BY T2.C12 ASC,SELECT player.Earnings FROM player ORDER BY player.Wins_count ASC
7,9,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C10 FROM T2 JOIN T1 ON T2.C13 = T1.C1 ORDER BY C12 ASC,SELECT Earnings FROM player JOIN club ON player.Club_ID = club.Club_ID ORDER BY Wins_count ASC
8,12,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.C3 FROM T1 JOIN T2 ON T1.C1 = T2.C13 WHERE T2.C10 > 1200000,SELECT DISTINCT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000
9,13,soccer_3,soccer_3,,,False,1,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C3 FROM T1 JOIN T2 ON T1.C1 = T2.C13 WHERE T2.C10 > 1200000,SELECT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000
10,28,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C5 FROM T1 JOIN T2 ON T1.C1 = T2.C13 GROUP BY C5 HAVING COUNT(DISTINCT C4) > 1,SELECT Manufacturer FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY Manufacturer HAVING COUNT(DISTINCT Captain) > 1
11,29,soccer_3,soccer_3,,,False,1,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C5 FROM T1 WHERE C1 IN (SELECT C13 FROM T2 GROUP BY C13 HAVING COUNT(*) > 1),SELECT Manufacturer FROM club WHERE Club_ID IN (SELECT Club_ID FROM player GROUP BY Club_ID HAVING COUNT(*) > 1)
12,30,soccer_3,soccer_3,,,False,1,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT T1.C6 FROM T1 JOIN T2 ON T1.C1 = T2.C13 GROUP BY T1.C1, T1.C6 HAVING COUNT(T2.C7) > 1","SELECT club.Sponsor FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Club_ID, club.Sponsor HAVING COUNT(player.Player_ID) > 1"
13,31,soccer_3,soccer_3,,,False,1,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C3 FROM T1 JOIN T2 ON T1.C1 = T2.C13 GROUP BY T1.C3 HAVING COUNT(T2.C7) > 1,SELECT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Manager HAVING COUNT(player.Player_ID) > 1
14,36,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T1.C1) FROM T1 JOIN T2 ON T1.C1 = T2.C13,SELECT COUNT(DISTINCT club.Club_ID) FROM club JOIN player ON club.Club_ID = player.Club_ID
15,37,soccer_3,soccer_3,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T1.C1) FROM T1 JOIN T2 ON T1.C1 = T2.C13,SELECT COUNT(DISTINCT club.Club_ID) FROM club JOIN player ON club.Club_ID = player.Club_ID
16,78,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T2.C8) FROM T2,SELECT COUNT(DISTINCT Orders.customer_id) FROM Orders
17,79,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T1.C1) FROM T1 JOIN T3 ON T1.C1 = T3.C10 JOIN T4 ON T3.C9 = T4.C15,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers JOIN Orders ON Customers.customer_id = Orders.customer_id JOIN Order_Items ON Orders.order_id = Order_Items.order_id
18,80,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C3) FROM T1,SELECT COUNT(DISTINCT order_status_code) FROM Orders
19,81,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C8) FROM T2 JOIN T1 ON T2.C7 = T1.C1,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items JOIN Orders ON Order_Items.order_id = Orders.order_id
20,82,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C2) FROM T1,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
21,83,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C8) FROM T2,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
22,100,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T3,SELECT COUNT(*) FROM Shipments
23,101,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C7) FROM T2,SELECT COUNT(DISTINCT shipment_id) FROM Shipments
24,102,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(C4) FROM T1,SELECT AVG(product_price) FROM Products
25,103,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(C4) FROM T1,SELECT AVG(product_price) FROM Products
26,104,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(C4) FROM T1,SELECT AVG(product_price) FROM Products
27,105,e_commerce,e_commerce,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT AVG(C4) FROM T1,SELECT AVG(product_price) FROM Products
28,123,bbc_channels,bbc_channels,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT C4) FROM T1,SELECT COUNT(DISTINCT Digital_terrestrial_channel) FROM channel
29,124,bbc_channels,bbc_channels,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C11 FROM T3 ORDER BY C10 DESC,SELECT Title FROM program ORDER BY Start_Year DESC
30,133,bbc_channels,bbc_channels,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT C7 FROM T2 WHERE C8 BETWEEN 30 AND 60,SELECT Name FROM director WHERE Age BETWEEN 30 AND 60
31,136,tv_shows,tv_shows,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT count(*) FROM T1,SELECT count(*) FROM radio
32,137,tv_shows,tv_shows,,,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.C2 FROM T1 JOIN T2 ON T1.C1 = T2.C8 WHERE T2.C9 IS NOT NULL ORDER BY T1.C6 ASC,SELECT radio.Transmitter FROM radio JOIN city_channel_radio ON radio.Radio_ID = city_channel_radio.Radio_ID WHERE city_channel_radio.Is_online IS NOT NULL ORDER BY radio.ERP_kW ASC
