pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,retrieval_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT COUNT(Club_ID) FROM club,SELECT COUNT(Club_ID) FROM club
1,1,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT COUNT(Club_ID) FROM club,SELECT COUNT(Club_ID) FROM club
2,2,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT Name FROM club WHERE Manufacturer != 'Nike',SELECT Name FROM club WHERE Manufacturer != 'Nike'
5,7,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT Name FROM club WHERE Manufacturer != 'Nike',SELECT Name FROM club WHERE Manufacturer != 'Nike'
6,8,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT Name FROM player ORDER BY Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
7,9,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT Name FROM player ORDER BY Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
8,12,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000
9,13,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT Country FROM player WHERE Earnings > 1200000,SELECT Country FROM player WHERE Earnings > 1200000
10,28,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(Club_ID) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(Club_ID) > 1
11,29,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(Club_ID) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(Club_ID) > 1
12,30,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT Country FROM player GROUP BY Country HAVING COUNT(Player_ID) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(Player_ID) > 1
13,31,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,lexical,SELECT T2.Country FROM player AS T1 JOIN club AS T2 ON T1.Club_ID = T2.Club_ID GROUP BY T2.Country HAVING COUNT(T1.Player_ID) > 1,SELECT T2.Country FROM player AS T1 JOIN club AS T2 ON T1.Club_ID = T2.Club_ID GROUP BY T2.Country HAVING COUNT(T1.Player_ID) > 1
14,36,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT(DISTINCT Country) FROM player
15,37,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,lexical,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT(DISTINCT Country) FROM player
16,78,e_commerce,e_commerce,,,False,2,True,,llama3.1-8b,lexical,SELECT COUNT(Customers.customer_id) FROM Customers JOIN Orders ON Customers.customer_id = Orders.customer_id,SELECT COUNT(Customers.customer_id) FROM Customers JOIN Orders ON Customers.customer_id = Orders.customer_id
17,79,e_commerce,e_commerce,,,False,2,True,,llama3.1-8b,lexical,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers JOIN Orders ON Customers.customer_id = Orders.customer_id,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers JOIN Orders ON Customers.customer_id = Orders.customer_id
18,80,e_commerce,e_commerce,,,False,2,True,,llama3.1-8b,lexical,SELECT COUNT(DISTINCT Order_Items.order_item_id) FROM Order_Items JOIN Shipment_Items ON Order_Items.order_item_id = Shipment_Items.order_item_id,SELECT COUNT(DISTINCT Order_Items.order_item_id) FROM Order_Items JOIN Shipment_Items ON Order_Items.order_item_id = Shipment_Items.order_item_id
19,81,e_commerce,e_commerce,,,False,1,True,,llama3.1-8b,lexical,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items,SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items
20,82,e_commerce,e_commerce,,,False,1,True,,llama3.1-8b,lexical,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
