pos,test_idx,difficulty,category,exec_success_runtime,pred_sql,gold_sql
0,0,,wrong_column,True,SELECT COUNT(club.Club_ID) FROM club,SELECT count(*) FROM club
1,1,,other,True,SELECT count(*) FROM club,SELECT count(*) FROM club
2,2,,other,True,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,,other,True,SELECT club.Name FROM club ORDER BY club.Name ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,,other,True,SELECT club.Name FROM club WHERE club.Manufacturer != 'Nike',"SELECT Name FROM club WHERE Manufacturer != ""Nike"""
5,7,,other,True,SELECT club.Name FROM club WHERE club.Manufacturer != 'Nike',"SELECT Name FROM club WHERE Manufacturer != ""Nike"""
6,8,,wrong_column,True,SELECT player.Name FROM player JOIN club ON player.Club_ID = club.Club_ID ORDER BY player.Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
7,9,,wrong_column,True,SELECT player.Events_number FROM player JOIN club ON player.Club_ID = club.Club_ID ORDER BY player.Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
8,12,,other,True,SELECT DISTINCT Country FROM player WHERE Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
9,13,,missing_clause,True,SELECT player.Country FROM player JOIN club ON player.Club_ID = club.Club_ID WHERE club.Manufacturer > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
10,28,,other,True,SELECT club.Manufacturer FROM club GROUP BY club.Manufacturer HAVING count(*) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
11,29,,wrong_column,True,SELECT club.Manufacturer FROM club INNER JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Manufacturer HAVING COUNT(club.Club_ID) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
12,30,,missing_clause,True,SELECT player.Country FROM player WHERE player.Player_ID > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
13,31,,missing_clause,True,SELECT player.Country FROM player WHERE player.Earnings > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
14,36,,other,True,SELECT COUNT(DISTINCT player.Country) FROM player,SELECT COUNT (DISTINCT Country) FROM player
15,37,,other,True,SELECT COUNT(DISTINCT player.Country) FROM player,SELECT COUNT (DISTINCT Country) FROM player
16,78,,missing_clause,True,SELECT COUNT(Customers.customer_id) FROM Customers AS Customers JOIN Orders AS Orders ON Orders.customer_id = Customers.customer_id,SELECT count(DISTINCT customer_id) FROM Orders
17,79,,wrong_table,True,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers,SELECT count(DISTINCT customer_id) FROM Orders
18,80,,wrong_table,True,SELECT count(*) FROM Orders,SELECT count(DISTINCT order_item_status_code) FROM Order_items
19,81,,wrong_table,True,SELECT DISTINCT order_status_code FROM Orders WHERE date_order_placed IS NOT NULL,SELECT count(DISTINCT order_item_status_code) FROM Order_items
20,82,,missing_clause,True,SELECT COUNT(payment_method_code) FROM Customer_Payment_Methods,SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
21,83,,other,True,SELECT COUNT(DISTINCT Customer_Payment_Methods.payment_method_code) FROM Customer_Payment_Methods,SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
22,100,,wrong_table,True,SELECT COUNT(shipment_id) FROM Shipments,SELECT count(*) FROM Shipment_Items
23,101,,wrong_table,True,SELECT COUNT(product_name) FROM Products,SELECT count(*) FROM Shipment_Items
24,102,,other,True,SELECT product_price FROM Products,SELECT avg(product_price) FROM Products
25,103,,other,True,SELECT AVG(product_price) FROM Products,SELECT avg(product_price) FROM Products
26,104,,wrong_table,True,SELECT avg(product_price) FROM Products,SELECT avg(T1.product_price) FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id
27,105,,wrong_table,True,SELECT product_price FROM Products,SELECT avg(T1.product_price) FROM Products AS T1 JOIN Order_items AS T2 ON T1.product_id  =  T2.product_id
28,123,,wrong_column,True,SELECT COUNT(DISTINCT channel.Internet) FROM channel WHERE channel.Analogue_terrestrial_channel = 'digital terrestrial',SELECT count(DISTINCT Digital_terrestrial_channel) FROM channel
29,124,,wrong_column,True,SELECT program.Title FROM program INNER JOIN channel ON program.Channel_ID = channel.Channel_ID ORDER BY program.Start_Year DESC,SELECT title FROM program ORDER BY start_year DESC
