gold_db,predicted_db,count
e_commerce,e_commerce,79
vehicle_driver,vehicle_driver,42
soccer_3,soccer_3,39
online_exams,online_exams,33
customers_and_orders,customers_and_orders,29
cre_Students_Information_Systems,cre_Students_Information_Systems,24
customers_and_orders,e_commerce,18
bbc_channels,bbc_channels,16
tv_shows,tv_shows,14
government_shift,government_shift,7
online_exams,cre_Students_Information_Systems,4
vehicle_rent,vehicle_driver,4
government_shift,customers_and_orders,3
region_building,region_building,2
vehicle_rent,vehicle_rent,2
soccer_3,e_commerce,1
customers_and_orders,bbc_channels,1
e_commerce,customers_and_orders,1
tv_shows,bbc_channels,1
