pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,db_routing_correct,embedding_top1_margin,routing_tiebreak_used,re_picked,retries,exec_success,difficulty,model_used,retrieval_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,soccer_3,True,True,0.220174,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT IDENTIFIER_PRIMARY_1) FROM T1,SELECT COUNT(DISTINCT Club_ID) FROM club
1,1,soccer_3,soccer_3,soccer_3,True,True,0.078548,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM club
2,2,soccer_3,soccer_3,soccer_3,True,True,0.157001,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,soccer_3,True,True,0.157253,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,soccer_3,soccer_3,soccer_3,True,True,0.152817,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.DESCRIPTIVE_ATTRIBUTE_2 NOT IN (SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.TEXT_FIELD_3 = 'Nike'),SELECT DISTINCT club.Name FROM club WHERE club.Name NOT IN (SELECT club.Name FROM club WHERE club.Manager = 'Nike')
5,7,soccer_3,soccer_3,soccer_3,True,True,0.150712,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE IDENTIFIER_PRIMARY_1 NOT IN (SELECT IDENTIFIER_REFERENCE_13 FROM T2 WHERE DESCRIPTIVE_ATTRIBUTE_8 = 'Nike'),SELECT Name FROM club WHERE Club_ID NOT IN (SELECT Club_ID FROM player WHERE Name = 'Nike')
6,8,soccer_3,soccer_3,soccer_3,True,True,0.027668,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT T1.DESCRIPTIVE_ATTRIBUTE_2, COUNT(T2.IDENTIFIER_PRIMARY_7) AS wins_count FROM T1 LEFT JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.IDENTIFIER_PRIMARY_1, T1.DESCRIPTIVE_ATTRIBUTE_2 ORDER BY wins_count ASC","SELECT club.Name, COUNT(player.Player_ID) AS wins_count FROM club LEFT JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Club_ID, club.Name ORDER BY wins_count ASC"
7,9,soccer_3,soccer_3,vehicle_driver,False,True,0.004530,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT T1.DESCRIPTIVE_ATTRIBUTE_2, COUNT(T2.IDENTIFIER_PRIMARY_7) AS win_count FROM T1 LEFT JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.IDENTIFIER_PRIMARY_1, T1.DESCRIPTIVE_ATTRIBUTE_2 ORDER BY win_count ASC","SELECT club.Name, COUNT(player.Player_ID) AS win_count FROM club LEFT JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Club_ID, club.Name ORDER BY win_count ASC"
8,12,soccer_3,soccer_3,soccer_3,True,True,0.079211,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.TEXT_FIELD_3 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.NUMERIC_FIELD_10 > 1200000,SELECT DISTINCT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000
9,13,soccer_3,soccer_3,soccer_3,True,True,0.151507,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.NUMERIC_FIELD_10 > 1200000,SELECT DISTINCT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000
10,28,soccer_3,soccer_3,soccer_3,True,True,0.168382,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.DESCRIPTIVE_ATTRIBUTE_2 HAVING COUNT(DISTINCT T2.IDENTIFIER_PRIMARY_7) > 1,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Name HAVING COUNT(DISTINCT player.Player_ID) > 1
11,29,soccer_3,soccer_3,soccer_3,True,True,0.063629,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.DESCRIPTIVE_ATTRIBUTE_2 HAVING COUNT(DISTINCT T2.IDENTIFIER_PRIMARY_7) > 1,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Name HAVING COUNT(DISTINCT player.Player_ID) > 1
12,30,soccer_3,soccer_3,soccer_3,True,True,0.207445,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,"SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.IDENTIFIER_PRIMARY_1, T1.DESCRIPTIVE_ATTRIBUTE_2 HAVING COUNT(T2.IDENTIFIER_PRIMARY_7) > 1","SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Club_ID, club.Name HAVING COUNT(player.Player_ID) > 1"
13,31,soccer_3,soccer_3,soccer_3,True,True,0.165143,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.DESCRIPTIVE_ATTRIBUTE_2 HAVING COUNT(T2.IDENTIFIER_PRIMARY_7) > 1,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Name HAVING COUNT(player.Player_ID) > 1
14,36,soccer_3,soccer_3,soccer_3,True,True,0.080946,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_2) FROM T1,SELECT COUNT(DISTINCT club.Name) FROM club
15,37,soccer_3,soccer_3,soccer_3,True,True,0.201732,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT DESCRIPTIVE_ATTRIBUTE_9) FROM T2,SELECT COUNT(DISTINCT Country) FROM player
16,78,e_commerce,customers_and_orders,customers_and_orders,False,False,0.068130,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T1.IDENTIFIER_PRIMARY_1) FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_8,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers JOIN Customer_Orders ON Customers.customer_id = Customer_Orders.customer_id
17,79,e_commerce,customers_and_orders,customers_and_orders,False,False,0.077749,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT IDENTIFIER_REFERENCE_8) FROM T2,SELECT COUNT(DISTINCT customer_id) FROM Customer_Orders
18,80,e_commerce,e_commerce,customers_and_orders,False,True,0.032184,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(DISTINCT T3.MEASUREMENT_VALUE_12) FROM T3 JOIN T1 ON T3.IDENTIFIER_REFERENCE_10 = T1.IDENTIFIER_PRIMARY_1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_7 JOIN T4 ON T3.IDENTIFIER_PRIMARY_9 = T4.IDENTIFIER_PRIMARY_14 AND T2.IDENTIFIER_PRIMARY_5 = T4.IDENTIFIER_REFERENCE_15,SELECT COUNT(DISTINCT Shipments.shipment_tracking_number) FROM Shipments JOIN Orders ON Shipments.order_id = Orders.order_id JOIN Order_Items ON Orders.order_id = Order_Items.order_id JOIN Shipment_Items ON Shipments.shipment_id = Shipment_Items.shipment_id AND Order_Items.order_item_id = Shipment_Items.order_item_id
