pos,test_idx,difficulty,category,exec_success_runtime,pred_sql,gold_sql
0,0,easy,other,True,SELECT COUNT(*) FROM club,SELECT count(*) FROM club
1,1,easy,other,True,SELECT COUNT(*) FROM club,SELECT count(*) FROM club
2,2,easy,other,True,SELECT Name FROM club ORDER BY Name ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,easy,wrong_column,True,SELECT Captain FROM club ORDER BY Captain ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,easy,wrong_column,True,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Name != 'Nike',"SELECT Name FROM club WHERE Manufacturer != ""Nike"""
5,7,easy,extra_clause,True,SELECT DISTINCT club.Name FROM club LEFT JOIN player ON club.Club_ID = player.Club_ID WHERE player.Club_ID IS NULL OR player.Name != 'Nike' GROUP BY club.Club_ID HAVING COUNT(CASE WHEN player.Name = ',"SELECT Name FROM club WHERE Manufacturer != ""Nike"""
6,8,easy,wrong_column,True,SELECT Earnings FROM player ORDER BY Wins_count ASC,SELECT Name FROM player ORDER BY Wins_count ASC
7,9,easy,wrong_table,True,"SELECT driver.Name, COUNT(*) AS win_count FROM driver LEFT JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID LEFT JOIN vehicle ON vehicle_driver.Vehicle_ID = vehicle.Vehicle_ID GROUP ",SELECT Name FROM player ORDER BY Wins_count ASC
8,12,easy,wrong_column,True,SELECT DISTINCT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
9,13,easy,wrong_column,True,SELECT DISTINCT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000,SELECT DISTINCT Country FROM player WHERE Earnings  >  1200000
10,28,easy,extra_clause,True,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(DISTINCT Captain) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
11,29,easy,extra_clause,True,SELECT Manufacturer FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Manufacturer HAVING COUNT(DISTINCT player.Club_ID) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(*)  >  1
12,30,easy,wrong_column,True,SELECT Manager FROM club WHERE Club_ID IN (SELECT Club_ID FROM player GROUP BY Club_ID HAVING COUNT(*) > 1),SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
13,31,easy,wrong_column,True,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Club_ID HAVING COUNT(*) > 1,SELECT Country FROM player GROUP BY Country HAVING COUNT(*)  >  1
14,36,easy,other,True,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT (DISTINCT Country) FROM player
15,37,easy,other,True,SELECT COUNT(DISTINCT Country) FROM player,SELECT COUNT (DISTINCT Country) FROM player
16,78,easy,wrong_table,True,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers JOIN Customer_Orders ON Customers.customer_id = Customer_Orders.customer_id JOIN Order_Items ON Customer_Orders.order_id = Order_Items.order,SELECT count(DISTINCT customer_id) FROM Orders
17,79,easy,wrong_table,True,SELECT COUNT(DISTINCT customer_phone) FROM Customers JOIN Customer_Orders ON Customers.customer_id = Customer_Orders.customer_id JOIN Order_Items ON Customer_Orders.order_id = Order_Items.order_id,SELECT count(DISTINCT customer_id) FROM Orders
18,80,easy,wrong_column,True,SELECT COUNT(DISTINCT order_quantity) FROM Order_Items,SELECT count(DISTINCT order_item_status_code) FROM Order_items
19,81,easy,wrong_column,True,SELECT COUNT(DISTINCT order_status_code) FROM Customer_Orders JOIN Order_Items ON Customer_Orders.order_id = Order_Items.order_id,SELECT count(DISTINCT order_item_status_code) FROM Order_items
20,82,easy,other,True,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
21,83,easy,other,True,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods,SELECT count(DISTINCT Payment_method_code) FROM Customer_Payment_Methods
22,100,easy,wrong_table,True,SELECT COUNT(*) FROM Order_Items WHERE order_quantity IS NOT NULL,SELECT count(*) FROM Shipment_Items
23,101,easy,wrong_table,True,SELECT COUNT(*) FROM Shipments,SELECT count(*) FROM Shipment_Items
24,102,easy,other,True,SELECT AVG(product_price) FROM Products,SELECT avg(product_price) FROM Products
25,103,easy,other,True,SELECT AVG(product_price) FROM Products,SELECT avg(product_price) FROM Products
