pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,retrieval_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,hybrid,SELECT COUNT(IDENTIFIER_PRIMARY_1) FROM T1,SELECT COUNT(Club_ID) FROM club
1,1,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,hybrid,SELECT COUNT(*) FROM T1 WHERE DESCRIPTIVE_ATTRIBUTE_2 LIKE '%club%',SELECT COUNT(*) FROM club WHERE Name LIKE '%club%'
2,2,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,hybrid,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,hybrid,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,hybrid,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE TEXT_FIELD_3 != 'Nike',SELECT Name FROM club WHERE Manager != 'Nike'
5,7,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,hybrid,SELECT DESCRIPTIVE_ATTRIBUTE_8 FROM T2 WHERE DESCRIPTIVE_ATTRIBUTE_9 != 'Nike',SELECT Name FROM player WHERE Country != 'Nike'
6,8,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,hybrid,"SELECT T1.DESCRIPTIVE_ATTRIBUTE_2, SUM(T2.NUMERIC_FIELD_10) FROM T1 INNER JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.DESCRIPTIVE_ATTRIBUTE_2 ORDER BY SUM(T2.NUMERIC_FIELD_10) ASC","SELECT club.Name, SUM(player.Earnings) FROM club INNER JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Name ORDER BY SUM(player.Earnings) ASC"
7,9,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,hybrid,"SELECT T1.DESCRIPITIVE_ATTRIBUTE_2, COUNT(T2.MEASUREMENT_VALUE_11) AS wins FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.DESCRIPITIVE_ATTRIBUTE_2 ORDER BY COUNT(T2.MEASUREMENT_VALUE_11) ASC","SELECT club.DESCRIPITIVE_ATTRIBUTE_2, COUNT(player.Events_number) AS wins FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.DESCRIPITIVE_ATTRIBUTE_2 ORDER BY COUNT(player.Events_number) ASC"
8,12,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,hybrid,SELECT DISTINCT T2.DESCRIPITIVE_ATTRIBUTE_9 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T1.TEXT_FIELD_3 > 1200000,SELECT DISTINCT player.DESCRIPITIVE_ATTRIBUTE_9 FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE club.Manager > 1200000
9,13,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,hybrid,SELECT T1.DESCRIPITIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.MEASUREMENT_VALUE_11 > 1200000,SELECT club.DESCRIPITIVE_ATTRIBUTE_2 FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Events_number > 1200000
10,28,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,hybrid,SELECT T1.DESCRIPITIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.DESCRIPITIVE_ATTRIBUTE_2 HAVING COUNT(T1.IDENTIFIER_PRIMARY_1) > 1,SELECT club.DESCRIPITIVE_ATTRIBUTE_2 FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.DESCRIPITIVE_ATTRIBUTE_2 HAVING COUNT(club.Club_ID) > 1
11,29,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,hybrid,SELECT T1.DESCRIPITIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.DESCRIPITIVE_ATTRIBUTE_2 HAVING COUNT(T2.IDENTIFIER_REFERENCE_13) > 1,SELECT club.DESCRIPITIVE_ATTRIBUTE_2 FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.DESCRIPITIVE_ATTRIBUTE_2 HAVING COUNT(player.Club_ID) > 1
12,30,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,hybrid,SELECT DESCRIPTIVE_ATTRIBUTE_8 FROM T2 GROUP BY DESCRIPTIVE_ATTRIBUTE_8 HAVING COUNT(IDENTIFIER_PRIMARY_7) > 1,SELECT Name FROM player GROUP BY Name HAVING COUNT(Player_ID) > 1
13,31,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,hybrid,SELECT DESCRIPTIVE_ATTRIBUTE_8 FROM T2 GROUP BY DESCRIPTIVE_ATTRIBUTE_8 HAVING COUNT(IDENTIFIER_PRIMARY_7) > 1,SELECT Name FROM player GROUP BY Name HAVING COUNT(Player_ID) > 1
14,36,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,hybrid,SELECT COUNT(DISTINCT DESCRIPTIVE_ATTRIBUTE_2) FROM T1,SELECT COUNT(DISTINCT Name) FROM club
15,37,soccer_3,soccer_3,,,False,1,True,,llama3.1-8b,hybrid,SELECT COUNT(DISTINCT DESCRIPTIVE_ATTRIBUTE_8) FROM T2,SELECT COUNT(DISTINCT Name) FROM player
16,78,e_commerce,e_commerce,,,False,1,True,,llama3.1-8b,hybrid,SELECT COUNT(DISTINCT T1.IDENTIFIER_PRIMARY_1) FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_8,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers JOIN Orders ON Customers.customer_id = Orders.customer_id
17,79,e_commerce,e_commerce,,,False,1,True,,llama3.1-8b,hybrid,SELECT COUNT(DISTINCT DESCRIPTIVE_ATTRIBUTE_2) FROM T1,SELECT COUNT(DISTINCT gender_code) FROM Customers
18,80,e_commerce,e_commerce,,,False,1,True,,llama3.1-8b,hybrid,SELECT COUNT(T3.IDENTIFIER_PRIMARY_9) FROM T2 JOIN T4 ON T2.IDENTIFIER_PRIMARY_5 = T4.IDENTIFIER_REFERENCE_15 JOIN T3 ON T3.IDENTIFIER_PRIMARY_9 = T4.IDENTIFIER_PRIMARY_14,SELECT COUNT(Shipments.shipment_id) FROM Order_Items JOIN Shipment_Items ON Order_Items.order_item_id = Shipment_Items.order_item_id JOIN Shipments ON Shipments.shipment_id = Shipment_Items.shipment_id
