pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,retrieval_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,hybrid,SELECT COUNT(T1.IDENTIFIER_PRIMARY_1) FROM T1,SELECT COUNT(club.Club_ID) FROM club
1,1,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,hybrid,SELECT count(*) FROM T1,SELECT count(*) FROM club
2,2,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,hybrid,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY T1.DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT club.Name FROM club ORDER BY club.Name ASC
3,3,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,hybrid,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY T1.DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT club.Name FROM club ORDER BY club.Name ASC
4,6,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,hybrid,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 INNER JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.DESCRIPTIVE_ATTRIBUTE_8 != 'Nike',SELECT club.Name FROM club INNER JOIN player ON club.Club_ID = player.Club_ID WHERE player.Name != 'Nike'
5,7,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,hybrid,SELECT T1.IDENTIFIER_PRIMARY_1 FROM T1 INNER JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.DESCRIPTIVE_ATTRIBUTE_8 != 'Nike',SELECT club.Club_ID FROM club INNER JOIN player ON club.Club_ID = player.Club_ID WHERE player.Name != 'Nike'
6,8,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,hybrid,SELECT T2.DESCRIPTIVE_ATTRIBUTE_9 FROM T2 JOIN T1 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 ORDER BY T2.MEASUREMENT_VALUE_12,SELECT player.Country FROM player JOIN club ON player.Club_ID = club.Club_ID ORDER BY player.Wins_count
7,9,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,hybrid,SELECT T2.NUMERIC_FIELD_10 FROM T2 JOIN T1 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 GROUP BY T2.NUMERIC_FIELD_10 ORDER BY COUNT(T2.MEASUREMENT_VALUE_12) ASC,SELECT player.Earnings FROM player JOIN club ON player.Club_ID = club.Club_ID GROUP BY player.Earnings ORDER BY COUNT(player.Wins_count) ASC
8,12,soccer_3,soccer_3,,,False,0,True,,llama3.1-8b,hybrid,SELECT DISTINCT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE IDENTIFIER_PRIMARY_1 IN (SELECT IDENTIFIER_REFERENCE_13 FROM T2 WHERE NUMERIC_FIELD_10 > 1200000),SELECT DISTINCT Name FROM club WHERE Club_ID IN (SELECT Club_ID FROM player WHERE Earnings > 1200000)
9,13,soccer_3,soccer_3,,,False,3,False,,llama3.1-8b,hybrid,SELECT T2.DESCRIPITIVE_ATTRIBUTE_9 FROM T2 AS T2 JOIN T1 ON T2.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 WHERE T2.NUMERIC_FIELD_10 > 1200000,SELECT player.DESCRIPITIVE_ATTRIBUTE_9 FROM player AS player JOIN club ON player.Club_ID = club.Club_ID WHERE player.Earnings > 1200000
