pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,db_routing_correct,embedding_top1_margin,routing_tiebreak_used,re_picked,retries,exec_success,difficulty,model_used,retrieval_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,soccer_3,True,True,0.148920,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM club
1,1,soccer_3,soccer_3,soccer_3,True,True,0.067711,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM club
2,2,soccer_3,customers_and_orders,soccer_3,True,False,0.051004,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DESCRIPTIVE_ATTRIBUTE_4 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_4 ASC,SELECT order_status_code FROM Customer_Orders ORDER BY order_status_code ASC
3,3,soccer_3,customers_and_orders,soccer_3,True,False,0.026066,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DESCRIPTIVE_ATTRIBUTE_4 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_4 ASC,SELECT order_status_code FROM Customer_Orders ORDER BY order_status_code ASC
4,6,soccer_3,soccer_3,soccer_3,True,True,0.022965,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.DESCRIPTIVE_ATTRIBUTE_8 != 'Nike',SELECT DISTINCT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Name != 'Nike'
5,7,soccer_3,soccer_3,soccer_3,True,True,0.092702,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 LEFT JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T1.IDENTIFIER_PRIMARY_1 NOT IN ( SELECT DISTINCT T2.IDENTIFIER_REFERENCE_13 FROM T2 WHERE T2.DESCRIPTIVE_ATTRIBUTE_8 = 'Nike' ),SELECT DISTINCT club.Name FROM club LEFT JOIN player ON club.Club_ID = player.Club_ID WHERE club.Club_ID NOT IN ( SELECT DISTINCT player.Club_ID FROM player WHERE player.Name = 'Nike' )
6,8,soccer_3,soccer_3,soccer_3,True,True,0.000852,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T2.DESCRIPTIVE_ATTRIBUTE_8 FROM T2 ORDER BY T2.MEASUREMENT_VALUE_12 ASC,SELECT player.Name FROM player ORDER BY player.Wins_count ASC
7,9,soccer_3,soccer_3,vehicle_driver,False,True,0.021511,True,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT T2.NUMERIC_FIELD_10 FROM T2 ORDER BY T2.MEASUREMENT_VALUE_12 ASC,SELECT player.Earnings FROM player ORDER BY player.Wins_count ASC
8,12,soccer_3,soccer_3,soccer_3,True,True,0.085986,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.NUMERIC_FIELD_10 > 1200000,SELECT DISTINCT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000
9,13,soccer_3,soccer_3,soccer_3,True,True,0.155353,False,False,0,True,easy,claude-haiku-4-5-20251001,hybrid,SELECT DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 WHERE T2.NUMERIC_FIELD_10 > 1200000,SELECT DISTINCT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Earnings > 1200000
