pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(C1) FROM T1,SELECT COUNT(Club_ID) FROM club
1,1,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT count(*) FROM T1,SELECT count(*) FROM club
2,2,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT C2 FROM T1 ORDER BY C2 ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT C2 FROM T1 ORDER BY C2 ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT C2 FROM T1 WHERE C5 != 'Nike',SELECT Name FROM club WHERE Manufacturer != 'Nike'
5,7,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT C2 FROM T1 WHERE C1 NOT IN (SELECT C13 FROM T2 WHERE C8 = 'Nike'),SELECT Name FROM club WHERE Club_ID NOT IN (SELECT Club_ID FROM player WHERE Name = 'Nike')
6,8,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT T2.C8 FROM T2 ORDER BY T2.C12 ASC,SELECT player.Name FROM player ORDER BY player.Wins_count ASC
7,9,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT T2.C8 FROM T2 ORDER BY T2.C12 ASC,SELECT player.Name FROM player ORDER BY player.Wins_count ASC
8,12,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT DISTINCT T2.C9 FROM T2 WHERE T2.C10 > 1200000,SELECT DISTINCT player.Country FROM player WHERE player.Earnings > 1200000
9,13,soccer_3,soccer_3,,,False,1,True,,claude-haiku-4-5-20251001,SELECT DISTINCT T1.C3 FROM T1 JOIN T2 ON T1.C1 = T2.C13 WHERE T2.C11 > 1200000,SELECT DISTINCT club.Manager FROM club JOIN player ON club.Club_ID = player.Club_ID WHERE player.Events_number > 1200000
10,28,soccer_3,soccer_3,,,False,1,True,,claude-haiku-4-5-20251001,SELECT T1.C5 FROM T1 JOIN T2 ON T1.C1 = T2.C13 GROUP BY T1.C5 HAVING count(DISTINCT T2.C8) > 1,SELECT club.Manufacturer FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Manufacturer HAVING count(DISTINCT player.Name) > 1
11,29,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT C5 FROM T1 GROUP BY C5 HAVING COUNT(DISTINCT C4) > 1,SELECT Manufacturer FROM club GROUP BY Manufacturer HAVING COUNT(DISTINCT Captain) > 1
