pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,0,True,SELECT COUNT(C1) FROM T1,SELECT COUNT(Club_ID) FROM club
1,1,soccer_3,soccer_3,,,False,0,True,SELECT COUNT(C1) FROM T1,SELECT COUNT(Club_ID) FROM club
2,2,soccer_3,soccer_3,,,False,0,True,SELECT C2 FROM T1,SELECT Name FROM club
3,3,soccer_3,soccer_3,,,False,0,True,SELECT T1.C2 FROM T1 WHERE T1.C2 IS NOT NULL ORDER BY T1.C2 ASC,SELECT club.Name FROM club WHERE club.Name IS NOT NULL ORDER BY club.Name ASC
4,6,soccer_3,soccer_3,,,False,0,True,"SELECT T2.C8 FROM T1 AS T1 JOIN T2 ON T1.C1 = T2.C13 WHERE T1.C3 != ""Nike""","SELECT player.Name FROM club AS club JOIN player ON club.Club_ID = player.Club_ID WHERE club.Manager != ""Nike"""
5,7,soccer_3,soccer_3,,,False,0,True,SELECT C2 FROM T1 WHERE C5 != 'Nike',SELECT Name FROM club WHERE Manufacturer != 'Nike'
6,8,soccer_3,soccer_3,,,False,0,True,SELECT T2.C2 FROM T1 AS T1 JOIN T2 AS T2 ON T1.C1 = T2.C13 ORDER BY T2.C10 ASC,SELECT player.Name FROM club AS club JOIN player AS player ON club.Club_ID = player.Club_ID ORDER BY player.Earnings ASC
7,9,soccer_3,soccer_3,,,False,0,True,SELECT T2.C8 FROM T2 JOIN T1 ON T2.C13 = T1.C1 GROUP BY T2.C8 ORDER BY COUNT(T2.C8) ASC,SELECT player.Name FROM player JOIN club ON player.Club_ID = club.Club_ID GROUP BY player.Name ORDER BY COUNT(player.Name) ASC
8,12,soccer_3,soccer_3,,,False,0,True,SELECT DISTINCT C2 FROM T1 WHERE C6 > 1200000,SELECT DISTINCT Name FROM club WHERE Sponsor > 1200000
9,13,soccer_3,soccer_3,,,False,0,True,SELECT T2.C8 FROM T1 AS T1 JOIN T2 ON T1.C1 = T2.C13 WHERE T1.C5 > 1200000,SELECT player.Name FROM club AS club JOIN player ON club.Club_ID = player.Club_ID WHERE club.Manufacturer > 1200000
10,28,soccer_3,soccer_3,,,False,0,True,SELECT T2.C8 FROM T2 WHERE T2.C13 IN (SELECT T1.C1 FROM T1 GROUP BY T1.C1 HAVING COUNT(T1.C1) > 1),SELECT player.Name FROM player WHERE player.Club_ID IN (SELECT club.Club_ID FROM club GROUP BY club.Club_ID HAVING COUNT(club.Club_ID) > 1)
11,29,soccer_3,soccer_3,,,False,0,True,SELECT C2 FROM T1 WHERE C1 IN (SELECT C13 FROM T2 GROUP BY C13 HAVING COUNT(C13) > 1),SELECT Name FROM club WHERE Club_ID IN (SELECT Club_ID FROM player GROUP BY Club_ID HAVING COUNT(Club_ID) > 1)
12,30,soccer_3,soccer_3,,,False,0,True,SELECT T1.C2 FROM T1 WHERE T1.C1 IN ( SELECT T2.C13 FROM T2 GROUP BY T2.C13 HAVING COUNT(T2.C13) > 1 ),SELECT club.Name FROM club WHERE club.Club_ID IN ( SELECT player.Club_ID FROM player GROUP BY player.Club_ID HAVING COUNT(player.Club_ID) > 1 )
13,31,soccer_3,soccer_3,,,False,0,True,SELECT T2.C8 FROM T2 WHERE T2.C10 > 1,SELECT player.Name FROM player WHERE player.Earnings > 1
14,36,soccer_3,soccer_3,,,False,0,True,SELECT COUNT(DISTINCT T2.C8) FROM T1 AS T1 JOIN T2 AS T2 ON T1.C1 = T2.C13,SELECT COUNT(DISTINCT player.Name) FROM club AS club JOIN player AS player ON club.Club_ID = player.Club_ID
15,37,soccer_3,soccer_3,,,False,0,True,SELECT COUNT(DISTINCT T2.C8) FROM T1 AS T1 JOIN T2 AS T2 ON T1.C1 = T2.C13,SELECT COUNT(DISTINCT player.Name) FROM club AS club JOIN player AS player ON club.Club_ID = player.Club_ID
16,78,e_commerce,e_commerce,,,False,0,True,SELECT COUNT(T1.C1) FROM T1,SELECT COUNT(Customers.customer_id) FROM Customers
17,79,e_commerce,e_commerce,,,False,0,True,SELECT count(DISTINCT T1.C1) FROM T1 INNER JOIN T3 ON T1.C1 = T3.C10,SELECT count(DISTINCT Customers.customer_id) FROM Customers INNER JOIN Orders ON Customers.customer_id = Orders.customer_id
