pos,test_idx,db_id_gold,db_id_used,broker_pick,broker_correct,re_picked,retries,exec_success,difficulty,model_used,masked_sql,real_sql
0,0,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT IDENTIFIER_PRIMARY_1) FROM T1,SELECT COUNT(DISTINCT Club_ID) FROM club
1,1,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(*) FROM T1,SELECT COUNT(*) FROM club
2,2,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT Name FROM club ORDER BY Name ASC
3,3,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 ORDER BY DESCRIPTIVE_ATTRIBUTE_2 ASC,SELECT Name FROM club ORDER BY Name ASC
4,6,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,"SELECT DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE TEXT_FIELD_5 != ""Nike""","SELECT Name FROM club WHERE Manufacturer != ""Nike"""
5,7,soccer_3,soccer_3,,,False,1,True,,claude-haiku-4-5-20251001,SELECT DISTINCT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 WHERE T1.IDENTIFIER_PRIMARY_1 NOT IN ( SELECT DISTINCT T2.IDENTIFIER_REFERENCE_13 FROM T2 WHERE T2.DESCRIPTIVE_ATTRIBUTE_9 = 'Nike' ),SELECT DISTINCT club.Name FROM club WHERE club.Club_ID NOT IN ( SELECT DISTINCT player.Club_ID FROM player WHERE player.Country = 'Nike' )
6,8,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT T2.DESCRIPTIVE_ATTRIBUTE_8 FROM T2 ORDER BY T2.MEASUREMENT_VALUE_12 ASC,SELECT player.Name FROM player ORDER BY player.Wins_count ASC
7,9,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT T2.DESCRIPTIVE_ATTRIBUTE_8 FROM T2 ORDER BY T2.MEASUREMENT_VALUE_12 ASC,SELECT player.Name FROM player ORDER BY player.Wins_count ASC
8,12,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT DISTINCT T2.DESCRIPTIVE_ATTRIBUTE_9 FROM T2 WHERE T2.NUMERIC_FIELD_10 > 1200000,SELECT DISTINCT player.Country FROM player WHERE player.Earnings > 1200000
9,13,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT DISTINCT T2.DESCRIPTIVE_ATTRIBUTE_9 FROM T2 WHERE T2.MEASUREMENT_VALUE_11 > 1200000,SELECT DISTINCT player.Country FROM player WHERE player.Events_number > 1200000
10,28,soccer_3,soccer_3,,,False,1,True,,claude-haiku-4-5-20251001,SELECT T1.TEXT_FIELD_5 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.TEXT_FIELD_5 HAVING COUNT(DISTINCT T2.IDENTIFIER_PRIMARY_7) > 1,SELECT club.Manufacturer FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Manufacturer HAVING COUNT(DISTINCT player.Player_ID) > 1
11,29,soccer_3,soccer_3,,,False,1,True,,claude-haiku-4-5-20251001,SELECT DISTINCT T1.TEXT_FIELD_5 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.TEXT_FIELD_5 HAVING COUNT(DISTINCT T2.DESCRIPTIVE_ATTRIBUTE_8) > 1,SELECT DISTINCT club.Manufacturer FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Manufacturer HAVING COUNT(DISTINCT player.Name) > 1
12,30,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT T1.DESCRIPTIVE_ATTRIBUTE_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_13 GROUP BY T1.IDENTIFIER_PRIMARY_1 HAVING COUNT(T2.IDENTIFIER_PRIMARY_7) > 1,SELECT club.Name FROM club JOIN player ON club.Club_ID = player.Club_ID GROUP BY club.Club_ID HAVING COUNT(player.Player_ID) > 1
13,31,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT T2.DESCRIPTIVE_ATTRIBUTE_9 FROM T2 GROUP BY T2.DESCRIPTIVE_ATTRIBUTE_9 HAVING COUNT(T2.IDENTIFIER_PRIMARY_7) > 1,SELECT player.Country FROM player GROUP BY player.Country HAVING COUNT(player.Player_ID) > 1
14,36,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT DESCRIPTIVE_ATTRIBUTE_9) FROM T2,SELECT COUNT(DISTINCT Country) FROM player
15,37,soccer_3,soccer_3,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT DESCRIPTIVE_ATTRIBUTE_9) FROM T2,SELECT COUNT(DISTINCT Country) FROM player
16,78,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT T1.IDENTIFIER_PRIMARY_1) FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_8,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers JOIN Orders ON Customers.customer_id = Orders.customer_id
17,79,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT T1.IDENTIFIER_PRIMARY_1) FROM T1 JOIN T3 ON T1.IDENTIFIER_PRIMARY_1 = T3.IDENTIFIER_REFERENCE_10 WHERE T3.CHRONOLOGICAL_MARKER_12 IS NOT NULL,SELECT COUNT(DISTINCT Customers.customer_id) FROM Customers JOIN Orders ON Customers.customer_id = Orders.customer_id WHERE Orders.date_order_placed IS NOT NULL
18,80,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT MEASUREMENT_VALUE_12) FROM T3 JOIN T1 ON T3.IDENTIFIER_REFERENCE_10 = T1.IDENTIFIER_PRIMARY_1,SELECT COUNT(DISTINCT shipment_tracking_number) FROM Shipments JOIN Orders ON Shipments.order_id = Orders.order_id
19,81,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT DESCRIPTIVE_ATTRIBUTE_8) FROM T2 JOIN T4 ON T2.IDENTIFIER_PRIMARY_5 = T4.IDENTIFIER_REFERENCE_15 WHERE T4.IDENTIFIER_PRIMARY_14 IN (SELECT IDENTIFIER_PRIMARY_9 FROM T3 WHERE CHRONOLOGICAL_MARKER_13 IS NOT NULL),SELECT COUNT(DISTINCT order_item_status_code) FROM Order_Items JOIN Shipment_Items ON Order_Items.order_item_id = Shipment_Items.order_item_id WHERE Shipment_Items.shipment_id IN (SELECT shipment_id FROM Shipments WHERE shipment_date IS NOT NULL)
20,82,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT TEXT_FIELD_2) FROM T1,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
21,83,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT TEXT_FIELD_8) FROM T2,SELECT COUNT(DISTINCT payment_method_code) FROM Customer_Payment_Methods
22,100,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(IDENTIFIER_PRIMARY_9) FROM T3,SELECT COUNT(shipment_id) FROM Shipments
23,101,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT T1.IDENTIFIER_PRIMARY_1) FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_8,SELECT COUNT(DISTINCT Products.product_id) FROM Products JOIN Shipments ON Products.product_id = Shipments.order_id
24,102,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT AVG(CURRENCY_AMOUNT_4) FROM T1,SELECT AVG(product_price) FROM Products
25,103,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT AVG(CURRENCY_AMOUNT_4) FROM T1,SELECT AVG(product_price) FROM Products
26,104,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT AVG(CURRENCY_AMOUNT_4) FROM T1,SELECT AVG(product_price) FROM Products
27,105,e_commerce,e_commerce,,,False,0,True,,claude-haiku-4-5-20251001,SELECT AVG(CURRENCY_AMOUNT_4) FROM T1,SELECT AVG(product_price) FROM Products
28,123,bbc_channels,bbc_channels,,,False,0,True,,claude-haiku-4-5-20251001,SELECT COUNT(DISTINCT TEXT_FIELD_5) FROM T1 WHERE TEXT_FIELD_3 = 'terrestrial',SELECT COUNT(DISTINCT Internet) FROM channel WHERE Analogue_terrestrial_channel = 'terrestrial'
29,124,bbc_channels,bbc_channels,,,False,0,True,,claude-haiku-4-5-20251001,SELECT DESCRIPTIVE_ATTRIBUTE_11 FROM T3 ORDER BY CHRONOLOGICAL_MARKER_10 DESC,SELECT Title FROM program ORDER BY Start_Year DESC
30,133,bbc_channels,bbc_channels,,,False,3,False,,claude-haiku-4-5-20251001,SELECT t2.DESCRIPTIVE_ATTRIBUTE_7 FROM T2 WHERE t2.MEASUREMENT_VALUE_8 BETWEEN 30 AND 60,SELECT t2.Name FROM director WHERE t2.Age BETWEEN 30 AND 60
31,136,tv_shows,tv_shows,,,False,0,True,,claude-haiku-4-5-20251001,SELECT count(*) FROM T1 WHERE TEXT_FIELD_3 IS NOT NULL,SELECT count(*) FROM radio WHERE Radio_MHz IS NOT NULL
32,137,tv_shows,tv_shows,,,False,0,True,,claude-haiku-4-5-20251001,SELECT T1.TEXT_FIELD_2 FROM T1 JOIN T2 ON T1.IDENTIFIER_PRIMARY_1 = T2.IDENTIFIER_REFERENCE_8 ORDER BY T2.DESCRIPTIVE_ATTRIBUTE_9 ASC,SELECT radio.Transmitter FROM radio JOIN city_channel_radio ON radio.Radio_ID = city_channel_radio.Radio_ID ORDER BY city_channel_radio.Is_online ASC
33,139,tv_shows,tv_shows,,,False,0,True,,claude-haiku-4-5-20251001,SELECT DESCRIPTIVE_ATTRIBUTE_3 FROM T1 WHERE DESCRIPTIVE_ATTRIBUTE_2 = 'city' AND DESCRIPTIVE_ATTRIBUTE_5 != 'ABC',SELECT Station_name FROM city_channel WHERE City = 'city' AND Affiliation != 'ABC'
34,142,tv_shows,tv_shows,,,False,0,True,,claude-haiku-4-5-20251001,SELECT AVG(CAST(DESCRIPTIVE_ATTRIBUTE_9 AS REAL)) FROM T2 JOIN T1 ON T2.IDENTIFIER_REFERENCE_8 = T1.IDENTIFIER_PRIMARY_1,SELECT AVG(CAST(Is_online AS REAL)) FROM city_channel_radio JOIN radio ON city_channel_radio.Radio_ID = radio.Radio_ID
35,145,tv_shows,tv_shows,,,False,0,True,,claude-haiku-4-5-20251001,SELECT DESCRIPTIVE_ATTRIBUTE_5 FROM T1 GROUP BY DESCRIPTIVE_ATTRIBUTE_5 HAVING COUNT(DISTINCT DESCRIPTIVE_ATTRIBUTE_2) > 3,SELECT Affiliation FROM city_channel GROUP BY Affiliation HAVING COUNT(DISTINCT City) > 3
36,153,vehicle_driver,vehicle_driver,,,False,0,True,,claude-haiku-4-5-20251001,SELECT T2.TEXT_FIELD_11 FROM T2 JOIN T3 ON T2.IDENTIFIER_PRIMARY_8 = T3.IDENTIFIER_PRIMARY_12 JOIN T1 ON T3.IDENTIFIER_REFERENCE_13 = T1.IDENTIFIER_PRIMARY_1 WHERE T2.TEXT_FIELD_10 = 'United States',SELECT driver.Racing_Series FROM driver JOIN vehicle_driver ON driver.Driver_ID = vehicle_driver.Driver_ID JOIN vehicle ON vehicle_driver.Vehicle_ID = vehicle.Vehicle_ID WHERE driver.Citizenship = 'United States'
