gold_db,pred_db,top1_score,top2_score,correct
soccer_3,soccer_3,0.3614,0.2125,1
soccer_3,soccer_3,0.3011,0.2333,1
soccer_3,soccer_3,0.2774,0.2264,1
soccer_3,soccer_3,0.3054,0.2793,1
soccer_3,soccer_3,0.2706,0.2475,1
soccer_3,soccer_3,0.2585,0.1658,1
soccer_3,soccer_3,0.2538,0.2529,1
soccer_3,vehicle_driver,0.2376,0.2161,0
soccer_3,soccer_3,0.2699,0.1839,1
soccer_3,soccer_3,0.2931,0.1376,1
soccer_3,soccer_3,0.3354,0.3297,1
soccer_3,soccer_3,0.3272,0.2891,1
soccer_3,soccer_3,0.3342,0.1932,1
soccer_3,soccer_3,0.2842,0.1274,1
soccer_3,soccer_3,0.2433,0.2266,1
soccer_3,soccer_3,0.3606,0.1759,1
e_commerce,customers_and_orders,0.4250,0.4240,0
e_commerce,customers_and_orders,0.4675,0.4467,0
e_commerce,customers_and_orders,0.4246,0.3826,0
e_commerce,customers_and_orders,0.3367,0.3160,0
e_commerce,e_commerce,0.2546,0.2009,1
e_commerce,e_commerce,0.3110,0.2610,1
e_commerce,customers_and_orders,0.3648,0.3619,0
e_commerce,e_commerce,0.4050,0.3613,1
e_commerce,e_commerce,0.2767,0.2290,1
e_commerce,e_commerce,0.2897,0.2066,1
e_commerce,e_commerce,0.4099,0.3531,1
e_commerce,e_commerce,0.4422,0.3576,1
bbc_channels,tv_shows,0.4649,0.4244,0
bbc_channels,bbc_channels,0.2596,0.2237,1
bbc_channels,bbc_channels,0.2665,0.2340,1
tv_shows,tv_shows,0.3960,0.2546,1
tv_shows,tv_shows,0.4182,0.2383,1
tv_shows,tv_shows,0.4814,0.4270,1
tv_shows,tv_shows,0.3930,0.2244,1
tv_shows,tv_shows,0.4981,0.4312,1
vehicle_driver,vehicle_driver,0.3148,0.2162,1
vehicle_driver,vehicle_driver,0.4024,0.2509,1
vehicle_driver,vehicle_driver,0.3141,0.1656,1
vehicle_driver,vehicle_driver,0.4531,0.2649,1
vehicle_driver,vehicle_driver,0.4374,0.2417,1
vehicle_driver,vehicle_driver,0.5351,0.3070,1
vehicle_driver,vehicle_driver,0.4189,0.2299,1
vehicle_driver,vehicle_driver,0.4518,0.3009,1
online_exams,online_exams,0.4386,0.2709,1
online_exams,online_exams,0.4170,0.2947,1
online_exams,online_exams,0.3530,0.3261,1
online_exams,online_exams,0.3577,0.3210,1
online_exams,online_exams,0.3650,0.2968,1
online_exams,online_exams,0.3312,0.2962,1
online_exams,online_exams,0.3101,0.2702,1
online_exams,online_exams,0.3285,0.2738,1
online_exams,cre_Students_Information_Systems,0.2531,0.1601,0
online_exams,cre_Students_Information_Systems,0.2774,0.1952,0
online_exams,online_exams,0.2555,0.2143,1
online_exams,online_exams,0.2607,0.2241,1
online_exams,cre_Students_Information_Systems,0.5022,0.3142,0
online_exams,cre_Students_Information_Systems,0.5295,0.3504,0
customers_and_orders,customers_and_orders,0.4036,0.2072,1
customers_and_orders,customers_and_orders,0.4349,0.2251,1
customers_and_orders,e_commerce,0.3727,0.2895,0
customers_and_orders,customers_and_orders,0.3441,0.3157,1
customers_and_orders,customers_and_orders,0.1723,0.1666,1
customers_and_orders,vehicle_driver,0.1709,0.1672,0
customers_and_orders,e_commerce,0.2477,0.1804,0
customers_and_orders,e_commerce,0.2573,0.1887,0
customers_and_orders,e_commerce,0.2654,0.2512,0
customers_and_orders,customers_and_orders,0.2954,0.2913,1
customers_and_orders,e_commerce,0.3326,0.3045,0
customers_and_orders,e_commerce,0.3423,0.3137,0
customers_and_orders,e_commerce,0.3076,0.3007,0
customers_and_orders,vehicle_driver,0.2931,0.2691,0
customers_and_orders,customers_and_orders,0.4025,0.3778,1
customers_and_orders,customers_and_orders,0.4374,0.3240,1
customers_and_orders,e_commerce,0.3606,0.3369,0
customers_and_orders,vehicle_rent,0.2850,0.2817,0
customers_and_orders,customers_and_orders,0.4757,0.4578,1
customers_and_orders,customers_and_orders,0.4962,0.4102,1
customers_and_orders,customers_and_orders,0.4700,0.4558,1
customers_and_orders,customers_and_orders,0.4882,0.4071,1
soccer_3,soccer_3,0.3929,0.2691,1
soccer_3,soccer_3,0.4511,0.3030,1
soccer_3,soccer_3,0.2299,0.1655,1
soccer_3,soccer_3,0.2328,0.2282,1
soccer_3,soccer_3,0.4940,0.3390,1
soccer_3,soccer_3,0.4249,0.2261,1
soccer_3,soccer_3,0.3760,0.2908,1
soccer_3,soccer_3,0.2793,0.1713,1
soccer_3,soccer_3,0.3024,0.2043,1
soccer_3,soccer_3,0.2566,0.1335,1
soccer_3,vehicle_driver,0.3707,0.3595,0
soccer_3,vehicle_driver,0.3557,0.3308,0
soccer_3,soccer_3,0.3114,0.2145,1
soccer_3,soccer_3,0.2331,0.1315,1
e_commerce,e_commerce,0.4359,0.4145,1
e_commerce,customers_and_orders,0.4803,0.4774,0
e_commerce,e_commerce,0.4028,0.3852,1
e_commerce,customers_and_orders,0.4238,0.4006,0
e_commerce,customers_and_orders,0.4354,0.3936,0
e_commerce,e_commerce,0.3674,0.3596,1
e_commerce,e_commerce,0.3361,0.3325,1
e_commerce,e_commerce,0.3791,0.3712,1
e_commerce,e_commerce,0.2782,0.2277,1
e_commerce,e_commerce,0.3181,0.2969,1
e_commerce,customers_and_orders,0.3789,0.3597,0
e_commerce,customers_and_orders,0.3678,0.3630,0
e_commerce,customers_and_orders,0.2304,0.2210,0
e_commerce,customers_and_orders,0.2316,0.2313,0
e_commerce,e_commerce,0.2745,0.2641,1
e_commerce,e_commerce,0.2965,0.2753,1
e_commerce,e_commerce,0.4504,0.4064,1
e_commerce,e_commerce,0.3847,0.3695,1
e_commerce,customers_and_orders,0.4513,0.2897,0
e_commerce,customers_and_orders,0.4871,0.3184,0
e_commerce,e_commerce,0.3671,0.3036,1
e_commerce,e_commerce,0.3997,0.3724,1
e_commerce,customers_and_orders,0.3090,0.2523,0
e_commerce,customers_and_orders,0.3342,0.2750,0
e_commerce,customers_and_orders,0.3119,0.2535,0
e_commerce,customers_and_orders,0.3804,0.3290,0
bbc_channels,bbc_channels,0.3148,0.1916,1
bbc_channels,bbc_channels,0.3803,0.3622,1
bbc_channels,bbc_channels,0.2542,0.1883,1
bbc_channels,bbc_channels,0.4788,0.4344,1
bbc_channels,bbc_channels,0.5039,0.4731,1
bbc_channels,bbc_channels,0.3761,0.2065,1
tv_shows,bbc_channels,0.3782,0.3326,0
tv_shows,tv_shows,0.4667,0.2840,1
tv_shows,tv_shows,0.4104,0.2146,1
tv_shows,tv_shows,0.5384,0.4572,1
tv_shows,tv_shows,0.4538,0.3743,1
tv_shows,tv_shows,0.5963,0.4526,1
tv_shows,tv_shows,0.5816,0.4532,1
vehicle_driver,vehicle_driver,0.3572,0.1606,1
vehicle_driver,vehicle_driver,0.4702,0.2195,1
vehicle_driver,vehicle_driver,0.3890,0.1803,1
vehicle_driver,vehicle_driver,0.5135,0.2442,1
vehicle_driver,vehicle_driver,0.4442,0.3017,1
vehicle_driver,vehicle_driver,0.4434,0.2620,1
vehicle_driver,vehicle_driver,0.4257,0.2811,1
vehicle_driver,vehicle_driver,0.5319,0.3362,1
vehicle_driver,vehicle_driver,0.4270,0.1808,1
vehicle_driver,vehicle_driver,0.4559,0.1832,1
vehicle_driver,vehicle_driver,0.3568,0.2813,1
vehicle_driver,vehicle_driver,0.4171,0.3057,1
vehicle_driver,vehicle_driver,0.4196,0.2324,1
vehicle_driver,vehicle_driver,0.4876,0.2521,1
online_exams,online_exams,0.4222,0.3102,1
online_exams,online_exams,0.3878,0.3048,1
online_exams,customers_and_orders,0.2719,0.2471,0
online_exams,vehicle_driver,0.2428,0.2307,0
online_exams,online_exams,0.3071,0.3025,1
online_exams,online_exams,0.2941,0.2732,1
online_exams,cre_Students_Information_Systems,0.3070,0.2952,0
online_exams,online_exams,0.3383,0.3277,1
online_exams,cre_Students_Information_Systems,0.3184,0.3108,0
online_exams,online_exams,0.3280,0.3241,1
online_exams,cre_Students_Information_Systems,0.2876,0.2680,0
online_exams,cre_Students_Information_Systems,0.3188,0.3022,0
online_exams,cre_Students_Information_Systems,0.2766,0.2228,0
soccer_3,soccer_3,0.2246,0.1737,1
soccer_3,soccer_3,0.2671,0.1745,1
soccer_3,soccer_3,0.4307,0.2831,1
soccer_3,soccer_3,0.4368,0.2799,1
soccer_3,vehicle_driver,0.2621,0.2522,0
soccer_3,soccer_3,0.3035,0.2878,1
soccer_3,soccer_3,0.4001,0.2172,1
soccer_3,soccer_3,0.3796,0.1925,1
soccer_3,soccer_3,0.3370,0.2827,1
soccer_3,soccer_3,0.2742,0.1704,1
e_commerce,e_commerce,0.3607,0.3514,1
e_commerce,e_commerce,0.4098,0.3981,1
e_commerce,e_commerce,0.4248,0.4013,1
e_commerce,e_commerce,0.2979,0.2138,1
e_commerce,e_commerce,0.3418,0.3233,1
e_commerce,e_commerce,0.3481,0.3429,1
e_commerce,e_commerce,0.3522,0.2706,1
e_commerce,customers_and_orders,0.3367,0.3231,0
e_commerce,customers_and_orders,0.3495,0.3427,0
e_commerce,customers_and_orders,0.3470,0.3305,0
e_commerce,e_commerce,0.3735,0.3580,1
e_commerce,e_commerce,0.3237,0.2987,1
e_commerce,e_commerce,0.2894,0.2755,1
e_commerce,e_commerce,0.3975,0.3435,1
e_commerce,e_commerce,0.4072,0.3980,1
e_commerce,e_commerce,0.3192,0.3118,1
e_commerce,e_commerce,0.3830,0.3531,1
e_commerce,e_commerce,0.3478,0.3421,1
e_commerce,e_commerce,0.3916,0.3594,1
e_commerce,customers_and_orders,0.3627,0.2725,0
e_commerce,customers_and_orders,0.3496,0.2471,0
bbc_channels,bbc_channels,0.2562,0.2504,1
bbc_channels,bbc_channels,0.3667,0.2859,1
tv_shows,tv_shows,0.5463,0.4551,1
tv_shows,tv_shows,0.5357,0.3806,1
tv_shows,tv_shows,0.5360,0.4018,1
vehicle_driver,vehicle_driver,0.4366,0.1993,1
vehicle_driver,vehicle_driver,0.5234,0.2570,1
vehicle_driver,vehicle_driver,0.4666,0.3880,1
vehicle_driver,vehicle_driver,0.5037,0.3754,1
vehicle_driver,vehicle_driver,0.4842,0.4479,1
vehicle_driver,vehicle_driver,0.4199,0.4148,1
vehicle_driver,vehicle_driver,0.4818,0.2448,1
vehicle_driver,vehicle_driver,0.6010,0.3411,1
vehicle_driver,vehicle_driver,0.4614,0.2974,1
vehicle_driver,vehicle_driver,0.5195,0.4100,1
vehicle_driver,vehicle_driver,0.4560,0.3376,1
vehicle_driver,vehicle_driver,0.5337,0.3813,1
vehicle_driver,vehicle_driver,0.4573,0.2263,1
vehicle_driver,vehicle_driver,0.5381,0.2598,1
vehicle_driver,vehicle_driver,0.3993,0.2965,1
vehicle_driver,vehicle_driver,0.5102,0.3827,1
online_exams,cre_Students_Information_Systems,0.3470,0.3424,0
online_exams,cre_Students_Information_Systems,0.3137,0.3129,0
online_exams,online_exams,0.3912,0.3155,1
online_exams,online_exams,0.2797,0.2266,1
online_exams,online_exams,0.3140,0.1791,1
online_exams,online_exams,0.2739,0.1609,1
online_exams,online_exams,0.2699,0.2619,1
online_exams,cre_Students_Information_Systems,0.2574,0.2499,0
online_exams,online_exams,0.3355,0.3088,1
online_exams,online_exams,0.3457,0.3022,1
customers_and_orders,e_commerce,0.2628,0.2141,0
customers_and_orders,e_commerce,0.2600,0.2204,0
customers_and_orders,e_commerce,0.2214,0.2026,0
customers_and_orders,e_commerce,0.2329,0.1971,0
customers_and_orders,customers_and_orders,0.2319,0.2151,1
customers_and_orders,e_commerce,0.2421,0.2416,0
customers_and_orders,e_commerce,0.3633,0.3295,0
customers_and_orders,customers_and_orders,0.3305,0.3219,1
customers_and_orders,customers_and_orders,0.3129,0.2892,1
customers_and_orders,e_commerce,0.2863,0.1993,0
customers_and_orders,customers_and_orders,0.3313,0.2797,1
customers_and_orders,vehicle_rent,0.2859,0.2585,0
customers_and_orders,customers_and_orders,0.2888,0.2831,1
customers_and_orders,customers_and_orders,0.2622,0.2374,1
customers_and_orders,customers_and_orders,0.3443,0.2959,1
customers_and_orders,customers_and_orders,0.3743,0.3588,1
customers_and_orders,e_commerce,0.3863,0.3250,0
customers_and_orders,e_commerce,0.3375,0.3275,0
e_commerce,customers_and_orders,0.4116,0.3800,0
